SampleID	Queries	Aligned
../04-analysis/malt/RefSeqCustom/CMC001.A0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3090142	1909404
../04-analysis/malt/RefSeqCustom/CMC001.A0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	4623425	2838451
../04-analysis/malt/RefSeqCustom/CMC001.B0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3799235	2793890
../04-analysis/malt/RefSeqCustom/CMC002.A0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	2952979	2093741
../04-analysis/malt/RefSeqCustom/CMC002.B0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1498956	1293133
../04-analysis/malt/RefSeqCustom/CMC003.A0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	2944443	2213930
../04-analysis/malt/RefSeqCustom/CMC003.B0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3181650	2642434
../04-analysis/malt/RefSeqCustom/CMC004.A0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3235666	1937518
../04-analysis/malt/RefSeqCustom/CMC004.B0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	5656380	3847873
../04-analysis/malt/RefSeqCustom/CMC005.A0202.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3342616	2532471
../04-analysis/malt/RefSeqCustom/CMC005.B0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	4758317	3861364
../04-analysis/malt/RefSeqCustom/CMC006.A0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3928422	3349171
../04-analysis/malt/RefSeqCustom/CMC006.B0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	5083196	3980775
../04-analysis/malt/RefSeqCustom/CMC007.B0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	4208841	3301630
../04-analysis/malt/RefSeqCustom/CMC042.B0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	4762497	3745911
../04-analysis/malt/RefSeqCustom/CMC008.B0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3778581	2963248
../04-analysis/malt/RefSeqCustom/CMC009.A0202.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	2843838	2377909
../04-analysis/malt/RefSeqCustom/CMC008.A0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	4113019	2719809
../04-analysis/malt/RefSeqCustom/CMC010.A0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3460931	2505784
../04-analysis/malt/RefSeqCustom/CMC010.B0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3788278	3005979
../04-analysis/malt/RefSeqCustom/CMC011.A0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3875861	2604418
../04-analysis/malt/RefSeqCustom/CMC009.B0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	4090557	3015398
../04-analysis/malt/RefSeqCustom/CMC012.A0201.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	3451019	2554510
