SampleID	Queries	Aligned
../04-analysis/malt/RefSeqCustom/JAE006.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    8647832
../04-analysis/malt/RefSeqCustom/JAE006.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   87902455	Aligned queries:   76004991
../04-analysis/malt/RefSeqCustom/JAE007.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    8854429
../04-analysis/malt/RefSeqCustom/JAE007.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   66431077	Aligned queries:   58820142
../04-analysis/malt/RefSeqCustom/JAE008.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    7433109
../04-analysis/malt/RefSeqCustom/JAE008.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   65320848	Aligned queries:   48561316
../04-analysis/malt/RefSeqCustom/JAE009.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    7465466
../04-analysis/malt/RefSeqCustom/JAE009.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   66075673	Aligned queries:   49345991
../04-analysis/malt/RefSeqCustom/JAE010.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    8437571
../04-analysis/malt/RefSeqCustom/JAE010.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   60038466	Aligned queries:   50660091
../04-analysis/malt/RefSeqCustom/JAE012.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    8184230
../04-analysis/malt/RefSeqCustom/JAE012.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   62769361	Aligned queries:   51371447
../04-analysis/malt/RefSeqCustom/JAE013.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    8683818
../04-analysis/malt/RefSeqCustom/JAE013.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   38960559	Aligned queries:   33828417
../04-analysis/malt/RefSeqCustom/JAE014.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    6263885
../04-analysis/malt/RefSeqCustom/JAE014.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   68631524	Aligned queries:   42994648
../04-analysis/malt/RefSeqCustom/JAE015.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    6664922
../04-analysis/malt/RefSeqCustom/JAE015.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   57521347	Aligned queries:   38346509
../04-analysis/malt/RefSeqCustom/JAE016.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.rma6	Num. of queries:   10000000	Aligned queries:    6172030
../04-analysis/malt/RefSeqCustom/JAE016.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	Num. of queries:   94578744	Aligned queries:   58375892
