study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	sample_alias	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA245336	SAMN02736859	SRS743624	SRX755448	SRR1646029	646099	human metagenome	NextSeq 500	Individual 23, fecal microbiome WGS	F23	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1646029/SRR1646029.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1646029/SRR1646029.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/009/SRR1646029	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/009/SRR1646029		
PRJNA245336	SAMN02736856	SRS740676	SRX755445	SRR1646026	646099	human metagenome	NextSeq 500	Individual 3, fecal microbiome WGS	F3	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1646026/SRR1646026.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1646026/SRR1646026.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/006/SRR1646026	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/006/SRR1646026		
PRJNA245336	SAMN03164158	SRS740683	SRX755453	SRR1646034	646099	human metagenome	NextSeq 500	Individual 36, fecal microbiome WGS	F36	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1646034/SRR1646034.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1646034/SRR1646034.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/004/SRR1646034	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/004/SRR1646034		
PRJNA245336	SAMN03164159	SRS740684	SRX755454	SRR1646035	646099	human metagenome	NextSeq 500	Individual 49, fecal microbiome WGS	F49	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1646035/SRR1646035.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1646035/SRR1646035.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/005/SRR1646035	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/005/SRR1646035		
PRJNA245336	SAMN02736857	SRS740677	SRX755446	SRR1646027	646099	human metagenome	NextSeq 500	Individual 5, fecal microbiome WGS	F5	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1646027/SRR1646027.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1646027/SRR1646027.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/007/SRR1646027	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/007/SRR1646027		
PRJNA245336	SAMN03164160	SRS740685	SRX755455	SRR1646036	646099	human metagenome	NextSeq 500	Individual 50, fecal microbiome WGS	F50	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1646036/SRR1646036.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1646036/SRR1646036.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/006/SRR1646036	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/006/SRR1646036		
PRJNA245336	SAMN02736858	SRS740681	SRX755447	SRR1646028	646099	human metagenome	NextSeq 500	Individual 6, fecal microbiome WGS	F6	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1646028/SRR1646028.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1646028/SRR1646028.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/008/SRR1646028	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/008/SRR1646028		
PRJNA245336	SAMN03164161	SRS740686	SRX755456	SRR1646037	646099	human metagenome	NextSeq 500	Individual 9, fecal microbiome WGS	F9	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1646037/SRR1646037.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1646037/SRR1646037.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/007/SRR1646037	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/007/SRR1646037		
PRJNA245336	SAMN03164162	SRS740687	SRX755457	SRR1646038	646099	human metagenome	NextSeq 500	Individual 12, oral microbiome WGS	O12	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1646038/SRR1646038.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1646038/SRR1646038.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/008/SRR1646038	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/008/SRR1646038		
PRJNA245336	SAMN03164163	SRS740688	SRX755458	SRR1646039	646099	human metagenome	NextSeq 500	Individual 13, oral microbiome WGS	O13	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1646039/SRR1646039.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1646039/SRR1646039.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/009/SRR1646039	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/009/SRR1646039		
