SampleID	Queries	Aligned
../04-analysis/malt/RefSeqCustom/SRR1646030.fastq.truncated.rma6	Num. of queries:    1277654	Aligned queries:     754298
../04-analysis/malt/RefSeqCustom/SRR1646031.fastq.truncated.rma6	Num. of queries:    3936781	Aligned queries:    2486693
../04-analysis/malt/RefSeqCustom/SRR1646032.fastq.truncated.rma6	Num. of queries:     163723	Aligned queries:      99720
../04-analysis/malt/RefSeqCustom/SRR1646033.fastq.truncated.rma6	Num. of queries:    1191865	Aligned queries:     677431
../04-analysis/malt/RefSeqCustom/SRR1646038.fastq.truncated.rma6	Num. of queries:    1861231	Aligned queries:    1546094
../04-analysis/malt/RefSeqCustom/SRR1646039.fastq.truncated.rma6	Num. of queries:    1038055	Aligned queries:     814129
../04-analysis/malt/RefSeqCustom/SRR1646040.fastq.truncated.rma6	Num. of queries:    3215172	Aligned queries:    1964359
../04-analysis/malt/RefSeqCustom/SRR1646041.fastq.truncated.rma6	Num. of queries:      18049	Aligned queries:      11732
../04-analysis/malt/RefSeqCustom/SRR1646042.fastq.truncated.rma6	Num. of queries:    1369141	Aligned queries:     788567
../04-analysis/malt/RefSeqCustom/SRR1646043.fastq.truncated.rma6	Num. of queries:     850091	Aligned queries:     610364
../04-analysis/malt/RefSeqCustom/SRR1646044.fastq.truncated.rma6	Num. of queries:     810124	Aligned queries:     527456
../04-analysis/malt/RefSeqCustom/SRR1646045.fastq.truncated.rma6	Num. of queries:     147418	Aligned queries:      96232
../04-analysis/malt/RefSeqCustom/SRR1646046.fastq.truncated.rma6	Num. of queries:    1403244	Aligned queries:     990572
../04-analysis/malt/RefSeqCustom/SRR1646047.fastq.truncated.rma6	Num. of queries:     566322	Aligned queries:     413551
