NCBItaxID	Taxonomy	Species	RefSeqCounts
ncbi_1123738		'Echinacea purpurea' witches'-broom phytoplasma	1
ncbi_1394		[Bacillus] caldolyticus	1
ncbi_92706		[Brevibacterium] flavum	1
ncbi_92706		[Brevibacterium] flavum ZL-1	1
ncbi_1487		[Butyribacterium] methylotrophicum	1
ncbi_2291993		Absiella sp. AM09-45	1
ncbi_2291994		Absiella sp. AM09-50	1
ncbi_2291995		Absiella sp. AM10-20	1
ncbi_2291996		Absiella sp. AM22-9	1
ncbi_1868878		Acetobacter sp. BCRC 14118	1
ncbi_2259883		Acetobacter sp. JWB	1
ncbi_1806476		Achromobacter sp. 2789STDY5608608	1
ncbi_1806498		Achromobacter sp. 2789STDY5608614	1
ncbi_1806477		Achromobacter sp. 2789STDY5608617	1
ncbi_1806490		Achromobacter sp. ATCC35328	1
ncbi_2015171		Achromobacter sp. HZ28	1
ncbi_2015170		Achromobacter sp. HZ34	1
ncbi_1203555		Acidaminococcus sp. HPA0509	1
ncbi_523		Acidiphilium angustum ATCC 35903	1
ncbi_1293648		Acidiplasma sp. MBA-1	1
ncbi_2035206		Acidovorax sp. 30	1
ncbi_2035204		Acidovorax sp. 59	1
ncbi_2135736		Acidovorax sp. CF301	1
ncbi_1736296		Acidovorax sp. Leaf191	1
ncbi_1736236		Acidovorax sp. Leaf76	1
ncbi_1858609		Acidovorax sp. T1	1
ncbi_2006116		Acidovorax sp. T1m	1
ncbi_2080673		Acinetobacter calcoaceticus/baumannii complex sp. ABNIH27	1
ncbi_280147		Acinetobacter courvalinii	1
ncbi_1310800		Acinetobacter sp. 1000160	1
ncbi_1310772		Acinetobacter sp. 1130196	1
ncbi_1310724		Acinetobacter sp. 1245249	1
ncbi_1310795		Acinetobacter sp. 1281984	1
ncbi_1310609		Acinetobacter sp. 1289694	1
ncbi_1310779		Acinetobacter sp. 1424608	1
ncbi_1310647		Acinetobacter sp. 1461402	1
ncbi_1310652		Acinetobacter sp. 1475718	1
ncbi_1310683		Acinetobacter sp. 1566109	1
ncbi_1310696		Acinetobacter sp. 1592897	1
ncbi_1310734		Acinetobacter sp. 216872	1
ncbi_1310626		Acinetobacter sp. 21871	1
ncbi_1310788		Acinetobacter sp. 225588	1
ncbi_1310695		Acinetobacter sp. 259052	1
ncbi_1310905		Acinetobacter sp. 25977_1	1
ncbi_1310906		Acinetobacter sp. 25977_2	1
ncbi_1310907		Acinetobacter sp. 25977_3	1
ncbi_1310908		Acinetobacter sp. 25977_4	1
ncbi_1310910		Acinetobacter sp. 25977_6	1
ncbi_1310912		Acinetobacter sp. 25977_8	1
ncbi_1310678		Acinetobacter sp. 263903-1	1
ncbi_1310720		Acinetobacter sp. 478810	1
ncbi_1310601		Acinetobacter sp. 479375	1
ncbi_1310711		Acinetobacter sp. 723929	1
ncbi_1310685		Acinetobacter sp. 72431	1
ncbi_1310677		Acinetobacter sp. 766875	1
ncbi_1310833		Acinetobacter sp. 796380-1375	1
ncbi_1310773		Acinetobacter sp. 883425	1
ncbi_1310761		Acinetobacter sp. 88816	1
ncbi_1310670		Acinetobacter sp. 907131	1
ncbi_1310660		Acinetobacter sp. 983759	1
ncbi_1985874		Acinetobacter sp. ACNIH3	1
ncbi_1985875		Acinetobacter sp. ACNIH4	1
ncbi_1841507		Acinetobacter sp. AR_0276	1
ncbi_525244		Acinetobacter sp. ATCC 27244	1
ncbi_2024618		Acinetobacter sp. BS1	1
ncbi_1661746		Acinetobacter sp. C15	1
ncbi_1972191		Acinetobacter sp. Cas4	1
ncbi_1144663		Acinetobacter sp. CIP 102082	1
ncbi_1217694		Acinetobacter sp. CIP 64.2	1
ncbi_1144673		Acinetobacter sp. CIP 64.7	1
ncbi_1217700		Acinetobacter sp. CIP 70.18	1
ncbi_1144674		Acinetobacter sp. CIP A162	1
ncbi_1876769		Acinetobacter sp. FDAARGOS_131	1
ncbi_2420300		Acinetobacter sp. FDAARGOS_493	1
ncbi_2420301		Acinetobacter sp. FDAARGOS_494	1
ncbi_2420302		Acinetobacter sp. FDAARGOS_495	1
ncbi_2420312		Acinetobacter sp. FDAARGOS_541	1
ncbi_2420303		Acinetobacter sp. FDAARGOS_558	1
ncbi_2420304		Acinetobacter sp. FDAARGOS_559	1
ncbi_2420305		Acinetobacter sp. FDAARGOS_560	1
ncbi_1173062		Acinetobacter sp. HA	1
ncbi_2302364		Acinetobacter sp. JW	1
ncbi_1914307		Acinetobacter sp. LCT-H3	1
ncbi_1071390		Acinetobacter sp. NBRC 100985	1
ncbi_981224		Acinetobacter sp. NCTC 10304	1
ncbi_981223		Acinetobacter sp. NCTC 7422	1
ncbi_1217698		Acinetobacter sp. NIPH 3623	1
ncbi_903928		Acinetobacter sp. OIFC021	1
ncbi_1221303		Acinetobacter sp. TG19627	1
ncbi_1221304		Acinetobacter sp. TG2027	1
ncbi_1221289		Acinetobacter sp. TG27347	1
ncbi_1502768		Acinetobacter sp. UNC434CL69Tsu2S25	1
ncbi_2420889		Acinetobacter sp. WCHAc060006	1
ncbi_1339229		Acinetobacter sp. ZOR0008	1
ncbi_1883427		Actinobacteria bacterium	2
ncbi_58112		Actinomadura viridilutea	1
ncbi_1852376		Actinomyces marseillensis	1
ncbi_1852377		Actinomyces pacaensis	1
ncbi_2072014		Actinomyces sp. 553	1
ncbi_1851395		Actinomyces sp. Chiba101	1
ncbi_1739355		Actinomyces sp. HMSC064C12	1
ncbi_1581120		Actinomyces sp. HMSC06A08	1
ncbi_1118058		Actinomyces sp. ph3	1
ncbi_2079536		Actinomyces sp. Z16	1
ncbi_2250217		Actinomyces sp. Z3	1
ncbi_2033844		Actinoplanes sp. SE50	1
