NCBItaxID	Species	Taxonomy
ncbi_1123738	'Echinacea purpurea' witches'-broom phytoplasma	root|_d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma|s__'Echinacea purpurea' witches'-broom phytoplasma
ncbi_1394	[Bacillus] caldolyticus	root|_d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__[Bacillus] caldolyticus
ncbi_92706	[Brevibacterium] flavum	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__[Brevibacterium] flavum
ncbi_92706	[Brevibacterium] flavum ZL-1	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__[Brevibacterium] flavum
ncbi_1487	[Butyribacterium] methylotrophicum	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__[Butyribacterium] methylotrophicum
ncbi_2291993	Absiella sp. AM09-45	root|_d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella sp. AM09-45Absiella sp. AM09-45
ncbi_2291994	Absiella sp. AM09-50	root|_d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella sp. AM09-50Absiella sp. AM09-50
ncbi_2291995	Absiella sp. AM10-20	root|_d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella sp. AM10-20Absiella sp. AM10-20
ncbi_2291996	Absiella sp. AM22-9	root|_d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella sp. AM22-9Absiella sp. AM22-9
ncbi_1868878	Acetobacter sp. BCRC 14118	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter sp. BCRC 14118Acetobacter sp. BCRC 14118
