Grooup	dietary_group	item
Both	Carbohydrate	cassava
Both	Carbohydrate	plantain
Both	Carbohydrate	rice
Both	Vegetable	cassava leaves
Both	Vegetable	cocoyam leaves
Both	Vegetable	koko
Both	Fruit	papaya
Both	Fatty intake	groundnuts
Both	Fatty intake	irvingia s nut salse
Both	Fatty intake	palm nuts
Both	Fatty intake	palm oil
Both	Meat	bushmeat
Both	Spices	chilli
Both	Spices	salt
Both	Spices	stock cubes
Both	Beverage	alcohol
Both	Other	avocado
Baka	Carbohydrate	yam
Baka	Vegetable	mushroom
Baka	Fatty intake	moabi oil
Baka	Meat	smoked fish
Baka	Meat	snail
Baka	Beverage	soda
Baka	Other	mais grille
Baka	Insect	palm larves
Nzime	Fruit	sweet plantain
Nzime	Fatty intake	huile de palme
Nzime	Fatty intake	oil (bought)
Nzime	Meat	porc
Nzime	Spices	ricinodendron
Nzime	Beverage	palm fermentation
Nzime	Beverage	palm fermentation 
Nzime	Other	concentrated tomate
