"#SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"Study"	"Accession_ID"	"SourceSink"	"Env"	"Description"	"Host_General"	"Host_Genus"	"Host_Common"	"Code"	"Is_Oral"	"Age"	"Location"	"Site"	"ToothSource"	"Type"	"LabProtocol"	"ScreeningDeepData"	"NCBI Project ID"	"individual_id"	"SumSampleWeight_mg"	"SumExtractionConcentration_ng_ul"	"SumLibraryConcentration_copies_ul"	"Sample_or_Control"	"Individual_Seq_Depth"	"Individual_Seq_Depth_NonHuman"	"Percentage_Hits"	"Percentage_Hits_with_Taxonomy"	"Min_Support_Reads_Threshold_MALT"	"Min_Support_Reads_Threshold_MALT_refseq"	"Min_Support_Reads_Threshold_MP2"
"SRR061294"	"NA"	"NA"	"HMP2012"	"SRR061294"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR061294"	"NA"	"NA"	"NA"	"Sample"	10381260	10375487	39.7867107346	39.7865854393	412	846	433
"SRR062298"	"NA"	"NA"	"HMP2012"	"SRR062298"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR062298"	"NA"	"NA"	"NA"	"Sample"	13970849	13965094	36.235151729	36.2349870327	506	917	450
"SRR062299"	"NA"	"NA"	"HMP2012"	"SRR062299"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR062299"	"NA"	"NA"	"NA"	"Sample"	6701027	6689934	39.3349321533	39.3345883532	263	510	243
"SRR513165"	"NA"	"NA"	"HMP2012"	"SRR513165"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR513165"	"NA"	"NA"	"NA"	"Sample"	14351592	14347143	46.3613278267	46.3612023662	665	1098	505
"SRR513768"	"NA"	"NA"	"HMP2012"	"SRR513768"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR513768"	"NA"	"NA"	"NA"	"Sample"	27861563	27853488	40.5717732731	40.5716512058	1130	2159	994
"SRR513775"	"NA"	"NA"	"HMP2012"	"SRR513775"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR513775"	"NA"	"NA"	"NA"	"Sample"	24139399	24135024	48.2034159154	48.2029642896	1163	2023	845
"SRR514202"	"NA"	"NA"	"HMP2012"	"SRR514202"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR514202"	"NA"	"NA"	"NA"	"Sample"	11758533	11742026	74.614355308	74.6140061349	876	1088	489
"SRR514239"	"NA"	"NA"	"HMP2012"	"SRR514239"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR514239"	"NA"	"NA"	"NA"	"Sample"	16645687	16633965	41.4801461948	41.479875664	689	1314	620
"SRR514306"	"NA"	"NA"	"HMP2012"	"SRR514306"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR514306"	"NA"	"NA"	"NA"	"Sample"	37922051	37919535	38.7233150407	38.7232095541	1468	3144	1475
"SRR514329"	"NA"	"NA"	"HMP2012"	"SRR514329"	"source"	"subPlaque"	"HMP_subPlaque"	"plaque"	"Plaque"	"Plaque"	"PB0"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR514329"	"NA"	"NA"	"NA"	"Sample"	28154404	28140094	58.045026431	58.0446248687	1633	2334	881
"SRR061192"	"NA"	"NA"	"HMP2012"	"SRR061192"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR061192"	"NA"	"NA"	"NA"	"Sample"	21920659	21917339	51.2762521034	51.2760787247	1123	1812	879
"SRR061320"	"NA"	"NA"	"HMP2012"	"SRR061320"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR061320"	"NA"	"NA"	"NA"	"Sample"	23530045	23527394	51.6168174002	51.6166473856	1214	1913	921
"SRR061365"	"NA"	"NA"	"HMP2012"	"SRR061365"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR061365"	"NA"	"NA"	"NA"	"Sample"	26909112	26907232	56.2806497525	56.2804899441	1514	2272	942
"SRR061562"	"NA"	"NA"	"HMP2012"	"SRR061562"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR061562"	"NA"	"NA"	"NA"	"Sample"	32961137	32958887	43.1434410998	43.1428888967	1421	2756	1403
"SRR062083"	"NA"	"NA"	"HMP2012"	"SRR062083"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR062083"	"NA"	"NA"	"NA"	"Sample"	33718000	33714761	58.6021179269	58.6019073367	1975	2885	1368
"SRR063517"	"NA"	"NA"	"HMP2012"	"SRR063517"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR063517"	"NA"	"NA"	"NA"	"Sample"	25967036	25964367	59.3721849641	59.3719808382	1541	2348	1139
"SRR1804664"	"NA"	"NA"	"HMP2012"	"SRR1804664"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR1804664"	"NA"	"NA"	"NA"	"Sample"	27545705	27544110	39.7435676811	39.7435422673	1094	2377	1098
"SRR1804823"	"NA"	"NA"	"HMP2012"	"SRR1804823"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR1804823"	"NA"	"NA"	"NA"	"Sample"	19303573	19301199	68.0495289438	68.0491403669	1313	1696	773
"SRR512767"	"NA"	"NA"	"HMP2012"	"SRR512767"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR512767"	"NA"	"NA"	"NA"	"Sample"	66557754	66555322	56.2443225802	56.24428652	3743	6134	2532
"SRR513828"	"NA"	"NA"	"HMP2012"	"SRR513828"	"source"	"supPlaque"	"HMP_supPlaque"	"plaque"	"Plaque"	"Plaque"	"PP1"	"Plaque"	"ModernDay"	"USA"	"Unknown"	"NA"	"NA"	"NA"	"NA"	"PRJNA48479"	"SRR513828"	"NA"	"NA"	"NA"	"Sample"	46402367	46396092	33.5282053497	33.5280544749	1555	3924	2178
