NCBItaxID	SciNameFull	Taxonomy
131567	cellular organisms	root
1	root	root
0	unclassified	root
1783234	Bacteria candidate phyla	d__Bacteria
68336	Bacteroidetes/Chlorobi group	d__Bacteria
2498710	Caldiserica/Cryosericota group	d__Bacteria
95901	Candidatus Dependentiae	d__Bacteria
1798711	Cyanobacteria/Melainabacteria group	d__Bacteria|p__Cyanobacteria
451864	Dikarya	d__Eukaryota
1783276	DPANN group	d__Archaea
1783270	FCB group	d__Bacteria
4751	Fungi	d__Fungi
112252	Fungi incertae sedis	d__Fungi
128706	Haloviruses	d__Viruses
1802340	Nitrospinae/Tectomicrobia group	d__Bacteria
33154	Opisthokonta	d__Eukaryota
1794811	Parcubacteria group	d__Bacteria
1783273	Patescibacteria group	d__Bacteria
1783257	PVC group	d__Bacteria
2559587	Riboviria	d__Viruses
1783275	TACK group	d__Archaea
1783272	Terrabacteria group	d__Bacteria
93506	unclassified Archaea (miscellaneous)	d__Archaea
2136008	unclassified archaeal dsDNA viruses	d__Viruses
49928	unclassified Bacteria (miscellaneous)	d__Bacteria
271174	unclassified Bacteroidetes/Chlorobi group	d__Bacteria
1104668	unclassified Candidatus Dependentiae	d__Bacteria
2204151	unclassified DNA viruses	d__Viruses
79205	unclassified dsDNA phages	d__Viruses
51368	unclassified dsDNA viruses	d__Viruses
2585030	unclassified Riboviria	d__Viruses
1922348	unclassified RNA viruses ShiM-2016	d__Viruses
35342	unclassified ssDNA viruses	d__Viruses
988644	unclassified ssRNA negative-strand viruses	d__Viruses
35278	unclassified ssRNA positive-strand viruses	d__Viruses
439490	unclassified ssRNA viruses	d__Viruses
1859062	unclassified Terrabacteria group	d__Bacteria
12429	unclassified viruses	d__Viruses
5302	Agaricomycotina	d__Fungi|p__Basidiomycota
6032	Apansporoblastina	d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Aphanothece|s__Aphanothece minutissima
640293	candidate division NC10	d__Bacteria|p__candidate division NC10
68525	delta/epsilon subdivisions	d__Bacteria|p__Proteobacteria
1803510	DHVE2 group	d__Archaea|p__Euryarchaeota
2283796	Diaforarchaea group	d__Archaea|p__Euryarchaeota
715962	dothideomyceta	d__Fungi|p__Ascomycota
99260	environmental samples	d__Bacteria|p__Elusimicrobia
214504	Glomeromycotina	d__Fungi|p__Mucoromycota
2497570	Haploviricotina	d__Viruses|p__Negarnaviricota
716546	leotiomyceta	d__Fungi|p__Ascomycota
2283794	Methanomada group	d__Archaea|p__Euryarchaeota
469895	Microsporidia incertae sedis	d__Eukaryota|p__Microsporidia
1137986	Mortierellomycotina	d__Fungi|p__Mucoromycota
451507	Mucoromycotina	d__Eukaryota|p__Mucoromycota
1301283	Oscillatoriophycideae	d__Bacteria|p__Cyanobacteria
6036	Pansporoblastina	d__Fungi|p__Microsporidia
147538	Pezizomycotina	d__Fungi|p__Ascomycota
2497571	Polyploviricotina	d__Viruses|p__Negarnaviricota
29000	Pucciniomycotina	d__Fungi|p__Basidiomycota
716545	saccharomyceta	d__Fungi|p__Ascomycota
147537	Saccharomycotina	d__Fungi|p__Ascomycota
715989	sordariomyceta	d__Fungi|p__Ascomycota
2290931	Stenosarchaea group	d__Archaea|p__Euryarchaeota
451866	Taphrinomycotina	d__Fungi|p__Ascomycota
452562	Taphrinomycotina incertae sedis	d__Fungi|p__Ascomycota
305072	unclassified Acidobacteria (miscellaneous)	d__Bacteria|p__Acidobacteria
1047049	unclassified Atribacteria	d__Bacteria|p__Candidatus Atribacteria
37452	unclassified Bacteroidetes (miscellaneous)	d__Bacteria|p__Bacteriodetes
1983111	unclassified Cyanobacteria (miscellaneous)	d__Bacteria|p__Cyanobacteria
84086	unclassified Firmicutes sensu stricto (miscellaneous)	d__Bacteria|p__Firmicutes
81684	unclassified Proteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria
45359	unclassified pseudomonads	d__Bacteria|p__Proteobacteria
1895827	unclassified Saccharibacteria	d__Bacteria|p__Candidatus Saccharibacteria
1104572	unclassified Thaumarchaeota (miscellaneous)	d__Archaea|p__Thaumarchaeota
