Rank	NCBItaxID	SciNameFull	SciName
S1	180856	[Bacillus thuringiensis] serovar konkukian	[Bacillus thuringiensis]
S2	281309	[Bacillus thuringiensis] serovar konkukian str. 97-27	[Bacillus thuringiensis]
S1	2480908	[Mycobacterium] chelonae subsp. gwanakae	[Mycobacterium] chelonae
F2	310966	[Pasteurella] aerogenes-[Pasteurella] mairii-[Actinobacillus] rossii complex	[Pasteurella] aerogenes-[Pasteurella]
S	379535	[Scytonema hofmanni] UTEX B 1581	[Scytonema hofmanni]
S1	1469607	[Scytonema hofmanni] UTEX 2349	[Scytonema hofmanni]
S1	1349786	[Zimmermannella] alba NBRC 15616	[Zimmermannella] alba
S1	1349787	[Zimmermannella] bifida NBRC 103089	[Zimmermannella] bifida
S1	1278308	[Zimmermannella] faecalis ATCC 13722	[Zimmermannella] faecalis
G1	85621	16SrII (Peanut WB group)	16SrII (Peanut
G1	85623	16SrIII (X-disease group)	16SrIII (X-disease
G1	85629	16SrIX (Pigeon pea witches'-broom group)	16SrIX (Pigeon
G1	85625	16SrV (Elm yellows group)	16SrV (Elm
G1	85630	16SrX (Apple proliferation group)	16SrX (Apple
G1	85631	16SrXI (Rice yellow dwarf group)	16SrXI (Rice
G1	85632	16SrXII (Stolbur group)	16SrXII (Stolbur
G1	590444	16SrXXI (Pine shoot proliferation group)	16SrXXI (Pine
S1	1241371	Abalone herpesvirus Victoria/AUS/2009	Abalone herpesvirus
S	491893	Abalone shriveling syndrome-associated virus	Abalone shriveling
S1	1269028	Acanthamoeba polyphaga moumouvirus	Acanthamoeba polyphaga
S	212035	Acanthamoeba polyphaga mimivirus	Acanthamoeba polyphaga
S	322019	Acanthocystis turfacea chlorella virus 1	Acanthocystis turfacea
G1	151157	Acetobacter subgen. Acetobacter	Acetobacter subgen.
S	2560259	Achimota pararubulavirus 1	Achimota pararubulavirus
S1	1261100	Achimota virus 1	Achimota virus 1
S1	1416009	Achromobacter phage JWAlpha	Achromobacter phage JWAlpha
S1	1664247	Achromobacter phage phiAxp-3	Achromobacter phage phiAxp-3
S	437444	Acidianus bottle-shaped virus	Acidianus bottle-shaped
S	1797140	Acidianus tailed spindle virus	Acidianus tailed
P2	305072	unclassified Acidobacteria (miscellaneous)	Acidobacteria (miscellaneous)
S1	2010329	Acidovorax phage ACP17	Acidovorax phage ACP17
G1	909768	Acinetobacter calcoaceticus/baumannii complex	Acinetobacter calcoaceticus/baumannii
S1	1970374	Acinetobacter phage Loki	Acinetobacter phage Loki
S1	1837876	Acinetobacter phage vB_AbaM_ME3	Acinetobacter phage vB_AbaM_ME3
S1	575564	Acinetobacter sp. RUH2624	Acinetobacter sp. RUH2624
S	320884	Acipenserid herpesvirus 2	Acipenserid herpesvirus
C1	1643818	Actinobacteria incertae sedis	Actinobacteria 
C1	52018	unclassified Actinobacteria (class)	Actinobacteria (class)
C2	78537	unclassified Actinobacteria (class) (miscellaneous)	Actinobacteria (class)
S	712124	Actinomyces sp. oral taxon 448	Actinomyces sp. oral Taxon 448
S1	888056	Actinomyces sp. oral taxon 448 str. F0400	Actinomyces sp. oral Taxon 448
O2	105426	unclassified Actinomycetales (miscellaneous)	Actinomycetales (miscellaneous)
S1	1611877	Adana virus	Adana virus
S	1993630	Adoxophyes honmai entomopoxvirus	Adoxophyes honmai
S1	1293540	Adoxophyes honmai entomopoxvirus 'L'	Adoxophyes honmai
S	542343	Adoxophyes orana nucleopolyhedrovirus	Adoxophyes orana
S	170617	Adoxophyes orana granulovirus	Adoxophyes orana
S	341721	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris
S1	1198013	Aeromonas phage Aes508	Aeromonas phage Aes508
S	338079	African green monkey simian foamy virus	African green
S	10497	African swine fever virus	African swine
C1	355688	Agaricomycetes incertae sedis	Agaricomycetes 
C1	452333	Agaricomycetidae	Agaricomycetidae
P1	5302	Agaricomycotina	Agaricomycotina
F1	2169530	Aglimvirinae	Aglimvirinae
S1	2024264	Agrobacterium phage Atu_ph07	Agrobacterium phage Atu_ph07
S1	311403	Agrobacterium radiobacter K84	Agrobacterium radiobacter
S1	1336745	Agrobacterium radiobacter DSM 30147	Agrobacterium radiobacter
S	208013	Agrotis ipsilon multiple nucleopolyhedrovirus	Agrotis ipsilon
S	1962501	Agrotis segetum nucleopolyhedrovirus A	Agrotis segetum
S	1580580	Agrotis segetum nucleopolyhedrovirus B	Agrotis segetum
S	138184	Alcelaphine gammaherpesvirus 2	Alcelaphine gammaherpesvirus
S	35252	Alcelaphine gammaherpesvirus 1	Alcelaphine gammaherpesvirus
S	2219133	Alces alces faeces associated microvirus MP10 5560	Alces alces
S	1282876	alpha proteobacterium Mf 1.05b.01	alpha proteobacterium Mf
F1	10293	Alphaherpesvirinae	Alphaherpesvirinae
F1	2017756	Alphairidovirinae	Alphairidovirinae
C2	33807	unclassified Alphaproteobacteria (miscellaneous)	Alphaproteobacteria (miscellaneous)
G1	2499237	Alternaria sect. Alternaria	Alternaria sect.
O1	256005	Alteromonadales genera incertae sedis	Alteromonadales genera
S	1972564	American bat vesiculovirus	American bat
S1	1344113	American bat vesiculovirus TFFN-2013	American bat
S1	465447	American grass carp reovirus	American grass
S	28321	Amsacta moorei entomopoxvirus	Amsacta moorei
F1	85151	Aneurinibacillus group	Aneurinibacillus group
S	150286	Anguillid herpesvirus 1	Anguillid herpesvirus
S1	273355	Anhembi virus	Anhembi virus
S	62099	Anomala cuprea entomopoxvirus	Anomala cuprea
S	1465751	Anopheles minimus irodovirus	Anopheles minimus
F3	84564	ant endosymbionts	ant endosymbionts
F2	84563	ant, tsetse, mealybug, aphid, etc. endosymbionts	ant, tsetse,
S	161494	Antheraea pernyi nucleopolyhedrovirus	Antheraea pernyi
S	50290	Aotine betaherpesvirus 1	Aotine betaherpesvirus
P1	6032	Apansporoblastina	Apansporoblastina
S1	2107695	Aphanothece cf. minutissima CCALA 015	Aphanothece cf.
F3	146507	aphid secondary symbionts	aphid secondary
S	1100043	Apis mellifera filamentous virus	Apis mellifera
S	307461	Apocheima cinerarium nucleopolyhedrovirus	Apocheima cinerarium
S1	1927013	Aquamicrobium phage P14	Aquamicrobium phage P14
S1	1884917	Aquatic bird bornavirus 2	Aquatic bird
O1	90150	Aquificales genera incertae sedis	Aquificales genera
D2	93506	unclassified Archaea (miscellaneous)	Archaea (miscellaneous)
D3	2136008	unclassified archaeal dsDNA viruses	archaeal dsDNA
F1	2321108	Arcobacter group	Arcobacter group
F2	2321207	unclassified Arcobacter group	Arcobacter group
S1	72201	Armadillidium vulgare iridescent virus	Armadillidium vulgare
F1	1982875	Arquatrovirinae	Arquatrovirinae
S	536059	Arsenophonus endosymbiont of Bemisia tabaci	Arsenophonus endosymbiont
S1	1868623	Arsenophonus endosymbiont of Bemisia tabaci Asia II 3	Arsenophonus endosymbiont
S	2152761	Arsenophonus endosymbiont of Aleurodicus floccissimus	Arsenophonus endosymbiont
S	1247023	Arsenophonus endosymbiont of Nilaparvata lugens	Arsenophonus endosymbiont
S1	1247024	Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens	Arsenophonus endosymbiont
S	235559	Arsenophonus endosymbiont of Aleurodicus dispersus	Arsenophonus endosymbiont
S1	2015853	Arthrobacter phage Abidatro	Arthrobacter phage Abidatro
S1	1701798	Arthrobacter phage Brent	Arthrobacter phage Brent
S1	1772294	Arthrobacter phage CaptnMurica	Arthrobacter phage CaptnMurica
S1	1772295	Arthrobacter phage Circum	Arthrobacter phage Circum
S1	1772298	Arthrobacter phage Gordon	Arthrobacter phage Gordon
S1	2015839	Arthrobacter phage Molivia	Arthrobacter phage Molivia
