	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Bacteria	|p__	Tenericutes	|c__	Mollicutes	|o__	Acholeplasmatales	|f__	Acholeplasmataceae	|g__	Candidatus Phytoplasma	|s__	'Catharanthus roseus' aster yellows phytoplasma	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma|s__'Catharanthus roseus' aster yellows phytoplasma	'Catharanthus roseus' aster yellows phytoplasma
d__	Bacteria	|p__	Tenericutes	|c__	Mollicutes	|o__	Acholeplasmatales	|f__	Acholeplasmataceae	|g__	Candidatus Phytoplasma	|s__	'Chrysanthemum coronarium' phytoplasma	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma|s__'Chrysanthemum coronarium' phytoplasma	'Chrysanthemum coronarium' phytoplasma
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria	|o__	Sphingomonadales	|f__	Sphingomonadaceae	|g__	Sphingomonas	|s__	'Sphingomonas ginsengisoli' Hoang et al. 2012	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__'Sphingomonas ginsengisoli' Hoang et al. 2012	'Sphingomonas ginsengisoli' Hoang et al. 2012
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis			|s__	[Eubacterium] brachy	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|s__[Eubacterium] brachy	[Eubacterium] brachy
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis			|s__	[Eubacterium] infirmum	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|s__[Eubacterium] infirmum	[Eubacterium] infirmum
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis			|s__	[Eubacterium] minutum	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|s__[Eubacterium] minutum	[Eubacterium] minutum
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis			|s__	[Eubacterium] nodatum	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|s__[Eubacterium] nodatum	[Eubacterium] nodatum
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis			|s__	[Eubacterium] saphenum	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|s__[Eubacterium] saphenum	[Eubacterium] saphenum
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis			|s__	[Eubacterium] sulci	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|s__[Eubacterium] sulci	[Eubacterium] sulci
d__	Bacteria	|p__	Bacteroidetes	|c__	Bacteroidia	|o__	Bacteroidales	|f__	Prevotellaceae	|g__	Prevotella	|s__	[Hallella] seregens	d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__[Hallella] seregens	[Hallella] seregens
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae			|s__	Abalone shriveling syndrome-associated virus	d__Viruses|o__Caudovirales|f__Siphoviridae|s__Abalone shriveling syndrome-associated virus	Abalone shriveling syndrome-associated virus
d__	Viruses							|f__	Mimiviridae	|g__	Mimivirus	|s__	Acanthamoeba polyphaga mimivirus	d__Viruses|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba polyphaga mimivirus	Acanthamoeba polyphaga mimivirus
d__	Viruses							|f__	Phycodnaviridae	|g__	Chlorovirus	|s__	Acanthocystis turfacea chlorella virus 1	d__Viruses|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1	Acanthocystis turfacea chlorella virus 1
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria	|o__	Rhodospirillales	|f__	Acetobacteraceae	|g__	Acetobacter			d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	Acetobacter
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Paramyxoviridae	|g__	Pararubulavirus	|s__	Achimota pararubulavirus 1	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Pararubulavirus|s__Achimota pararubulavirus 1	Achimota pararubulavirus 1
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Paramyxoviridae	|g__	Pararubulavirus	|s__	Achimota pararubulavirus 1	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Pararubulavirus|s__Achimota pararubulavirus 1	Achimota pararubulavirus 1
d__	Viruses					|o__	Caudovirales	|f__	Podoviridae	|g__	Jwalphavirus	|s__	Achromobacter virus Axp3	d__Viruses|o__Caudovirales|f__Podoviridae|g__Jwalphavirus|s__Achromobacter virus Axp3	Achromobacter virus Axp3
d__	Viruses					|o__	Caudovirales	|f__	Podoviridae	|g__	Jwalphavirus	|s__	Achromobacter virus JWAlpha	d__Viruses|o__Caudovirales|f__Podoviridae|g__Jwalphavirus|s__Achromobacter virus JWAlpha	Achromobacter virus JWAlpha
d__	Viruses							|f__	Ampullaviridae	|g__	Ampullavirus	|s__	Acidianus bottle-shaped virus	d__Viruses|f__Ampullaviridae|g__Ampullavirus|s__Acidianus bottle-shaped virus	Acidianus bottle-shaped virus
d__	Viruses							|f__	Bicaudaviridae			|s__	Acidianus tailed spindle virus	d__Viruses|f__Bicaudaviridae|s__Acidianus tailed spindle virus	Acidianus tailed spindle virus
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Busanvirus	|s__	Acidovorax virus ACP17	d__Viruses|o__Caudovirales|f__Myoviridae|g__Busanvirus|s__Acidovorax virus ACP17	Acidovorax virus ACP17
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Pseudomonadales	|f__	Moraxellaceae	|g__	Acinetobacter			d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	Acinetobacter
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Pseudomonadales	|f__	Moraxellaceae	|g__	Acinetobacter	|s__	Acinetobacter nosocomialis	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter nosocomialis	Acinetobacter nosocomialis
