Order	Rank	NCBItaxID	SciNameFull	SciNameFull_found	Taxonomy	SciName	Found_Taxonomy			
0	R1	131567	cellular organisms		root	cellular organisms	root		Archaea	d__Archaea
0	R	1	root		root	root	root		Archaea	d__Archaea
0	U	0	unclassified		root	unclassified			Euryarchaeota	d__Archaea|p__Euryarchaeota
1	D2	1783234	Bacteria candidate phyla	Bacteria	d__Bacteria	Bacteria candidate	d__Bacteria		Euryarchaeota	d__Archaea|p__Euryarchaeota
1	D2	68336	Bacteroidetes/Chlorobi group	Bacteria	d__Bacteria	Bacteroidetes/Chlorobi group	d__Bacteria		Euryarchaeota	d__Archaea|p__Euryarchaeota
1	D1	2498710	Caldiserica/Cryosericota group		d__Bacteria	Caldiserica/Cryosericota group	d__Viruses		Euryarchaeota	d__Archaea|p__Euryarchaeota
1	D3	95901	Candidatus Dependentiae		d__Bacteria	Candidatus Dependentiae	d__Bacteria		Bacteria	d__Bacteria
1	D2	1798711	Cyanobacteria/Melainabacteria group	Cyanobacteria	d__Bacteria|p__Cyanobacteria	Cyanobacteria/Melainabacteria group	d__Bacteria		Bacteria	d__Bacteria
1	K1	451864	Dikarya		d__Eukaryota	Dikarya	d__Fungi		Bacteria	d__Bacteria
1	D1	1783276	DPANN group		d__Archaea	DPANN group	d__Archaea		Bacteria	d__Bacteria
1	D1	1783270	FCB group		d__Bacteria	FCB group	d__Bacteria		Bacteria	d__Bacteria
1	K	4751	Fungi		d__Fungi	Fungi	d__Fungi		Bacteria	d__Bacteria
1	K1	112252	Fungi incertae sedis		d__Fungi	Fungi 	d__Fungi		Bacteria	d__Bacteria
1	D4	128706	Haloviruses		d__Viruses	Haloviruses	d__Viruses		Bacteria	d__Bacteria
1	D1	1802340	Nitrospinae/Tectomicrobia group		d__Bacteria	Nitrospinae/Tectomicrobia group	d__Bacteria		Bacteria	d__Bacteria
1	D1	33154	Opisthokonta		d__Eukaryota	Opisthokonta	d__Eukaryota		Bacteria	d__Bacteria
1	D4	1794811	Parcubacteria group		d__Bacteria	Parcubacteria group	d__Bacteria		Bacteria	d__Bacteria
1	D3	1783273	Patescibacteria group		d__Bacteria	Patescibacteria group	d__Bacteria		Bacteria	d__Bacteria
1	D1	1783257	PVC group		d__Bacteria	PVC group	d__Bacteria		Candidatus Frankia datiscae	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Frankia|s__Candidatus Frankia datiscae
1	D1	2559587	Riboviria		d__Viruses	Riboviria	d__Viruses		Candidatus Frankia meridionalis	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Frankia|s__Candidatus Frankia meridionalis
1	D1	1783275	TACK group		d__Archaea	TACK group	d__Archaea		Microbacteriaceae	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae
1	D1	1783272	Terrabacteria group		d__Bacteria	Terrabacteria group	d__Bacteria		Microbacteriaceae	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae
1	D2	93506	unclassified Archaea (miscellaneous)		d__Archaea	Archaea (miscellaneous)	d__Archaea		Streptomyces	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces
1	D3	2136008	unclassified archaeal dsDNA viruses		d__Viruses	archaeal dsDNA	d__Viruses		Cardinium endosymbiont of Bemisia tabaci	d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae|g__Candidatus Cardinium|s__Cardinium endosymbiont of Bemisia tabaci
1	D2	49928	unclassified Bacteria (miscellaneous)		d__Bacteria	Bacteria (miscellaneous)	d__Bacteria		Flavobacteriales	d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales
1	D3	271174	unclassified Bacteroidetes/Chlorobi group		d__Bacteria	Bacteroidetes/Chlorobi group	d__Bacteria		Candidatus Atribacteria	d__Bacteria|p__Candidatus Atribacteria
1	D4	1104668	unclassified Candidatus Dependentiae		d__Bacteria	Candidatus Dependentiae	d__Bacteria		Candidatus Gastranaerophilales	d__Bacteria|p__Candidatus Melainabacteria|o__Candidatus Gastranaerophilales
1	D2	2204151	unclassified DNA viruses		d__Viruses	DNA viruses	d__Viruses		Candidatus Saccharibacteria	d__Bacteria|p__Candidatus Saccharibacteria
1	D3	79205	unclassified dsDNA phages		d__Viruses	dsDNA phages	d__Viruses		Chloroflexales	d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales
1	D3	51368	unclassified dsDNA viruses		d__Viruses	dsDNA viruses	d__Viruses		Thermomicrobia	d__Bacteria|p__Chloroflexi|c__Thermomicrobia
1	D2	2585030	unclassified Riboviria		d__Viruses	Riboviria	d__Viruses		Trichormus azollae	d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Trichormus|s__Trichormus azollae
1	D3	1922348	unclassified RNA viruses ShiM-2016		d__Viruses	RNA viruses	d__Viruses		Paenibacillaceae	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae
1	D3	35342	unclassified ssDNA viruses		d__Viruses	ssDNA viruses	d__Viruses		Clostridiales Family XIII. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis
1	D4	988644	unclassified ssRNA negative-strand viruses		d__Viruses	ssRNA negative-strand	d__Viruses		Thermoanaerobacteraceae	d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae
1	D4	35278	unclassified ssRNA positive-strand viruses		d__Viruses	ssRNA positive-strand	d__Viruses		Proteobacteria	d__Bacteria|p__Proteobacteria
1	D3	439490	unclassified ssRNA viruses		d__Viruses	ssRNA viruses	d__Viruses		Proteobacteria	d__Bacteria|p__Proteobacteria
1	D2	1859062	unclassified Terrabacteria group		d__Bacteria	Terrabacteria group	d__Bacteria		Alphaproteobacteria	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
1	D1	12429	unclassified viruses		d__Viruses	viruses	d__Viruses		Alphaproteobacteria	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
2	P1	5302	Agaricomycotina		d__Fungi|p__Basidiomycota	Agaricomycotina	d__Fungi|p__Basidiomycota		Alphaproteobacteria	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
2	P1	6032	Apansporoblastina	Aphanothece minutissima	d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Aphanothece|s__Aphanothece minutissima	Apansporoblastina	d__Fungi|p__Microsporidia		Agrobacterium tumefaciens	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium tumefaciens
2	P	640293	candidate division NC10	candidate division NC10	d__Bacteria|p__candidate division NC10	candidate division	d__Bacteria|p__candidate division NC10		Agrobacterium tumefaciens	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium tumefaciens
2	P1	68525	delta/epsilon subdivisions		d__Bacteria|p__Proteobacteria	delta/epsilon subdivisions	d__Bacteria|p__Proteobacteria		Anaplasmataceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae
2	P2	1803510	DHVE2 group		d__Archaea|p__Euryarchaeota	DHVE2 group	d__Archaea|p__Euryarchaeota		Anaplasma	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma
2	P1	2283796	Diaforarchaea group		d__Archaea|p__Euryarchaeota	Diaforarchaea group	d__Archaea|p__Euryarchaeota		Ehrlichia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia
2	P4	715962	dothideomyceta		d__Fungi|p__Ascomycota	dothideomyceta	d__Fungi|p__Ascomycota		Rickettsiaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae
2	P1	99260	environmental samples		d__Bacteria|p__Elusimicrobia	environmental samples	d__Bacteria|p__Elusimicrobia		Rickettsia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia
2	P1	214504	Glomeromycotina		d__Fungi|p__Mucoromycota	Glomeromycotina	d__Fungi|p__Mucoromycota		Rickettsia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia
2	P1	2497570	Haploviricotina		d__Viruses|p__Negarnaviricota	Haploviricotina	d__Viruses|p__Negarnaviricota		Burkholderia	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia
2	P3	716546	leotiomyceta		d__Fungi|p__Ascomycota	leotiomyceta	d__Fungi|p__Ascomycota		Nitrosomonadales	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales
2	P1	2283794	Methanomada group		d__Archaea|p__Euryarchaeota	Methanomada group	d__Archaea|p__Euryarchaeota		Methylovorus glucosotrophus	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylovorus|s__Methylovorus glucosotrophus
2	P1	469895	Microsporidia incertae sedis	Microsporidia	d__Eukaryota|p__Microsporidia	Microsporidia 	d__Fungi|p__Microsporidia		Myxococcales	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
2	P1	1137986	Mortierellomycotina		d__Fungi|p__Mucoromycota	Mortierellomycotina	d__Fungi|p__Mucoromycota		Myxococcales	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
2	P1	451507	Mucoromycotina	Mucoromycota	d__Eukaryota|p__Mucoromycota	Mucoromycotina	d__Fungi|p__Mucoromycota		Myxococcales	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
2	P1	1301283	Oscillatoriophycideae		d__Bacteria|p__Cyanobacteria	Oscillatoriophycideae	d__Bacteria|p__Cyanobacteria		Myxococcales	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
2	P1	6036	Pansporoblastina		d__Fungi|p__Microsporidia	Pansporoblastina	d__Fungi|p__Microsporidia		Campylobacteraceae	d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae
2	P2	147538	Pezizomycotina		d__Fungi|p__Ascomycota	Pezizomycotina	d__Fungi|p__Ascomycota		Campylobacteraceae	d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae
2	P1	2497571	Polyploviricotina		d__Viruses|p__Negarnaviricota	Polyploviricotina	d__Viruses|p__Negarnaviricota		Gammaproteobacteria	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria
2	P1	29000	Pucciniomycotina		d__Fungi|p__Basidiomycota	Pucciniomycotina	d__Fungi|p__Basidiomycota		Gammaproteobacteria	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria
2	P1	716545	saccharomyceta		d__Fungi|p__Ascomycota	saccharomyceta	d__Fungi|p__Ascomycota		Candidatus Nardonella dryophthoridicola	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus Nardonella|s__Candidatus Nardonella dryophthoridicola
2	P2	147537	Saccharomycotina		d__Fungi|p__Ascomycota	Saccharomycotina	d__Fungi|p__Ascomycota		Porticoccaceae	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Porticoccaceae
2	P4	715989	sordariomyceta		d__Fungi|p__Ascomycota	sordariomyceta	d__Fungi|p__Ascomycota		Spongiibacteraceae	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Spongiibacteraceae
2	P1	2290931	Stenosarchaea group		d__Archaea|p__Euryarchaeota	Stenosarchaea group	d__Archaea|p__Euryarchaeota		Enterobacteriaceae	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae
2	P1	451866	Taphrinomycotina		d__Fungi|p__Ascomycota	Taphrinomycotina	d__Fungi|p__Ascomycota		Enterobacteriaceae	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae
2	P2	452562	Taphrinomycotina incertae sedis		d__Fungi|p__Ascomycota	Taphrinomycotina 	d__Fungi|p__Ascomycota		Enterobacteriaceae	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae
2	P2	305072	unclassified Acidobacteria (miscellaneous)		d__Bacteria|p__Acidobacteria	Acidobacteria (miscellaneous)	d__Bacteria|p__Acidobacteria		Enterobacteriaceae	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae
2	P1	1047049	unclassified Atribacteria		d__Bacteria|p__Candidatus Atribacteria	Atribacteria	d__Bacteria_p__Candidatus Atribacteria		Candidatus Blochmannia	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Candidatus Blochmannia
2	P2	37452	unclassified Bacteroidetes (miscellaneous)		d__Bacteria|p__Bacteriodetes	Bacteroidetes (miscellaneous)	d__Bacteria|p__Bacteroidetes		Halomonadaceae	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae
