Proteins	log fold change (Anterior - Posterior)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Anterior)	structural.zero (Posterior)
3.4.24.40-RXN	0.946437503769509	0	0.946437503769509	0.946437503769509	0	0	TRUE	0	1
ALTRODEHYDRAT-RXN	-0.246826604102493	0	-0.246826604102493	-0.246826604102493	0	0	TRUE	1	0
3.5.1.98-RXN	1.06444273437736	0.128274146364568	0.545000979343224	1.5838844894115	1.05713018802183e-16	5.67517815309912e-14	TRUE	0	0
RXN-11837	1.12522822268921	0.135792927555613	0.575339421166886	1.67511702421153	1.16773213026731e-16	5.67517815309912e-14	TRUE	0	0
1.4.3.19-RXN	1.04365726270486	0.131760949082492	0.510095819685363	1.57721870572436	2.35913269956685e-15	3.27582426282712e-13	TRUE	0	0
RXN-17951	1.04365726270486	0.131760949082492	0.510095819685363	1.57721870572436	2.35913269956685e-15	3.27582426282712e-13	TRUE	0	0
RXN-8672	1.04365726270486	0.131760949082492	0.510095819685363	1.57721870572436	2.35913269956685e-15	3.27582426282712e-13	TRUE	0	0
RXN-8673	1.04365726270486	0.131760949082492	0.510095819685363	1.57721870572436	2.35913269956685e-15	3.27582426282712e-13	TRUE	0	0
RXN-8674	1.04365726270486	0.131760949082492	0.510095819685363	1.57721870572436	2.35913269956685e-15	3.27582426282712e-13	TRUE	0	0
2.4.1.230-RXN	1.01667107714644	0.12952023033069	0.49218334784059	1.5411588064523	4.17647005107904e-15	4.51058765516536e-13	TRUE	0	0
RXN-15358	1.01667107714644	0.12952023033069	0.49218334784059	1.5411588064523	4.17647005107904e-15	4.51058765516536e-13	TRUE	0	0
ABC-7-RXN	0.975104679401712	0.128747415847112	0.45374643583435	1.49646292296907	3.62516480286773e-14	1.77699565663248e-12	TRUE	0	0
ABC-70-RXN	0.975104679401712	0.128747415847112	0.45374643583435	1.49646292296907	3.62516480286773e-14	1.77699565663248e-12	TRUE	0	0
FATTY-ACID-SYNTHASE-RXN	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-613	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-617	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-621	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-625	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-629	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-633	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-638	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
RXN66-647	0.790643897258158	0.104407579574623	0.367848985655545	1.21343880886077	3.65636966385285e-14	1.77699565663248e-12	TRUE	0	0
SULFITE-REDUCT-RXN	1.46544624066971	0.199886566244092	0.656012448122893	2.27488003321653	2.27778866555992e-13	1.05429075377345e-11	TRUE	0	0
RXN-12560	1.19934122518422	0.165405020029925	0.529539271081858	1.86914317928659	4.13901038544566e-13	1.67629920610549e-11	TRUE	0	0
RXN-13279	1.19934122518422	0.165405020029925	0.529539271081858	1.86914317928659	4.13901038544566e-13	1.67629920610549e-11	TRUE	0	0
RXN-5901	1.19934122518422	0.165405020029925	0.529539271081858	1.86914317928659	4.13901038544566e-13	1.67629920610549e-11	TRUE	0	0
NADPH-DEHYDROGENASE-RXN	1.02871800798022	0.144755162229774	0.442536944610033	1.6148990713504	1.18930707102817e-12	4.62402589215753e-11	TRUE	0	0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	1.19941816349282	0.172625876485347	0.500375598898346	1.89846072808729	3.70294611947614e-12	1.19975454271027e-10	TRUE	0	0
RXN-12160	1.19941816349282	0.172625876485347	0.500375598898346	1.89846072808729	3.70294611947614e-12	1.19975454271027e-10	TRUE	0	0
RXN-9225	1.19941816349282	0.172625876485347	0.500375598898346	1.89846072808729	3.70294611947614e-12	1.19975454271027e-10	TRUE	0	0
RXN-9233	1.19941816349282	0.172625876485347	0.500375598898346	1.89846072808729	3.70294611947614e-12	1.19975454271027e-10	TRUE	0	0
RXN-9240	1.19941816349282	0.172625876485347	0.500375598898346	1.89846072808729	3.70294611947614e-12	1.19975454271027e-10	TRUE	0	0
RXN-11601	1.0889300975583	0.157980029515788	0.449195387815627	1.72866480730097	5.46917354071627e-12	1.66126146299257e-10	TRUE	0	0
RXN0-1483	0.995865660865684	0.144466509422338	0.410853487136473	1.58087783459489	5.44738213954917e-12	1.66126146299257e-10	TRUE	0	0
METHYLISOCITRATE-LYASE-RXN	0.964975261020856	0.14199918198519	0.389954445102386	1.53999607693933	1.07833058401098e-11	3.1761737201778e-10	TRUE	0	0
RNA-DIRECTED-RNA-POLYMERASE-RXN	1.03860970364063	0.153343542335529	0.417650289671615	1.65956911760965	1.26059960944748e-11	3.60383182465573e-10	TRUE	0	0
GPH-RXN	0.618446519539391	0.0928778686143452	0.242340776923499	0.994552262155282	2.76246903555058e-11	7.67177115015761e-10	TRUE	0	0
CERAMIDE-GLUCOSYLTRANSFERASE-RXN	0.728325906878756	0.111416483449492	0.277148679487578	1.17950313426993	6.2778775603502e-11	1.60581499701589e-09	TRUE	0	0
RXN-18272	0.728325906878756	0.111416483449492	0.277148679487578	1.17950313426993	6.2778775603502e-11	1.60581499701589e-09	TRUE	0	0
