Proteins	log fold change (Industrial calculus - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (CMC)	structural.zero (Industrial calculus)
NADPH-DEHYDROGENASE-RXN	-1.44436799667139	0.15050381789762	-2.0553134621012	-0.833422531241587	0	0	TRUE	0	0
DIHYDROKAEMPFEROL-4-REDUCTASE-RXN	-1.44256490140151	0.171912253633192	-2.1404143863924	-0.744715416410609	0	0	TRUE	0	0
RXN-17678	-1.44256490140151	0.171912253633192	-2.1404143863924	-0.744715416410609	0	0	TRUE	0	0
RXN-600	-1.44256490140151	0.171912253633192	-2.1404143863924	-0.744715416410609	0	0	TRUE	0	0
RXN-7784	-1.44256490140151	0.171912253633192	-2.1404143863924	-0.744715416410609	0	0	TRUE	0	0
RXN-12560	-1.25120933902469	0.213399340472074	-2.11746882139751	-0.38494985665187	0	0	TRUE	0	0
RXN-13279	-1.25120933902469	0.213399340472074	-2.11746882139751	-0.38494985665187	0	0	TRUE	0	0
RXN-5901	-1.25120933902469	0.213399340472074	-2.11746882139751	-0.38494985665187	0	0	TRUE	0	0
3.1.21.1-RXN	-1.21981148033025	0.149975089434379	-1.82861065962876	-0.611012301031731	0	0	TRUE	0	0
4.1.1.83-RXN	-1.19787554201145	0.118970614881909	-1.68081716234258	-0.714933921680314	0	0	TRUE	0	0
RXN-20409	-1.19787554201145	0.118970614881909	-1.68081716234258	-0.714933921680314	0	0	TRUE	0	0
3.1.11.1-RXN	-1.17755761088163	0.206631379110497	-2.01634366858112	-0.338771553182148	0	0	TRUE	0	0
HIPPURATE-HYDROLASE-RXN	-1.1669701620646	0.134529403797721	-1.71307012394798	-0.620870200181217	0	0	TRUE	0	0
2.1.1.64-RXN	-1.15458022708202	0.183193004704181	-1.89822206345467	-0.410938390709369	0	0	TRUE	0	0
DHHB-METHYLTRANSFER-RXN	-1.15458022708202	0.183193004704181	-1.89822206345467	-0.410938390709369	0	0	TRUE	0	0
RXN-11758	-1.15458022708202	0.183193004704181	-1.89822206345467	-0.410938390709369	0	0	TRUE	0	0
RXN-9229	-1.15458022708202	0.183193004704181	-1.89822206345467	-0.410938390709369	0	0	TRUE	0	0
RXN-9237	-1.15458022708202	0.183193004704181	-1.89822206345467	-0.410938390709369	0	0	TRUE	0	0
RXN3O-102	-1.15458022708202	0.183193004704181	-1.89822206345467	-0.410938390709369	0	0	TRUE	0	0
RXN-11867	-1.13258575200711	0.227215442378284	-2.05492942498336	-0.210242079030848	0	0	TRUE	0	0
RR-BUTANEDIOL-DEHYDROGENASE-RXN	-1.12886835008862	0.157515424967467	-1.76827627982357	-0.489460420353669	0	0	TRUE	0	0
SULFITE-REDUCT-RXN	-1.12627221498108	0.194150701242461	-1.91439501605705	-0.338149413905117	0	0	TRUE	0	0
ACYL-COA-HYDROLASE-RXN	-1.1135432954327	0.219615877853472	-2.00503778763379	-0.222048803231598	0	0	TRUE	0	0
RXN-10708	-1.1135432954327	0.219615877853472	-2.00503778763379	-0.222048803231598	0	0	TRUE	0	0
RXN-18840	-1.1135432954327	0.219615877853472	-2.00503778763379	-0.222048803231598	0	0	TRUE	0	0
RXN-11601	-1.10738320419134	0.164963607519908	-1.77702580451254	-0.437740603870138	0	0	TRUE	0	0
3.4.23.43-RXN	-1.07157249453251	0.115584222973791	-1.54076761454669	-0.602377374518333	0	0	TRUE	0	0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	-1.07103451232664	0.17272657431853	-1.77218959804623	-0.369879426607057	0	0	TRUE	0	0
