Proteins	log fold change (Industrial plaque - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Industrial plaque)	structural.zero (CMC)
2.1.3.1-RXN	-0.827641305532468	0.304611048679395	-2.06415969762462	0.408877086559684	0	0	TRUE	0	0
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19025	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19026	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19242	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19243	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19244	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19245	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19246	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19247	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-19248	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
RXN-20897	-0.742472971214346	0.140189946168052	-1.31155097273377	-0.173394969694926	0	0	TRUE	0	0
1PFRUCTPHOSN-RXN	-0.739867389088848	0.172960792709403	-1.44197324579766	-0.0377615323800384	0	0	TRUE	0	0
ETHAMLY-RXN	-0.726674060959223	0.135536260428603	-1.27686119153751	-0.176486930380935	0	0	TRUE	0	0
2.7.1.90-RXN	-0.706949669099487	0.126336124717446	-1.21979036373624	-0.194108974462738	0	0	TRUE	0	0
RXN-21730	-0.706949669099487	0.126336124717446	-1.21979036373624	-0.194108974462738	0	0	TRUE	0	0
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	-0.700739402346041	0.11606270521984	-1.17187684224682	-0.22960196244526	0	0	TRUE	0	0
NAD-SYNTH-GLN-RXN	-0.663346513222599	0.13313174004998	-1.20377288927403	-0.122920137171167	0	0	TRUE	0	0
R341-RXN	-0.623016603524516	0.268297327622504	-1.71212542473334	0.466092217684311	0	0	TRUE	0	0
3.4.17.14-RXN	-0.62215368732654	0	-0.62215368732654	-0.62215368732654	0	0	TRUE	0	0
RXN-15275	-0.62215368732654	0	-0.62215368732654	-0.62215368732654	0	0	TRUE	0	0
R342-RXN	-0.620016499062891	0.281916163215808	-1.76440874076157	0.524375742635792	0	0	TRUE	0	0
RXN-14247	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-9393	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-9394	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-9421	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-9432	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-9436	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-9443	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-9984	-0.582206031114368	0	-0.582206031114368	-0.582206031114368	0	0	TRUE	1	0
RXN-17898	-0.574037394752314	0.137551813887688	-1.13240633269842	-0.0156684568062092	0	0	TRUE	0	0
RXN-17899	-0.574037394752314	0.137551813887688	-1.13240633269842	-0.0156684568062092	0	0	TRUE	0	0
URA-PHOSPH-RXN	-0.564331258656273	0.0877975404230873	-0.920730916463384	-0.207931600849163	0	0	TRUE	0	0
METHYLMALONYL-COA-EPIM-RXN	-0.560073723285447	0.167471196349467	-1.23989546753789	0.119748020966995	0	0	TRUE	0	0
RXN-16391	-0.560073723285447	0.167471196349467	-1.23989546753789	0.119748020966995	0	0	TRUE	0	0
TRE6PHYDRO-RXN	-0.5577316410941	0.16366413858702	-1.2220992612646	0.106635979076396	0	0	TRUE	0	0
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	-0.542374283620161	0.156280563254874	-1.17676949557638	0.0920209283360633	0	0	TRUE	0	0
R101-RXN	-0.535416039039313	0.141296395480565	-1.10898548934489	0.0381534112662595	0	0	TRUE	0	0
AMP-NUCLEOSID-RXN	-0.521659935189665	0.255388019205584	-1.55836554464397	0.515045674264642	0	0	TRUE	0	0
RXN-13028	-0.510180322718626	0.16500778171869	-1.18000224092566	0.159641595488403	0	0	TRUE	0	0
2.7.8.11-RXN	-0.502241758360124	0.0988242395749992	-0.903402485617991	-0.101081031102257	0	0	TRUE	0	0
RXN-20525	-0.502241758360124	0.0988242395749992	-0.903402485617991	-0.101081031102257	0	0	TRUE	0	0
2.1.1.79-RXN	-0.464597313128627	0.276615733237648	-1.58747333214791	0.658278705890655	0	0	TRUE	0	0
RXN-7421	-0.464597313128627	0.276615733237648	-1.58747333214791	0.658278705890655	0	0	TRUE	0	0
RXN1G-2544	-0.464597313128627	0.276615733237648	-1.58747333214791	0.658278705890655	0	0	TRUE	0	0
RXN1G-3641	-0.464597313128627	0.276615733237648	-1.58747333214791	0.658278705890655	0	0	TRUE	0	0
RXN1G01-65	-0.464597313128627	0.276615733237648	-1.58747333214791	0.658278705890655	0	0	TRUE	0	0
RXN0-6366	-0.456398879046833	0.130032133007387	-0.984242910718307	0.0714451526246411	0	0	TRUE	0	0
3.4.11.5-RXN	-0.443506461023342	0.0959512431432028	-0.833004732360018	-0.0540081896866672	0	0	TRUE	0	0
RXN-8850	-0.441822647173431	0.198545201967738	-1.24778420030525	0.364138905958393	0	0	TRUE	0	0
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	-0.427050638084737	0.0878636884765925	-0.783718813022513	-0.0703824631469612	0	0	TRUE	0	0
RXN-12560	-0.423520072706967	0.15561146331391	-1.05519918363292	0.208159038218988	0	0	TRUE	0	0
RXN-13279	-0.423520072706967	0.15561146331391	-1.05519918363292	0.208159038218988	0	0	TRUE	0	0
RXN-5901	-0.423520072706967	0.15561146331391	-1.05519918363292	0.208159038218988	0	0	TRUE	0	0
DIMETHUROPORDEHYDROG-RXN	-0.421381058849079	0.0743652330143681	-0.723254476616229	-0.119507641081929	0	0	TRUE	0	0
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	-0.419399374886342	0.106748651303135	-0.852727946648969	0.0139291968762841	0	0	TRUE	0	0
1.2.99.7-RXN	-0.419084103371282	0.0876992443309996	-0.775084744378891	-0.0630834623636743	0	0	TRUE	0	0
RXN-11080	-0.410373200432008	0.310956994802173	-1.67265191582845	0.851905514964437	0	0	TRUE	0	0
DTDPDEHYDRHAMEPIM-RXN	-0.403950029546998	0.0997690702353959	-0.808946141286347	0.00104608219235142	0	0	TRUE	0	0
HOMOSERDEAM-RXN	-0.40336592912517	0.120485438459659	-0.892456726325571	0.0857248680752315	0	0	TRUE	0	0
RXN-15130	-0.40336592912517	0.120485438459659	-0.892456726325571	0.0857248680752315	0	0	TRUE	0	0
RXN-8807	-0.398817793335449	0.307190856174257	-1.64580848913846	0.848172902467563	0	0	TRUE	0	0
GLUTAMINE--TRNA-LIGASE-RXN	-0.389768125342107	0.0738755344896595	-0.689653692586409	-0.0898825580978055	0	0	TRUE	0	0
R322-RXN	-0.38426553357734	0.312315875213899	-1.6520604002396	0.883529333084915	0	0	TRUE	0	0
RXN1G-1435	-0.379735589120897	0.270607089930967	-1.47822051007449	0.718749331832693	0	0	TRUE	0	0
RXN1G-1436	-0.379735589120897	0.270607089930967	-1.47822051007449	0.718749331832693	0	0	TRUE	0	0
RXN1G-1437	-0.379735589120897	0.270607089930967	-1.47822051007449	0.718749331832693	0	0	TRUE	0	0
