Pathways	log fold change (Industrial calculus - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (CMC)	structural.zero (Industrial calculus)
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis	-1.66253136017872	0.207069172036182	-2.38754639161838	-0.937516328739063	0	0	TRUE	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	-1.50612375451982	0.215385578473807	-2.26025717000259	-0.751990339037042	0	0	TRUE	0	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	-1.31712234846109	0.179882368132572	-1.9469477324361	-0.687296964486077	0	0	TRUE	0	0
PWY66-389: phytol degradation	-1.07679045498846	0.255051045041039	-1.9698052848678	-0.18377562510912	0	0	TRUE	0	0
GLYOXYLATE-BYPASS: glyoxylate cycle	-1.05988064786055	0.206897806636407	-1.78429567453134	-0.335465621189748	0	0	TRUE	0	0
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	-1.05582385375522	0.202390852143768	-1.76445859927144	-0.347189108239009	0	0	TRUE	0	0
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	-1.03130808077586	0.190217238020784	-1.69731913132425	-0.365297030227468	0	0	TRUE	0	0
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	-0.992115146003267	0.189483224964006	-1.65555618338068	-0.328674108625854	0	0	TRUE	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	-0.95617564085988	0.239541192251367	-1.79488554307976	-0.117465738639999	0	0	TRUE	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	-0.950060061858311	0.190191815940159	-1.61598210161672	-0.2841380220999	0	0	TRUE	0	0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	-0.939864554212145	0.195932155546654	-1.62588534869755	-0.253843759726736	0	0	TRUE	0	0
PWY-5856: ubiquinol-9 biosynthesis (early decarboxylation)	-0.939864554212145	0.195932155546654	-1.62588534869755	-0.253843759726736	0	0	TRUE	0	0
PWY-5857: ubiquinol-10 biosynthesis (early decarboxylation)	-0.939864554212145	0.195932155546654	-1.62588534869755	-0.253843759726736	0	0	TRUE	0	0
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	-0.939864554212145	0.195932155546654	-1.62588534869755	-0.253843759726736	0	0	TRUE	0	0
PWY-7391: isoprene biosynthesis II (engineered)	-0.937661042887119	0.227562046577994	-1.73442814603364	-0.140893939740599	0	0	TRUE	0	0
PWY0-1479: tRNA processing	-0.808064479371939	0.147552902414278	-1.32469412120104	-0.291434837542841	0	0	TRUE	0	0
PWY-6803: phosphatidylcholine acyl editing	-0.796561907464136	0.160823710844799	-1.35965687050388	-0.23346694442439	0	0	TRUE	0	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	-0.766126470842187	0.144841341354903	-1.27326207496697	-0.258990866717407	0	0	TRUE	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	-0.765175428669959	0.143745252591175	-1.26847327741242	-0.261877579927503	0	0	TRUE	0	0
PWY-5838: superpathway of menaquinol-8 biosynthesis I	-0.636670645409545	0.222425422290208	-1.41545279317675	0.14211150235766	0.01	0.0138961038961039	TRUE	0	0
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	-0.576510807870804	0.121783099879516	-1.00291217471714	-0.150109441024471	0	0	TRUE	0	0
REDCITCYC: TCA cycle VI (Helicobacter)	-0.494846879357416	0.14612091375536	-1.00646267343527	0.0167689147204332	0.001	0.00155072463768116	TRUE	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	-0.482264416955305	0.208495814061072	-1.21227457587994	0.247745741969329	0.035	0.0451204819277109	TRUE	0	0
SO4ASSIM-PWY: assimilatory sulfate reduction I	-0.411346939478814	0.171085418191981	-1.01037140376581	0.187677524808182	0	0	TRUE	0	0
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	-0.408221455524866	0.167744962204211	-0.995549920937765	0.179107009888034	0	0	TRUE	0	0
PWY-5723: Rubisco shunt	-0.397697047610948	0.159282459571509	-0.955395599734605	0.16000150451271	0.018	0.024075	TRUE	0	0
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	-0.380142853058927	0.101607355717638	-0.735902522524606	-0.0243831835932484	0	0	TRUE	0	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	-0.370925575428078	0.13032345986576	-0.827229458921603	0.0853783080654467	0	0	TRUE	0	0
PWY-7013: (S)-propane-1,2-diol degradation	-0.308089174789578	0.191544289263625	-0.978746653819284	0.362568304240128	0.014	0.0189620253164557	TRUE	0	0
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	-0.207634094777463	0.143873551547256	-0.711381158971752	0.296112969416826	0	0	TRUE	0	0
PWY-5173	-0.202639278978967	0.110323504476313	-0.588916957495259	0.183638399537326	0	0	TRUE	0	0
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	-0.192878209596051	0.103239011939305	-0.55435082645616	0.168594407264058	0.04	0.0497674418604651	TRUE	0	0
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	-0.167794427133908	0.135069117328955	-0.64071436680348	0.305125512535665	0.038	0.0484047619047619	TRUE	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	-0.148603616358866	0.238457828173867	-0.983520316370106	0.686313083652374	0	0	TRUE	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	-0.140066369353186	0.252427791108161	-1.02389635286492	0.743763614158547	0	0	TRUE	0	0
PWY0-1261: anhydromuropeptides recycling I	-0.122167621306977	0.0849082300524808	-0.419458340517601	0.175123097903648	0	0	TRUE	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	-0.024935955975411	0.086509457996349	-0.327833083501914	0.277961171551092	0	0	TRUE	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	-0.0236877546249019	0.138548995787037	-0.508791855581658	0.461416346331854	0	0	TRUE	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	-0.00961960292416109	0.0958198291996206	-0.345115301277399	0.325876095429076	0.002	0.00301408450704225	TRUE	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	-0.00121889420391152	0.111215919218309	-0.39062120057216	0.388183412164337	0	0	TRUE	0	0
P122-PWY: heterolactic fermentation	-0.0010761408425557	0.167079158224931	-0.586073414759283	0.583921133074171	0	0	TRUE	0	0
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0276171310798503	0.0656469609373504	-0.202233758745481	0.257468020905182	0	0	TRUE	0	0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0282502080507276	0.0659430574822006	-0.202637409954191	0.259137826055647	0	0	TRUE	0	0
FERMENTATION-PWY: mixed acid fermentation	0.0432851782042425	0.0722126005438101	-0.209554104141764	0.296124460550249	0.008	0.0112631578947368	TRUE	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0.0758529525821494	0.0804834811241003	-0.205945313300551	0.35765121846485	0.026	0.0343456790123457	TRUE	0	0
PWY-7431: aromatic biogenic amine degradation (bacteria)	0.0843744517764726	0.287687861034719	-0.922912251318322	1.09166115487127	0.033	0.0430609756097561	TRUE	0	0
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.103970700134154	0.0788002980628873	-0.171934206500311	0.379875606768618	0.001	0.00155072463768116	TRUE	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.148708530635012	0.0753374305645042	-0.115071775492656	0.412488836762681	0	0	TRUE	0	0
