Proteins	log fold change (Industrial plaque - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Industrial plaque)	structural.zero (CMC)
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	-1.93241634144396	0	-1.93241634144396	-1.93241634144396	0	0	TRUE	0	0
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	-0.835305814629588	0.296122112841273	-1.87212351588586	0.201511886626684	0.003	0.00445833333333333	TRUE	0	0
PWY-4984: urea cycle	-0.660695508021012	0.171431657753852	-1.26093226713861	-0.0604587489034179	0	0	TRUE	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	-0.646646068137918	0.167314094104494	-1.23246592729238	-0.0608262089834535	0	0	TRUE	0	0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	-0.607810566386513	0.133143013853706	-1.07398660517537	-0.141634527597658	0	0	TRUE	0	0
P108-PWY: pyruvate fermentation to propanoate I	-0.554192285674928	0.160374457846617	-1.11571427107923	0.00732969972937947	0	0	TRUE	0	0
PWY-7431: aromatic biogenic amine degradation (bacteria)	-0.516365434091159	0.228450492298937	-1.31624326828455	0.283512400102228	0.033	0.0430609756097561	TRUE	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	-0.497792828487832	0.128607318566965	-0.948087955460695	-0.047497701514968	0	0	TRUE	0	0
PWY-6527: stachyose degradation	-0.36846321207443	0.0851599244739709	-0.666635193508279	-0.0702912306405814	0	0	TRUE	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	-0.263518958233823	0.0784173936079336	-0.538083194585421	0.0110452781177748	0	0	TRUE	0	0
PWY66-399: gluconeogenesis III	-0.258005710398632	0.0965810408234013	-0.596166652756666	0.0801552319594018	0	0	TRUE	0	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	-0.230523538463642	0.0890484413270489	-0.542310454176532	0.0812633772492472	0	0	TRUE	0	0
PWY0-781: aspartate superpathway	-0.213603349890979	0.0889103228538243	-0.524906668899335	0.0976999691173758	0	0	TRUE	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	-0.207370417406551	0.0732251751028668	-0.463755045341911	0.0490142105288082	0	0	TRUE	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	-0.189266197825813	0.0774026004020327	-0.460277320399797	0.0817449247481702	0	0	TRUE	0	0
PWY-6700: queuosine biosynthesis I (de novo)	-0.185167601090015	0.0857606202954111	-0.485442809651227	0.115107607471197	0	0	TRUE	0	0
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	-0.181955777048633	0.122256143492434	-0.610013420039402	0.246101865942136	0	0	TRUE	0	0
PWY-6737: starch degradation V	-0.168172065607035	0.0846198866146048	-0.464453202731531	0.128109071517462	0	0	TRUE	0	0
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	-0.153172284130155	0.161121334836583	-0.717309323427021	0.410964755166711	0	0	TRUE	0	0
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	-0.141373088356991	0.0828695129319873	-0.431525610497156	0.148779433783174	0	0	TRUE	0	0
PWY-4981: L-proline biosynthesis II (from arginine)	-0.131613860117471	0.12127448420599	-0.556234401721176	0.293006681486234	0.04	0.0497674418604651	TRUE	0	0
GLUCONEO-PWY: gluconeogenesis I	-0.129690227230687	0.0877166822872938	-0.436814230967913	0.17743377650654	0	0	TRUE	0	0
