Pathway	log fold change (Anterior - Posterior)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Anterior)	structural.zero (Posterior)
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis	1.38071137370864	0.221943557482293	0.614466125615809	2.14695662180147	4.93989033713947e-10	4.44590130342552e-08	TRUE	0	0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	1.16205240198491	0.207608118924813	0.445299294139816	1.87880550983	2.17670571033863e-08	3.26505856550795e-07	TRUE	0	0
PWY-5856: ubiquinol-9 biosynthesis (early decarboxylation)	1.16205240198491	0.207608118924813	0.445299294139816	1.87880550983	2.17670571033863e-08	3.26505856550795e-07	TRUE	0	0
PWY-5857: ubiquinol-10 biosynthesis (early decarboxylation)	1.16205240198491	0.207608118924813	0.445299294139816	1.87880550983	2.17670571033863e-08	3.26505856550795e-07	TRUE	0	0
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	1.16205240198491	0.207608118924813	0.445299294139816	1.87880550983	2.17670571033863e-08	3.26505856550795e-07	TRUE	0	0
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	1.29788840023258	0.224628865675812	0.522372305685412	2.07340449477976	7.56281812809721e-09	3.26505856550795e-07	TRUE	0	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	1.24677778419192	0.226242802363472	0.465689681465414	2.02786588691843	3.57215851968745e-08	4.59277523959814e-07	TRUE	0	0
PWY-7391: isoprene biosynthesis II (engineered)	1.34911417999117	0.250895260495679	0.482915118821462	2.21531324116088	7.5652811507723e-08	8.51094129461883e-07	TRUE	0	0
SO4ASSIM-PWY: assimilatory sulfate reduction I	1.10140578918779	0.216588450686067	0.353648688181476	1.8491628901941	3.6714776702631e-07	3.6714776702631e-06	TRUE	0	0
PWY-6803: phosphatidylcholine acyl editing	1.0264956604999	0.217203082992307	0.27661658267514	1.77637473832466	2.29017352279789e-06	2.0611561705181e-05	TRUE	0	0
PWY-1042: glycolysis IV	-0.686802755363495	0.150431600531078	-1.20615776786091	-0.167447742866078	4.98190196170186e-06	3.73642647127639e-05	TRUE	0	0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	-1.86972806977057	0.408743192197376	-3.28088652944571	-0.458569610095428	4.77736154856819e-06	3.73642647127639e-05	TRUE	0	0
PWY-7431: aromatic biogenic amine degradation (bacteria)	0.962248314437878	0.214196162274052	0.222750428740936	1.70174620013482	7.04350670898872e-06	4.52796859863561e-05	TRUE	0	0
PWY0-1479: tRNA processing	1.02155139039127	0.226619445046138	0.239162954061501	1.80393982672105	6.55083754950342e-06	4.52796859863561e-05	TRUE	0	0
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	1.02678397394372	0.238864051975138	0.202121853346903	1.85144609454053	1.71870740492573e-05	0.000103122444295544	TRUE	0	0
PWY-6313: serotonin degradation	0.936660501342109	0.222945593886245	0.166955789763811	1.70636521292041	2.6539096130988e-05	0.000149282415736807	TRUE	0	0
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	0.940806206200504	0.225359992338041	0.162765945883248	1.71884646651776	2.98403147041994e-05	0.000157978136669291	TRUE	0	0
GLYOXYLATE-BYPASS: glyoxylate cycle	0.898561823215256	0.225353535671454	0.120543854106392	1.67657979232412	6.68174167248118e-05	0.000334087083624059	TRUE	0	0
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	-1.06460315704649	0.276529729837206	-2.01930350450334	-0.109902809589647	0.000118181151041295	0.000559805452300873	TRUE	0	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0.633122057830661	0.166642611568957	0.0577996168777158	1.20844449878361	0.000145116657533502	0.000653024958900761	TRUE	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0.765475070773795	0.204640908540649	0.0589660577911471	1.47198408375644	0.000183598305601971	0.000786849881151305	TRUE	0	0
PWY66-389: phytol degradation	0.876615612356569	0.246733820535306	0.0247836435730145	1.72844758114012	0.000381038498448372	0.00155879385728879	TRUE	0	0
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	0.917938285493094	0.259505521605714	0.0220128752675948	1.81386369571859	0.000404302720804936	0.00158205412488888	TRUE	0	0
PWY-4981: L-proline biosynthesis II (from arginine)	-0.543984614333879	0.156381976850268	-1.08388290202552	-0.00408632664223751	0.000504109255482602	0.00189040970805976	TRUE	0	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.724136949090377	0.214556810857415	-0.0166060516545893	1.46487994983534	0.000738060498836847	0.00265701779581265	TRUE	0	0
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	0.529628133676146	0.166625957205076	-0.0456368092023855	1.10489307655468	0.00148016146529129	0.00512363584139292	TRUE	0	0
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.898840519897429	0.287728113718826	-0.0945214969178325	1.89220253671269	0.00178457050253553	0.00594856834178509	TRUE	0	0
PWY-7013: (S)-propane-1,2-diol degradation	0.52661058337967	0.186200724468426	-0.116234930740543	1.16945609749988	0.00468123626416293	0.0150468308490951	TRUE	0	0
PWY-5173	0.323065753065688	0.121744379736159	-0.0972485534772429	0.743380059608619	0.00796287359489774	0.024712366328993	TRUE	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II	-0.28246227652266	0.113313980916935	-0.673671196506787	0.108746643461468	0.0126761681572133	0.03802850447164	TRUE	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I	-0.278260101512323	0.113716161031516	-0.670857521370795	0.114337318346148	0.0144062594317151	0.0418246241565923	TRUE	0	0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	-0.294311510822727	0.123034960106617	-0.719081459544973	0.130458437899519	0.0167524321335808	0.047116215375696	TRUE	0	0
FERMENTATION-PWY: mixed acid fermentation	0.279314189602735	0.11816833572806	-0.128654064821086	0.687282444026556	0.0180935838413946	0.049346137749258	TRUE	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.513483928743497	0.232684150033033	-0.289842494838569	1.31681035232556	0.0273290724718794	0.0723416624255631	FALSE	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.492932424933607	0.231589267518506	-0.306613990192734	1.29247884005995	0.0332975565174691	0.0856222881877777	FALSE	0	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	-0.276904589232176	0.133941388366234	-0.739328250107179	0.185519071642827	0.0387005814509694	0.0967514536274236	FALSE	0	0
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0.706197406334337	0.346913167790839	-0.491497040560205	1.90389185322888	0.041784465703075	0.10163788954802	FALSE	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0.626626121583576	0.316495103977918	-0.466051999911681	1.71930424307883	0.0477156665412018	0.11301078917653	FALSE	0	0
P124-PWY: Bifidobacterium shunt	0.596417219673131	0.309444798410359	-0.471920194662039	1.6647546340083	0.0539324897997501	0.122497072548173	FALSE	0	0
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	0.260415972342556	0.135401024727672	-0.207046985183282	0.727878929868393	0.0544431433547436	0.122497072548173	FALSE	0	0
PWY-5973: cis-vaccenate biosynthesis	-0.195399927299787	0.103598110408997	-0.553065455926918	0.162265601327344	0.059276888030805	0.130119998116401	FALSE	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0.252538315273291	0.138992419566384	-0.227323692084882	0.732400322631464	0.0692291342845173	0.148348144895394	FALSE	0	0
P122-PWY: heterolactic fermentation	0.386864601358461	0.215596097254827	-0.357466465976309	1.13119566869323	0.0727501130375426	0.152267678450671	FALSE	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.441858987760237	0.248643894458293	-0.416567383147882	1.30028535866836	0.0755558088467459	0.154545972641071	FALSE	0	0
PWY0-781: aspartate superpathway	-0.200226252891247	0.113853626116259	-0.593298261736024	0.19284575595353	0.0786405973358996	0.157281194671799	FALSE	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	-0.201172953994671	0.11531904448902	-0.59930422149662	0.196958313507279	0.0810736321544169	0.158622323780381	FALSE	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.310479267872902	0.190656023397488	-0.347747867015913	0.968706402761717	0.103423427914964	0.198044861964824	FALSE	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	-0.186204821718849	0.115398735284444	-0.58461121634773	0.212201572910032	0.106619064876076	0.199675996216436	FALSE	0	0
PWY-4984: urea cycle	0.260033969311216	0.162115223023139	-0.299657966305793	0.819725904928225	0.108712486828948	0.199675996216436	FALSE	0	0
PWY-5695: inosine 5'-phosphate degradation	-0.158279957378932	0.101548854625347	-0.508870567841457	0.192310653083593	0.119077294472135	0.214339130049843	FALSE	0	0
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	-0.168524620377377	0.109580244010633	-0.546843064086651	0.209793823331897	0.124070471679991	0.218947891199984	FALSE	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I	-0.409326270476448	0.269949755951196	-1.34130969936208	0.522657158409187	0.129442148902015	0.224034488484256	FALSE	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	-0.144277826798366	0.0973412012952684	-0.480341796315021	0.191786142718288	0.138290643923012	0.23483316892587	FALSE	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0.237410039458415	0.162335669634317	-0.323042973299964	0.797863052216794	0.143614158693234	0.23935693115539	FALSE	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	-0.16221186368395	0.111835989501483	-0.548318117424198	0.223894390056297	0.146934685601718	0.239614028215653	FALSE	0	0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.185337249656887	0.128461813830861	-0.258168547609322	0.628843046923095	0.149093173111962	0.239614028215653	FALSE	0	0
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	-0.149376358710973	0.104676229241065	-0.510764020304352	0.212011302882406	0.153570588650835	0.242479876817108	FALSE	0	0
PWY66-399: gluconeogenesis III	-0.182046035296743	0.128690447995278	-0.626341176682797	0.262249106089311	0.157184606174504	0.243907147512162	FALSE	0	0
PWY-5920: superpathway of heme b biosynthesis from glycine	0.230687131006007	0.165337270054652	-0.340128705908412	0.801502967920427	0.162939908014331	0.24855240205576	FALSE	0	0
PWY-6562: norspermidine biosynthesis	-0.308230228420958	0.230297868216961	-1.10331817406333	0.486857717221413	0.18076669912675	0.271150048690125	FALSE	0	0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.123702011548163	0.0952112507071708	-0.205008446403136	0.452412469499462	0.193862492722243	0.286026628606588	FALSE	0	0
PWY0-1261: anhydromuropeptides recycling I	0.168507360127894	0.131816616584997	-0.286580668665134	0.623595388920921	0.201127146109925	0.291958760482149	FALSE	0	0
P23-PWY: reductive TCA cycle I	0.281325859086163	0.222643162159925	-0.487334727238876	1.0499864454112	0.206383376853921	0.294833395505601	FALSE	0	0
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.103843066243324	0.0895863309469111	-0.205447733457492	0.41313386594414	0.246399275548715	0.346498981240381	FALSE	0	0
PWY-6527: stachyose degradation	-0.133409499504102	0.124657617194516	-0.563781563002695	0.296962563994492	0.284525981840072	0.384640582181793	FALSE	0	0
PWY-6703: preQ0 biosynthesis	-0.132635518950619	0.123686589806824	-0.559655175512841	0.294384137611603	0.283562114893052	0.384640582181793	FALSE	0	0
PWY66-422	-0.126260119683264	0.118423203097974	-0.535108286609645	0.282588047243116	0.286343544513113	0.384640582181793	FALSE	0	0
