Species	log fold change (ForrestCamp - Farming)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (ForrestCamp)	structural.zero (Farming)
Porphyromonas sp. KLE 1280	-2.6647098678321	0.86839160769774	-5.94937550319759	0.619955767533399	0	0	TRUE	0	0
[Hallella] seregens	-1.0226596870981	0	-1.0226596870981	-1.0226596870981	0	0	TRUE	1	0
Prevotella bivia	-0.9091958834532	0	-0.9091958834532	-0.9091958834532	0	0	TRUE	1	0
Prevotella dentalis	-1.26057115179166	0	-1.26057115179166	-1.26057115179166	0	0	TRUE	1	0
Prevotella sp. oral taxon 472	-0.931309756078162	0.229126659213111	-1.7979745844713	-0.0646449276850202	0	0	TRUE	0	0
Capnocytophaga haemolytica	3.18900239141836	0	3.18900239141836	3.18900239141836	0	0	TRUE	0	1
Fusobacterium sp. HMSC064B12	-1.26627766815511	0	-1.26627766815511	-1.26627766815511	0	0	TRUE	1	0
Kingella oralis	-3.49141639674124	0.939139479845135	-7.04368377118142	0.0608509776989465	0	0	TRUE	0	0
Neisseria polysaccharea	-1.22312944217728	0	-1.22312944217728	-1.22312944217728	0	0	TRUE	1	0
Neisseria sp. HMSC055F11	-1.82308960027876	0	-1.82308960027876	-1.82308960027876	0	0	TRUE	1	0
Neisseria sp. HMSC061B04	-1.68898968461942	0	-1.68898968461942	-1.68898968461942	0	0	TRUE	1	0
Neisseria sp. HMSC064D07	-1.21835126424421	0	-1.21835126424421	-1.21835126424421	0	0	TRUE	1	0
Neisseria sp. HMSC065C04	-0.96226276278956	0	-0.96226276278956	-0.96226276278956	0	0	TRUE	1	0
Neisseria sp. HMSC066H01	-1.46729333656399	0	-1.46729333656399	-1.46729333656399	0	0	TRUE	1	0
Neisseria sp. KEM232	0	0	0	0	0	0	TRUE	1	1
Neisseria sp. oral taxon 020	0	0	0	0	0	0	TRUE	1	1
Propionivibrio dicarboxylicus	1.94445970456849	0	1.94445970456849	1.94445970456849	0	0	TRUE	0	1
Desulfomicrobium orale	-1.1376896194115	0	-1.1376896194115	-1.1376896194115	0	0	TRUE	0	0
Campylobacter sp. 10_1_50	0	0	0	0	0	0	TRUE	1	1
Haemophilus sp. HMSC71H05	-1.29273391228706	0	-1.29273391228706	-1.29273391228706	0	0	TRUE	1	0
Vibrio agarivorans	0.308035216545224	0	0.308035216545224	0.308035216545224	0	0	TRUE	0	0
Treponema pedis	0.172841436833395	0	0.172841436833395	0.172841436833395	0	0	TRUE	0	0
Bifidobacterium dentium	0	0	0	0	0	0	TRUE	1	1
Corynebacterium argentoratense	-0.134360765422565	0	-0.134360765422565	-0.134360765422565	0	0	TRUE	0	0
Corynebacterium diphtheriae	0.277895720474417	0	0.277895720474417	0.277895720474417	0	0	TRUE	0	0
Propionibacterium australiense	-1.40901667022494	0	-1.40901667022494	-1.40901667022494	0	0	TRUE	1	0
Tessaracoccus flavescens	-1.17064642593259	0	-1.17064642593259	-1.17064642593259	0	0	TRUE	1	0
Tessaracoccus sp. T2.5-30	1.40776440176992	0	1.40776440176992	1.40776440176992	0	0	TRUE	0	1
Cryptobacterium curtum	2.32664462130912	0	2.32664462130912	2.32664462130912	0	0	TRUE	0	1
Bacillus paralicheniformis	0.33828326969126	0	0.33828326969126	0.33828326969126	0	0	TRUE	0	0
Streptococcus mutans	-2.05385434130677	0	-2.05385434130677	-2.05385434130677	0	0	TRUE	1	0
Streptococcus sp. HMSC066F01	-1.4956400252003	0	-1.4956400252003	-1.4956400252003	0	0	TRUE	1	0
Streptococcus sp. HMSC10A01	-2.17812946429968	0	-2.17812946429968	-2.17812946429968	0	0	TRUE	1	0
Pseudoramibacter alactolyticus	1.6278969028761	0	1.6278969028761	1.6278969028761	0	0	TRUE	0	1
Shuttleworthia satelles	-0.985500706518497	0	-0.985500706518497	-0.985500706518497	0	0	TRUE	1	0
Selenomonas ruminantium	0	0	0	0	0	0	TRUE	1	1
Megasphaera micronuciformis	0	0	0	0	0	0	TRUE	1	1
Veillonella sp. HPA0037	-1.29723372228927	0	-1.29723372228927	-1.29723372228927	0	0	TRUE	1	0
Veillonella dispar	-1.92363072640605	0	-1.92363072640605	-1.92363072640605	0	0	TRUE	1	0
Veillonella rodentium	-1.18947777379172	0	-1.18947777379172	-1.18947777379172	0	0	TRUE	1	0
Veillonella tobetsuensis	0	0	0	0	0	0	TRUE	1	1
Parvimonas sp. KA00067	0.229486229885922	0	0.229486229885922	0.229486229885922	0	0	TRUE	0	0
Peptoniphilus sp. oral taxon 386	1.06201926974301	0	1.06201926974301	1.06201926974301	0	0	TRUE	0	0
Candidatus Methanomethylophilus alvus	1.75780309414362	0	1.75780309414362	1.75780309414362	0	0	TRUE	0	1
Thermoplasmatales archaeon BRNA1	1.74252765471594	0	1.74252765471594	1.74252765471594	0	0	TRUE	0	1
Capnocytophaga ochracea	-1.19369811392256	0.369236041953086	-2.59032254878677	0.202926320941643	0.001	0.0466666666666667	TRUE	0	0
Actinomyces oris	-1.26395475161989	0.39043935526883	-2.74078009352505	0.212870590285271	0.001	0.0466666666666667	TRUE	0	0
Streptococcus anginosus	2.09144131063999	0.654943482417778	-0.385863088359997	4.56874570963997	0.001	0.0466666666666667	TRUE	0	0
