Species	log fold change (Female - Male)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Female)	structural.zero (Male)
Prevotella amnii	1.25725107962307	0	1.25725107962307	1.25725107962307	0	0	TRUE	0	1
Prevotella bivia	1.36818836505508	0	1.36818836505508	1.36818836505508	0	0	TRUE	0	1
Neisseria sp. HMSC064D07	1.25089594781879	0	1.25089594781879	1.25089594781879	0	0	TRUE	0	1
Neisseria sp. HMSC066H01	1.61417932501391	0	1.61417932501391	1.61417932501391	0	0	TRUE	0	1
Neisseria sp. HMSC073G10	-1.03949801546252	0	-1.03949801546252	-1.03949801546252	0	0	TRUE	1	0
Propionivibrio dicarboxylicus	-1.26065886157665	0	-1.26065886157665	-1.26065886157665	0	0	TRUE	1	0
Haemophilus sp. HMSC71H05	-1.19655653798249	0	-1.19655653798249	-1.19655653798249	0	0	TRUE	1	0
Vibrio agarivorans	-1.44738764894269	0	-1.44738764894269	-1.44738764894269	0	0	TRUE	1	0
Corynebacterium diphtheriae	-1.13683120010472	0	-1.13683120010472	-1.13683120010472	0	0	TRUE	1	0
Propionibacterium australiense	1.84564153913099	0	1.84564153913099	1.84564153913099	0	0	TRUE	0	1
Tessaracoccus flavescens	-1.30826815703068	0	-1.30826815703068	-1.30826815703068	0	0	TRUE	1	0
Tessaracoccus flavus	-1.10679600733631	0	-1.10679600733631	-1.10679600733631	0	0	TRUE	1	0
Coriobacteriaceae bacterium 68-1-3	-0.869283652651055	0	-0.869283652651055	-0.869283652651055	0	0	TRUE	1	0
Streptococcus constellatus	1.72187237835016	0	1.72187237835016	1.72187237835016	0	0	TRUE	0	1
Streptococcus massiliensis	1.15088434588724	0	1.15088434588724	1.15088434588724	0	0	TRUE	0	1
Streptococcus mutans	2.66198246953257	0	2.66198246953257	2.66198246953257	0	0	TRUE	0	1
Pseudoramibacter alactolyticus	-1.70985437257745	0	-1.70985437257745	-1.70985437257745	0	0	TRUE	1	0
Shuttleworthia satelles	1.51794046446048	0	1.51794046446048	1.51794046446048	0	0	TRUE	0	1
Veillonella sp. HPA0037	2.29231180304092	0	2.29231180304092	2.29231180304092	0	0	TRUE	0	1
Veillonella rodentium	1.73944762281261	0	1.73944762281261	1.73944762281261	0	0	TRUE	0	1
Prevotella veroralis	3.0393851818475	0.827890241927166	-0.0908014354325437	6.16957179912754	0.000241374937516055	0.031782903304274	TRUE	0	0
Leptotrichia sp. oral taxon 847	2.70975645520646	0.752643779680291	-0.13592932223453	5.55544223264744	0.00031782903304274	0.031782903304274	TRUE	0	0
Lachnospiraceae bacterium oral taxon 082	2.52096758657644	0.68620868142735	-0.0735324117146927	5.11546758486756	0.000239005081810201	0.031782903304274	TRUE	0	0
Leptotrichia sp. oral taxon 498	2.79357630464604	0.816069229518026	-0.291916012626718	5.87906862191881	0.000618862587362078	0.0464146940521558	TRUE	0	0
Leptotrichia shahii	1.72136008156773	0.513337364986387	-0.219527331587156	3.66224749472261	0.000798620300885881	0.0479172180531529	TRUE	0	0
