Species	log fold change (HunterGatherer - HMP)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HMP)	structural.zero (HunterGatherer)
Bacteroides heparinolyticus	1.67253408924854	0	1.67253408924854	1.67253408924854	0	0	TRUE	1	0
Bacteroides zoogleoformans	1.81642771067344	0	1.81642771067344	1.81642771067344	0	0	TRUE	1	0
Porphyromonas catoniae	-3.92649663155871	0.715924944381808	-6.63611325717264	-1.21688000594479	0	0	TRUE	0	0
Porphyromonas gingivalis	3.70396364399179	0.926853444265215	0.196029576605533	7.21189771137805	0	0	TRUE	0	0
Alloprevotella rava	1.2617884570749	0	1.2617884570749	1.2617884570749	0	0	TRUE	0	0
Prevotella sp. oral taxon 473	-0.0541196621948181	0	-0.0541196621948181	-0.0541196621948181	0	0	TRUE	0	0
[Hallella] seregens	1.12179288549541	0	1.12179288549541	1.12179288549541	0	0	TRUE	1	0
Prevotella baroniae	3.83035754319832	0.874692424683338	0.519841329425294	7.14087375697135	0	0	TRUE	0	0
Prevotella bivia	0.943463049902675	0	0.943463049902675	0.943463049902675	0	0	TRUE	1	0
Prevotella buccae	1.98828295150871	0	1.98828295150871	1.98828295150871	0	0	TRUE	0	0
Prevotella conceptionensis	3.37190692164061	1.20689952938197	-1.19593926939108	7.93975311267231	0	0	TRUE	0	0
Prevotella dentalis	1.51841726617115	0	1.51841726617115	1.51841726617115	0	0	TRUE	1	0
Prevotella denticola	0.780772821911219	0	0.780772821911219	0.780772821911219	0	0	TRUE	0	0
Prevotella fusca	2.35847815854726	0	2.35847815854726	2.35847815854726	0	0	TRUE	0	0
Prevotella histicola	0.41622915025686	0	0.41622915025686	0.41622915025686	0	0	TRUE	0	0
Prevotella jejuni	2.0909553764551	0	2.0909553764551	2.0909553764551	0	0	TRUE	0	0
Prevotella melaninogenica	0.420617799744277	0	0.420617799744277	0.420617799744277	0	0	TRUE	0	0
Prevotella micans	3.38626306098643	0.972096940660846	-0.292907573859235	7.06543369583209	0	0	TRUE	0	0
Prevotella multiformis	1.42750226312033	0	1.42750226312033	1.42750226312033	0	0	TRUE	0	0
Prevotella nigrescens	-1.43110739178559	0	-1.43110739178559	-1.43110739178559	0	0	TRUE	0	0
Prevotella oralis	0.794839851081322	0	0.794839851081322	0.794839851081322	0	0	TRUE	0	0
Prevotella oris	-2.35014595625797	0	-2.35014595625797	-2.35014595625797	0	0	TRUE	0	0
Prevotella oulorum	-0.853775757537557	0	-0.853775757537557	-0.853775757537557	0	0	TRUE	0	0
Prevotella pallens	0.173666095210065	0	0.173666095210065	0.173666095210065	0	0	TRUE	0	0
Prevotella salivae	1.17099026287136	0	1.17099026287136	1.17099026287136	0	0	TRUE	0	0
Prevotella scopos	1.4920166723281	0	1.4920166723281	1.4920166723281	0	0	TRUE	0	0
Prevotella shahii	1.31558736342052	0	1.31558736342052	1.31558736342052	0	0	TRUE	0	0
Prevotella veroralis	-1.39423031050002	0	-1.39423031050002	-1.39423031050002	0	0	TRUE	0	0
Prevotella sp. C561	2.22016992852496	0	2.22016992852496	2.22016992852496	0	0	TRUE	0	0
Prevotella sp. F0091	1.20623514561533	0	1.20623514561533	1.20623514561533	0	0	TRUE	0	0
Prevotella sp. HJM029	0.0203161036514716	0	0.0203161036514716	0.0203161036514716	0	0	TRUE	0	0
Prevotella sp. HMSC069G02	-2.65960139753134	0	-2.65960139753134	-2.65960139753134	0	0	TRUE	0	0
Prevotella sp. HMSC073D09	2.95297879703363	1.19517011246532	-1.57047416069124	7.4764317547585	0	0	TRUE	0	0
Prevotella sp. KH2C16	0.116238395893338	0	0.116238395893338	0.116238395893338	0	0	TRUE	0	0
Phocaeicola abscessus	5.552217521099	0	5.552217521099	5.552217521099	0	0	TRUE	1	0
Capnocytophaga gingivalis	-2.6102171509064	0.423075992603588	-4.21146565111989	-1.00896865069291	0	0	TRUE	0	0
Capnocytophaga granulosa	-1.1308648098184	0.446814680849188	-2.82195896333021	0.560229343693403	0	0	TRUE	0	0
Capnocytophaga haemolytica	1.66805265896014	0	1.66805265896014	1.66805265896014	0	0	TRUE	1	0
Capnocytophaga leadbetteri	-1.66223678464811	0.420861670467211	-3.25510456824838	-0.0693690010478292	0	0	TRUE	0	0
Capnocytophaga ochracea	-1.37498594664933	0.415921870882983	-2.94915768789815	0.199185794599495	0	0	TRUE	0	0
Capnocytophaga sputigena	-2.50195950910833	0.3795591028685	-3.93850626391327	-1.06541275430339	0	0	TRUE	0	0
Capnocytophaga sp. ChDC OS43	-1.78050941469506	0.389531128864428	-3.25479806918049	-0.306220760209629	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 326	-1.87824292848959	0.383067429313881	-3.32806791830936	-0.428417938669808	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 329	-1.5319149642085	0.613804185817745	-3.85502723989448	0.791197311477481	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 332	-1.02815467794524	0.685468231793022	-3.62249942284075	1.56619006695026	0	0	TRUE	0	0
