Taxon	aggregate_oxygen_tol	aggregate_gram_stain
Abiotrophia defectiva	anaerobe/microaerophile	
Actinomyces dentalis	anaerobe	positive
Actinomyces gerencseriae	microaerophile/anaerobe	positive
Actinomyces israelii	anaerobe/microaerophile	
Actinomyces massiliensis	anaerobe/microaerophile	positive
Actinomyces naeslundii	microaerophile/anaerobe	
Actinomyces oris	anaerobe/microaerophile	
Actinomyces radicidentis	microaerophile/anaerobe	
Actinomyces ruminicola	obligate anaerobe	
Actinomyces timonensis	anaerobe/microaerophile	positive
Actinomyces urogenitalis	microaerophile/facultative anaerobe/anaerobe	positive
Actinomyces viscosus	anaerobe/microaerophile/aerotolerant/aerobe	
Aggregatibacter aphrophilus	microaerophile/anaerobe	
Alloprevotella rava	anaerobe	negative
Anaeroglobus geminatus	anaerobe	
Bifidobacterium dentium	anaerobe	
Campylobacter concisus	anaerobe/microaerophile	
Campylobacter curvus	anaerobe/microaerophile	
Campylobacter gracilis	anaerobe	
Campylobacter showae	anaerobe/microaerophile	negative
Capnocytophaga gingivalis	anaerobe/microaerophile	
Capnocytophaga granulosa	facultative anaerobe/microaerophile	
Capnocytophaga haemolytica	facultative anaerobe	
Capnocytophaga leadbetteri	microaerophile/anaerobe	negative
Capnocytophaga ochracea	anaerobe/microaerophile	
Capnocytophaga sputigena	anaerobe/microaerophile	
Cardiobacterium hominis	microaerophile	
Cardiobacterium valvarum	microaerophile	
Cellulomonas flavigena	aerobe	positive
Centipeda periodontii	anaerobe	
Corynebacterium argentoratense	facultative anaerobe/aerobe/microaerophile	positive
Corynebacterium diphtheriae	microaerophile	
Corynebacterium durum	aerobe/microaerophile	positive
Corynebacterium matruchotii	aerobe	
Cryptobacterium curtum	anaerobe/obligate anaerobe	positive
Desulfomicrobium orale	anaerobe	
Eggerthia catenaformis	anaerobe/microaerophile	
Eikenella corrodens	anaerobe/microaerophile	
Filifactor alocis	anaerobe	
Fusobacterium nucleatum	anaerobe	negative
Fusobacterium periodonticum	anaerobe	
Granulicatella adiacens	anaerobe/microaerophile/aerobe	
Haemophilus haemolyticus	microaerophile	
Haemophilus influenzae	microaerophile/anaerobe	
Haemophilus parainfluenzae	microaerophile/aerobe/anaerobe	
Kingella denitrificans	microaerophile	
Kingella oralis	microaerophile/aerobe	
Lachnoanaerobaculum saburreum	anaerobe	
Lachnoanaerobaculum umeaense	anaerobe	positive
Lautropia mirabilis	aerobe/microaerophile	
Leptotrichia buccalis	anaerobe/microaerophile	
Leptotrichia goodfellowii	anaerobe/microaerophile	negative
Leptotrichia hofstadii	anaerobe	negative
Leptotrichia shahii	anaerobe	negative
Leptotrichia trevisanii	anaerobe	
Leptotrichia wadei	anaerobe	negative
Megasphaera micronuciformis	anaerobe	
Methanobrevibacter oralis	anaerobe	
Mogibacterium diversum	obligate anaerobe	
Neisseria bacilliformis	microaerophile/obligate aerobe	
Neisseria elongata	microaerophile/aerobe	
Neisseria lactamica	microaerophile	
Neisseria macacae	aerobe	
Neisseria meningitidis	microaerophile	
Neisseria mucosa	microaerophile/obligate aerobe	
Neisseria polysaccharea	microaerophile	
Neisseria sicca	microaerophile/anaerobe	
Olsenella uli	obligate anaerobe/anaerobe	
Oribacterium sinus	anaerobe	positive
Peptoanaerobacter stomatis	anaerobe	
Peptostreptococcus anaerobius	anaerobe	
Phocaeicola abscessus	anaerobe	negative
Porphyromonas catoniae	anaerobe	
Porphyromonas gingivalis	anaerobe	
Prevotella amnii	anaerobe	negative
Prevotella baroniae	anaerobe	negative
Prevotella bivia	anaerobe	
Prevotella buccae	anaerobe	
Prevotella dentalis	anaerobe	
Prevotella denticola	anaerobe	
Prevotella fusca	anaerobe	
Prevotella histicola	anaerobe	negative
Prevotella intermedia	anaerobe	
Prevotella jejuni	anaerobe	negative
Prevotella maculosa	anaerobe	negative
Prevotella marshii	anaerobe	negative
Prevotella melaninogenica	anaerobe	
Prevotella micans	anaerobe	negative
Prevotella multiformis	anaerobe	negative
Prevotella nigrescens	anaerobe	
Prevotella oralis	anaerobe	
Prevotella oris	anaerobe	
Prevotella oulorum	anaerobe	
Prevotella pallens	anaerobe	
Prevotella saccharolytica	anaerobe	negative
Prevotella salivae	anaerobe	negative
Prevotella scopos	anaerobe	
Prevotella shahii	anaerobe	negative
Prevotella veroralis	anaerobe	
Propionibacterium australiense	anaerobe	
Propionivibrio dicarboxylicus	anaerobe	
Pseudomonas nitroreducens	aerobe	
Pseudoramibacter alactolyticus	anaerobe	
Rothia aeria	aerobe/microaerophile	positive
Rothia dentocariosa	anaerobe/microaerophile/aerobe/obligate aerobe	
Sanguibacter keddieii	aerobe	
Schaalia cardiffensis	anaerobe/microaerophile	
Schaalia georgiae	anaerobe/facultative anaerobe	positive
Schaalia odontolytica	anaerobe/microaerophile	
Selenomonas artemidis	anaerobe	
Selenomonas flueggei	anaerobe/microaerophile	
Selenomonas noxia	anaerobe	
Selenomonas ruminantium	anaerobe	
Selenomonas sputigena	anaerobe	
Shuttleworthia satelles	anaerobe	
Slackia exigua	anaerobe	
Solobacterium moorei	anaerobe/obligate anaerobe	
Stomatobaculum longum	anaerobe	variable
Streptococcus anginosus	microaerophile/anaerobe/obligate anaerobe/facultative anaerobe/aerobe	positive
Streptococcus constellatus	microaerophile/anaerobe	positive
Streptococcus cristatus	microaerophile	
Streptococcus gordonii	microaerophile/anaerobe	
Streptococcus massiliensis	microaerophile/facultative anaerobe/anaerobe	positive
Streptococcus mitis	microaerophile/anaerobe/aerobe	
Streptococcus mutans	microaerophile/aerobe/anaerobe	
Streptococcus oralis	microaerophile/facultative anaerobe/anaerobe/aerobe	positive
Streptococcus pneumoniae	microaerophile/anaerobe/aerobe	
Streptococcus pseudopneumoniae	microaerophile/anaerobe	
Streptococcus salivarius	microaerophile/anaerobe/aerobe	
Streptococcus sanguinis	microaerophile/aerobe	
Tannerella forsythia	anaerobe	
Tessaracoccus flavescens	facultative anaerobe	positive
Tessaracoccus flavus	facultative anaerobe	positive
Treponema denticola	anaerobe	
Treponema maltophilum	anaerobe	
Treponema pedis	anaerobe	negative
Treponema putidum	anaerobe	NA
Veillonella atypica	anaerobe	
Veillonella dispar	anaerobe	
Veillonella parvula	anaerobe	
Veillonella rodentium	anaerobe	
Veillonella tobetsuensis	anaerobe	negative
Vibrio agarivorans	aerobe	
Vibrio cyclitrophicus	aerobe	
