Taxon	PC1	PC2	PC3	Direction	Samples	Filter
Ottowia sp. Marseille-P4747	0.139255469148944	0.111027433727863	-0.0798164802445978	PC1+	CMC	MR1
Ottowia sp. oral taxon 894	0.13874985959096	0.111025010755963	-0.078975876846311	PC1+	CMC	MR1
Abiotrophia sp. HMSC24B09	0.123978747639101	-0.0106249797377623	-0.0684918307606187	PC1+	CMC	MR1
Neisseria sp. HMSC31F04	0.121813893584677	0.00438502818808612	0.0435772939133706	PC1+	CMC	MR1
Neisseria sicca	0.118362399740374	-0.0435599896274586	0.0814078130981695	PC1+	CMC	MR1
Neisseria sp. HMSC064E01	0.11666888304613	-0.0389180646459089	0.05521027095072	PC1+	CMC	MR1
Neisseria sp. HMSC15C08	0.113714919267516	-0.0472099947621742	0.00885216499334953	PC1+	CMC	MR1
Neisseria sp. HMSC072F04	0.112088833926669	-0.0541940305803809	0.00760663373121601	PC1+	CMC	MR1
Neisseria sp. HMSC077D05	0.111779188473174	-0.0368890715726503	0.0765768463120567	PC1+	CMC	MR1
Neisseria mucosa	0.110101124806046	-0.0504441391613841	0.0984412014240536	PC1+	CMC	MR1
Prevotella jejuni	-0.120016600541974	-0.0959197927674627	0.0407173406786157	PC1-	CMC	MR1
Prevotella denticola	-0.120537368615909	-0.0432321844494155	0.0328454984147837	PC1-	CMC	MR1
Selenomonas sp. oral taxon 478	-0.120627698108979	-7.82314245725079e-05	0.0179593266913214	PC1-	CMC	MR1
Prevotella pallens	-0.120983280577729	-0.103346133237545	0.0395746840329581	PC1-	CMC	MR1
Prevotella sp. HJM029	-0.123352905729074	-0.0395278739395456	0.0377843783786205	PC1-	CMC	MR1
Prevotella salivae	-0.12353149199093	-0.0921927362172387	0.0195030600814229	PC1-	CMC	MR1
Prevotella veroralis	-0.124209119770555	-0.0918339388259848	0.0234531342710347	PC1-	CMC	MR1
Selenomonas flueggei	-0.128384146030011	0.0320554786433201	0.0178250693048432	PC1-	CMC	MR1
Stomatobaculum longum	-0.131742408025037	-0.0316818697153303	-0.010544630732373	PC1-	CMC	MR1
Prevotella oulorum	-0.13691531576271	-0.0279683849509384	0.0902757550637252	PC1-	CMC	MR1
Actinomyces sp. oral taxon 414	-0.0171666961486782	0.218160109214826	-0.00414796063768179	PC2+	CMC	MR1
Actinomyces israelii	-0.0124006842966548	0.214199252950979	-0.0554981028426619	PC2+	CMC	MR1
Actinomyces sp. oral taxon 897	-0.0151842423013395	0.210432578963823	-0.0284673057798431	PC2+	CMC	MR1
Actinomyces dentalis	-0.0209577911475662	0.208968303647718	-0.0133365535413435	PC2+	CMC	MR1
Actinomyces gerencseriae	-0.0229794417087989	0.191936779999124	-0.0345881571667289	PC2+	CMC	MR1
Olsenella sp. oral taxon 807	-0.0421588769602282	0.188160346722692	-0.0844937858654728	PC2+	CMC	MR1
Actinomyces sp. oral taxon 877	-0.0634945711941602	0.16088018899581	-0.0060627255173802	PC2+	CMC	MR1
Actinomyces sp. oral taxon 848	-0.0618811563160555	0.131465303095524	0.143127499315907	PC2+	CMC	MR1
Actinomyces sp. oral taxon 448	-0.0704537284517563	0.130270267852695	-0.113410540337574	PC2+	CMC	MR1
Propionibacterium sp. oral taxon 192	0.0720323893349419	0.130084379946192	-0.0159808334538731	PC2+	CMC	MR1
Prevotella pallens	-0.120983280577729	-0.103346133237545	0.0395746840329581	PC2-	CMC	MR1
Lancefieldella parvula	-0.0964362480730537	-0.104151222182257	-0.0644380694141151	PC2-	CMC	MR1
Campylobacter sp. 10_1_50	-0.0297069059639926	-0.111035762624556	-0.0123076910287309	PC2-	CMC	MR1
Oribacterium asaccharolyticum	-0.0343765853946672	-0.113953452549805	-0.0412741205466538	PC2-	CMC	MR1
Veillonella sp. HPA0037	-0.0531525064334277	-0.128103685432596	-0.0163348204203742	PC2-	CMC	MR1
Megasphaera micronuciformis	-0.0667482838284263	-0.130863355848668	-0.0539267692137893	PC2-	CMC	MR1
Veillonella atypica	-0.100544305324905	-0.14211805151803	-0.0178422578228939	PC2-	CMC	MR1
Prevotella histicola	-0.0858181430960722	-0.142678055622868	-0.0599019289265301	PC2-	CMC	MR1
Oribacterium sinus	-0.0422019839961595	-0.144263382790834	-0.0325488189202773	PC2-	CMC	MR1
Veillonella tobetsuensis	-0.0247734544670552	-0.162458357584118	-0.07139802653181	PC2-	CMC	MR1
