#Classification	SRR061192.report.rspm.kraken	SRR061294.report.rspm.kraken	SRR061320.report.rspm.kraken	SRR061365.report.rspm.kraken	SRR061562.report.rspm.kraken	SRR062083.report.rspm.kraken	SRR062298.report.rspm.kraken	SRR062299.report.rspm.kraken	SRR063517.report.rspm.kraken	SRR1804664.report.rspm.kraken	SRR1804823.report.rspm.kraken	SRR512767.report.rspm.kraken	SRR513165.report.rspm.kraken	SRR513768.report.rspm.kraken	SRR513775.report.rspm.kraken	SRR513828.report.rspm.kraken	SRR514202.report.rspm.kraken	SRR514239.report.rspm.kraken	SRR514306.report.rspm.kraken	SRR514329.report.rspm.kraken
k__Bacteria	12376496	5266936	11780299	15167970	16307721	16372742	6134393	2838925	13274843	15355306	11318206	39201952	7463643	15732075	14269464	21324194	6190794	8303058	23772556	14290155
k__Bacteria|s__Bathymodiolus_brooksi_thiotrophic_gill_symbiont	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	3	1
k__Bacteria|p__candidate_division_NC10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|p__candidate_division_NC10|g__Candidatus_Methylomirabilis	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|p__candidate_division_NC10|g__Candidatus_Methylomirabilis|s__Candidatus_Methylomirabilis_limnetica	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|g__Vampirococcus	0	0	0	0	0	0	2	1	0	0	15	181	0	0	1	0	0	14	0	0
k__Bacteria|g__Vampirococcus|s__Vampirococcus_sp._LiM	0	0	0	0	0	0	2	1	0	0	15	181	0	0	1	0	0	14	0	0
k__Bacteria|s__bacterium_A52C2	0	0	0	0	0	1	0	3	1	3	0	0	0	0	0	0	1	0	0	0
k__Bacteria|s__bacterium_J10(2018)	0	0	0	0	3	0	3	0	0	0	0	0	0	0	5	12	0	0	0	0
k__Bacteria|c__Candidatus_Babeliae	0	0	0	0	1	0	6	0	0	1	3	2	1	1	0	0	0	0	0	0
