Function	Direction	Samples
K17320	PC1+	Industrial+CMC
K04653	PC1+	Industrial+CMC
K09777	PC1+	Industrial+CMC
K08722	PC1+	Industrial+CMC
K17319	PC1+	Industrial+CMC
K11705	PC1+	Industrial+CMC
K02471	PC1+	Industrial+CMC
K05352	PC1+	Industrial+CMC
K04651	PC1+	Industrial+CMC
K07015	PC1+	Industrial+CMC
K05567	PC1-	Industrial+CMC
K07979	PC1-	Industrial+CMC
K07653	PC1-	Industrial+CMC
K07101	PC1-	Industrial+CMC
K03795	PC1-	Industrial+CMC
K13541	PC1-	Industrial+CMC
K02438	PC1-	Industrial+CMC
K07131	PC1-	Industrial+CMC
K00096	PC1-	Industrial+CMC
K09138	PC1-	Industrial+CMC
K09791	PC2+	Industrial+CMC
K09858	PC2+	Industrial+CMC
K07062	PC2+	Industrial+CMC
K02783	PC2+	Industrial+CMC
K00658	PC2+	Industrial+CMC
K06221	PC2+	Industrial+CMC
K06980	PC2+	Industrial+CMC
K03684	PC2+	Industrial+CMC
K00982	PC2+	Industrial+CMC
K03578	PC2+	Industrial+CMC
K01950	PC2-	Industrial+CMC
K15876	PC2-	Industrial+CMC
K16789	PC2-	Industrial+CMC
K02401	PC2-	Industrial+CMC
K00852	PC2-	Industrial+CMC
K00175	PC2-	Industrial+CMC
K02032	PC2-	Industrial+CMC
K06001	PC2-	Industrial+CMC
K18285	PC2-	Industrial+CMC
K11784	PC2-	Industrial+CMC
K03406	PC1+	CMC
K00266	PC1+	CMC
K10206	PC1+	CMC
K09777	PC1+	CMC
K01678	PC1+	CMC
K02499	PC1+	CMC
K11784	PC1+	CMC
K06409	PC1+	CMC
K18285	PC1+	CMC
K09691	PC1+	CMC
K07979	PC1-	CMC
K09138	PC1-	CMC
K03795	PC1-	CMC
K02438	PC1-	CMC
K07131	PC1-	CMC
K07101	PC1-	CMC
K16163	PC1-	CMC
K00096	PC1-	CMC
K02783	PC1-	CMC
K09791	PC1-	CMC
K03406	PC2+	CMC
K02406	PC2+	CMC
K02392	PC2+	CMC
K07138	PC2+	CMC
K02385	PC2+	CMC
K02241	PC2+	CMC
K10907	PC2+	CMC
K02588	PC2+	CMC
K11358	PC2+	CMC
K06284	PC2+	CMC
K00991	PC2-	CMC
K06920	PC2-	CMC
K03801	PC2-	CMC
K07461	PC2-	CMC
K11072	PC2-	CMC
K02794	PC2-	CMC
K05337	PC2-	CMC
K09780	PC2-	CMC
K02821	PC2-	CMC
K03571	PC2-	CMC
