Function	Direction	Samples
K01839	PC1+	Industrial+CMC
K01989	PC1+	Industrial+CMC
K01819	PC1+	Industrial+CMC
K07088	PC1+	Industrial+CMC
K01223	PC1+	Industrial+CMC
K03839	PC1+	Industrial+CMC
K15986	PC1+	Industrial+CMC
K03650	PC1+	Industrial+CMC
K03569	PC1+	Industrial+CMC
K15580	PC1+	Industrial+CMC
K02437	PC1-	Industrial+CMC
K00340	PC1-	Industrial+CMC
K02050	PC1-	Industrial+CMC
K02897	PC1-	Industrial+CMC
K07054	PC1-	Industrial+CMC
K00033	PC1-	Industrial+CMC
K03801	PC1-	Industrial+CMC
K01494	PC1-	Industrial+CMC
K07481	PC1-	Industrial+CMC
K09791	PC1-	Industrial+CMC
K02032	PC2+	Industrial+CMC
K07114	PC2+	Industrial+CMC
K07133	PC2+	Industrial+CMC
K11710	PC2+	Industrial+CMC
K02031	PC2+	Industrial+CMC
K10441	PC2+	Industrial+CMC
K03924	PC2+	Industrial+CMC
K02034	PC2+	Industrial+CMC
K02033	PC2+	Industrial+CMC
K02026	PC2+	Industrial+CMC
K07058	PC2-	Industrial+CMC
K01091	PC2-	Industrial+CMC
K07166	PC2-	Industrial+CMC
K02794	PC2-	Industrial+CMC
K02793	PC2-	Industrial+CMC
K00991	PC2-	Industrial+CMC
K03621	PC2-	Industrial+CMC
K02825	PC2-	Industrial+CMC
K06199	PC2-	Industrial+CMC
K07729	PC2-	Industrial+CMC
K00260	PC1+	CMC
K01819	PC1+	CMC
K01839	PC1+	CMC
K03856	PC1+	CMC
K01989	PC1+	CMC
K01223	PC1+	CMC
K07088	PC1+	CMC
K16957	PC1+	CMC
K15986	PC1+	CMC
K04486	PC1+	CMC
K00340	PC1-	CMC
K02897	PC1-	CMC
K02027	PC1-	CMC
K10441	PC1-	CMC
K02050	PC1-	CMC
K04759	PC1-	CMC
K01494	PC1-	CMC
K07054	PC1-	CMC
K07481	PC1-	CMC
K09791	PC1-	CMC
K00260	PC2+	CMC
K04031	PC2+	CMC
K01623	PC2+	CMC
K11708	PC2+	CMC
K02032	PC2+	CMC
K02009	PC2+	CMC
K01995	PC2+	CMC
K03839	PC2+	CMC
K11707	PC2+	CMC
K03856	PC2+	CMC
K00016	PC2-	CMC
K05896	PC2-	CMC
K02970	PC2-	CMC
K02529	PC2-	CMC
K07166	PC2-	CMC
K00969	PC2-	CMC
K01626	PC2-	CMC
K03402	PC2-	CMC
K02036	PC2-	CMC
K03060	PC2-	CMC
