Species	CMC001.A0101.SG1.unmapped	CMC001.A0201.SG1.unmapped	CMC001.B0201.SG1.unmapped	CMC002.A0201.SG1.unmapped	CMC002.B0201.SG1.unmapped	CMC003.A0201.SG1.unmapped	CMC003.B0101.SG1.unmapped	CMC004.A0101.SG1.unmapped	CMC004.B0201.SG1.unmapped	CMC005.A0202.SG1.unmapped	CMC005.B0101.SG1.unmapped	CMC006.A0101.SG1.unmapped	CMC006.B0201.SG1.unmapped	CMC007.B0101.SG1.unmapped	CMC008.A0101.SG1.unmapped	CMC008.B0201.SG1.unmapped	CMC009.A0202.SG1.unmapped	CMC009.B0101.SG1.unmapped	CMC010.A0101.SG1.unmapped	CMC010.B0201.SG1.unmapped	CMC011.A0201.SG1.unmapped	CMC011.B0101.SG1.unmapped	CMC012.A0201.SG1.unmapped	CMC012.B0201.SG1.unmapped	CMC013.A0201.SG1.unmapped	CMC013.B0101.SG1.unmapped	CMC014.A0101.SG1.unmapped	CMC015.A0201.SG1.unmapped	CMC015.B0201.SG1.unmapped	CMC016.A0101.SG1.unmapped	CMC016.B0101.SG1.unmapped	CMC017.A0201.SG1.unmapped	CMC017.B0201.SG1.unmapped	CMC018.A0101.SG1.unmapped	CMC018.B0101.SG1.unmapped	CMC020.A0101.SG1.unmapped	CMC020.B0101.SG1.unmapped	CMC021.A0201.SG1.unmapped	CMC021.B0201.SG1.unmapped	CMC022.A0101.SG1.unmapped	CMC022.B0101.SG1.unmapped	CMC023.A0301.SG1.unmapped	CMC023.B0201.SG1.unmapped	CMC024.A0101.SG1.unmapped	CMC024.B0101.SG1.unmapped	CMC025.A0201.SG1.unmapped	CMC025.B0201.SG1.unmapped	CMC026.A0101.SG1.unmapped	CMC026.B0101.SG1.unmapped	CMC027.A0201.SG1.unmapped	CMC027.B0201.SG1.unmapped	CMC028.A0101.SG1.unmapped	CMC028.B0101.SG1.unmapped	CMC029.A0201.SG1.unmapped	CMC029.B0201.SG1.unmapped	CMC030.A0101.SG1.unmapped	CMC030.B0101.SG1.unmapped	CMC031.A0201.SG1.unmapped	CMC031.B0201.SG1.unmapped	CMC032.A0101.SG1.unmapped	CMC032.B0101.SG1.unmapped	CMC033.A0201.SG1.unmapped	CMC033.B0201.SG1.unmapped	CMC034.A0101.SG1.unmapped	CMC034.B0101.SG1.unmapped	CMC035.A0201.SG1.unmapped	CMC035.B0201.SG1.unmapped	CMC036.A0101.SG1.unmapped	CMC036.B0101.SG1.unmapped	CMC037.A0201.SG1.unmapped	CMC037.B0201.SG1.unmapped	CMC038.A0101.SG1.unmapped	CMC038.B0101.SG1.unmapped	CMC039.B0201.SG1.unmapped	CMC040.B0101.SG1.unmapped	CMC041.A0201.SG1.unmapped	CMC042.A0201.SG1.unmapped	CMC042.B0101.SG1.unmapped	CMC043.A0101.SG1.unmapped	CMC043.B0101.SG1.unmapped	CMC044.A0201.SG1.unmapped	CMC045.A0201.SG1.unmapped	CMC045.B0201.SG1.unmapped	CMC046.B0201.SG1.unmapped-1	CMC047.A0201.SG1.unmapped	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	JAE006.A0101.unmapped	JAE007.A0101.unmapped	JAE008.A0101.unmapped	JAE009.A0101.unmapped	JAE010.A0101.unmapped	JAE012.A0101.unmapped	JAE013.A0101.unmapped	JAE016.A0101.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped	VLC001.A0101.unmapped	VLC002.A0101.unmapped
Bacteroides	5627	7412	5181	8036	689	3774	0	17056	4652	2872	0	0	0	1426	0	1078	0	2922	3122	4788	16106	7733	2723	1298	3675	0	1268	2184	2256	1112	8156	5169	10641	3220	106846	4405	4943	5487	4684	2209	16803	10301	2536	4194	6145	11611	4420	2513	4793	6093	5176	6507	2664	1241	5291	5424	5263	0	5320	0	0	0	2903	3469	2719	10168	4189	5083	1431	2972	0	100156	53854	4465	5456	6145	1960	8002	0	0	1465	0	4284	0	0	2478	6559	3820	28834	22849	30889	8498	4827	3184	2899	1013	10071	1241	19663	3347	16602	47195	1304	18976	39287	8875	13175	42721	33546	0	0	6380	60806	10501	5308	0	115680	13906	2148	11624	9551	0	1985	10572	1304	1845	1648	1013	4284	3170	0	17135	1674	0	0	0	0	4565
Phocaeicola	72731	104434	2455	63681	0	1959	0	6549	12945	0	1632	13902	0	0	0	3717	0	0	11754	6196	5946	29691	19070	2473	4617	0	0	10468	0	0	74082	28975	13875	0	84345	27368	0	8919	1582	0	148041	11762	3094	20984	19491	17376	8228	13255	75127	17979	7313	3466	14227	887	0	29829	72852	0	0	1089	0	2525	2436	13427	9425	27502	99775	2360	0	7699	0	8629	77695	3744	0	8415	0	9833	0	0	0	0	1158	0	0	1431	0	5348	3454	0	1997	0	1207	1164	979	1389	0	504	846	1372	1618	6279	463	3269	13848	2181	0	0	18889	93873	23999	214330	406859	392698	186138	75121	1535437	1632	0	0	0	0	0	0	0	0	0	0	0	1740	0	5543	0	0	0	0	0	163652
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	992	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas	38080	48553	133589	35016	8223	198165	209999	68776	45781	67779	2624	53224	5451	17385	11428	74927	47947	19951	231199	17766	240890	223567	9535	18643	36252	2048	1235	123883	3490	24044	45829	118183	72399	109387	749566	99669	27854	347531	19096	75757	313554	569378	4922	222283	84989	535157	18132	50522	3746	577118	108002	93503	444611	144677	35473	92539	4083	44367	3247	2884	0	185823	21533	43891	19806	430738	51838	167997	100027	107310	0	383287	553982	73466	661140	39357	277088	23524	4395	4216	15601	59641	174568	26706	3442	157118	467284	273495	232557	421220	319575	224603	428879	62818	59915	58272	125913	44495	44599	197672	336187	291619	81167	181931	232867	346307	311912	139193	458377	81288	49809	242490	833621	300379	260574	107447	1239294	110320	116509	9702	93467	49704	13603	43569	11809	79739	23248	39147	118225	74596	20292	57859	130535	39889	41728	19888	0	55260
Alloprevotella	8364	7697	15345	67763	3227	9189	17061	5256	97598	4614	4940	22039	3793	2192	0	2224	12418	20956	32477	3853	161402	11283	37768	17621	68841	1624	10334	0	0	9623	56170	23406	27622	3580	33851	250724	30138	11629	33537	2074	26783	16925	39808	6826	20563	27705	19507	1709	1790	2069	53830	12207	6654	2601	4249	2416	0	0	0	0	2	3472	12612	3644	49749	23531	3241	18123	8725	6222	0	13729	19774	6150	151296	16456	42453	12170	4212	4194	20605	0	79384	0	0	25473	93784	125263	178174	26396	65395	80337	117068	38933	9125	10387	143823	26374	106935	19455	98238	187304	54762	101753	164390	336772	30628	78575	314143	0	0	33679	20128	0	12980	0	27177	3180	5444	257423	42836	5813	6627	51540	45360	8534	3409	12286	91904	134745	1499	13147	22902	8918	15641	0	0	2172
Paraprevotella	0	0	0	0	0	0	0	0	0	1236	0	1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0	938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1164	0	0	0	0	0	0	0	0	0	0	774	0	0	2219	0	0	0	0	0	0	0	0	0	0	0	1562	0	0	1097	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	18564	7906	0	0	0	0	5286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella	159569	142261	462613	334310	53725	126652	73269	184383	879868	582996	462845	239571	339524	672956	268634	414003	508143	507385	499834	897445	1055226	759308	864548	346963	1547412	258697	585106	241050	577948	344935	895055	216088	693019	482692	565184	936122	1585844	766724	973826	450998	558113	416412	788265	231876	551198	312379	1158383	116095	372663	117979	953542	222601	717159	171137	949798	152006	799232	9985	526400	175184	22	146761	1024617	114481	1010852	386697	143382	341345	475971	119388	115289	403898	377081	637579	1393078	802765	305539	1353541	514941	502843	407957	96318	1078884	410210	45139	514849	2104904	991500	2324771	15028153	1547602	10576995	766304	553442	237961	188461	4176160	350056	3586990	542056	4693322	4114671	329107	1151050	2203134	3057746	6076796	21749376	7864406	93650	45148	1653189	732919	133035	749103	96473	585153	512404	38026	148515	239299	38870	137681	2481682	426048	141832	16794	173979	572120	469768	55778	131625	581728	137887	137867	27252	0	166641
Prevotellamassilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	2546	0	0	0	0	0	0	0	0
Alistipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	748	0	201	0	0	0	0	0	0	0	0	3150	0	0	0	0	0	0
Tannerella	68409	74257	643112	23457	1932	90262	29301	127688	464816	497993	129806	27144	458142	327245	60894	280988	50852	578671	161419	865332	219359	614687	340153	204901	370881	127832	10683	199538	355403	113901	451421	131638	802036	191315	221145	122566	1014588	282936	557226	162177	210150	309211	152100	167113	295492	262953	433813	85137	288310	184038	941189	256348	216083	82325	1275909	67647	1035433	3106	680576	4341	4	49187	248497	20720	253561	121070	116965	51765	317136	44385	12277	116859	182685	972325	787423	461399	71433	1113844	176556	170729	241576	29219	691135	330540	9443	21690	35305	51529	93514	113040	33358	20172	37960	10679	9677	14667	58724	6908	13797	27126	28654	232224	37266	30561	125249	78702	70966	61314	239796	81298	140116	494378	671003	299022	108349	95055	4891677	0	7828	0	5279	0	2480	5087	4636	6838	0	3042	19404	0	0	3981	131040	1506	8903	0	0	81776
