Ortholog	Residual
K00005	MR1
K00008	MR1
K00010	MR1
K00012	MR1
K00014	MR1
K00020	MR1
K00024	MR1
K00027	MR1
K00031	MR1
K00033	MR1
K00036	MR1
K00057	MR1
K00060	MR1
K00068	MR1
K00077	MR1
K00096	MR1
K00100	MR1
K00101	MR1
K00111	MR1
K00112	MR1
K00113	MR1
K00131	MR1
K00135	MR1
K00140	MR1
K00145	MR1
K00153	MR1
K00161	MR1
K00164	MR1
K00174	MR1
K00175	MR1
K00208	MR1
K00215	MR1
K00230	MR1
K00231	MR1
K00240	MR1
K00241	MR1
K00243	MR1
K00254	MR1
K00259	MR1
K00266	MR1
K00274	MR1
K00275	MR1
K00286	MR1
K00287	MR1
K00318	MR1
K00324	MR1
K00325	MR1
K00330	MR1
K00331	MR1
K00332	MR1
K00333	MR1
K00334	MR1
K00335	MR1
K00336	MR1
K00337	MR1
K00338	MR1
K00339	MR1
K00340	MR1
K00341	MR1
K00342	MR1
K00343	MR1
K00368	MR1
K00371	MR1
K00373	MR1
K00374	MR1
K00375	MR1
K00376	MR1
K00382	MR1
K00425	MR1
K00426	MR1
K00432	MR1
K00486	MR1
K00540	MR1
K00564	MR1
K00575	MR1
K00595	MR1
K00605	MR1
K00620	MR1
K00626	MR1
K00627	MR1
K00641	MR1
K00646	MR1
K00651	MR1
K00655	MR1
K00658	MR1
K00661	MR1
K00666	MR1
K00677	MR1
K00684	MR1
K00694	MR1
K00700	MR1
K00703	MR1
K00737	MR1
K00748	MR1
K00752	MR1
K00756	MR1
K00758	MR1
K00768	MR1
K00772	MR1
K00782	MR1
K00783	MR1
K00796	MR1
K00797	MR1
K00803	MR1
K00805	MR1
K00818	MR1
K00819	MR1
K00821	MR1
K00823	MR1
K00826	MR1
K00832	MR1
K00844	MR1
K00848	MR1
K00852	MR1
K00853	MR1
K00854	MR1
K00863	MR1
K00864	MR1
K00867	MR1
K00874	MR1
K00876	MR1
K00878	MR1
K00882	MR1
K00886	MR1
K00895	MR1
K00912	MR1
K00917	MR1
K00926	MR1
K00929	MR1
K00930	MR1
K00937	MR1
K00938	MR1
K00941	MR1
K00946	MR1
K00949	MR1
K00950	MR1
K00951	MR1
K00965	MR1
K00970	MR1
K00974	MR1
K00978	MR1
K00982	MR1
K00991	MR1
K00995	MR1
K01011	MR1
K01055	MR1
K01057	MR1
K01079	MR1
K01081	MR1
K01091	MR1
K01126	MR1
K01129	MR1
K01130	MR1
K01163	MR1
K01173	MR1
K01176	MR1
K01182	MR1
K01187	MR1
K01191	MR1
K01197	MR1
K01206	MR1
K01207	MR1
K01222	MR1
K01236	MR1
K01243	MR1
K01246	MR1
K01251	MR1
K01255	MR1
K01256	MR1
K01258	MR1
K01262	MR1
K01270	MR1
K01284	MR1
K01299	MR1
K01304	MR1
K01322	MR1
K01356	MR1
K01421	MR1
K01426	MR1
K01433	MR1
K01451	MR1
K01465	MR1
K01476	MR1
K01488	MR1
K01494	MR1
K01496	MR1
K01507	MR1
K01523	MR1
K01524	MR1
K01531	MR1
K01551	MR1
K01575	MR1
K01586	MR1
K01596	MR1
K01597	MR1
K01599	MR1
K01610	MR1
K01611	MR1
K01613	MR1
K01619	MR1
K01625	MR1
K01633	MR1
K01646	MR1
K01647	MR1
K01652	MR1
K01653	MR1
K01658	MR1
K01661	MR1
K01664	MR1
K01666	MR1
K01676	MR1
K01677	MR1
K01678	MR1
K01679	MR1
K01692	MR1
K01699	MR1
K01709	MR1
K01710	MR1
K01711	MR1
K01712	MR1
K01736	MR1
K01739	MR1
K01740	MR1
K01744	MR1
K01745	MR1
K01753	MR1
K01770	MR1
K01786	MR1
K01787	MR1
K01808	MR1
K01816	MR1
K01818	MR1
K01819	MR1
K01839	MR1
K01840	MR1
K01841	MR1
K01845	MR1
K01847	MR1
K01858	MR1
K01866	MR1
K01868	MR1
K01874	MR1
K01878	MR1
K01885	MR1
K01886	MR1
K01890	MR1
K01893	MR1
K01897	MR1
K01902	MR1
K01906	MR1
K01911	MR1
K01915	MR1
K01916	MR1
K01926	MR1
K01935	MR1
K01937	MR1
K01938	MR1
K01950	MR1
K01952	MR1
K01963	MR1
K01966	MR1
K01975	MR1
K01990	MR1
K01992	MR1
K02003	MR1
K02004	MR1
K02008	MR1
K02009	MR1
K02013	MR1
K02015	MR1
K02016	MR1
K02017	MR1
K02018	MR1
K02020	MR1
K02025	MR1
K02026	MR1
K02027	MR1
K02031	MR1
K02032	MR1
K02033	MR1
K02034	MR1
K02035	MR1
K02037	MR1
K02038	MR1
K02039	MR1
K02040	MR1
K02044	MR1
K02050	MR1
K02051	MR1
K02065	MR1
K02067	MR1
K02069	MR1
K02072	MR1
K02076	MR1
K02117	MR1
K02118	MR1
K02120	MR1
K02124	MR1
K02168	MR1
K02194	MR1
K02195	MR1
K02197	MR1
K02198	MR1
K02230	MR1
K02231	MR1
K02241	MR1
K02279	MR1
K02283	MR1
K02303	MR1
K02314	MR1
K02335	MR1
K02338	MR1
K02343	MR1
K02356	MR1
K02358	MR1
K02363	MR1
K02372	MR1
K02385	MR1
K02386	MR1
K02388	MR1
K02392	MR1
K02394	MR1
K02396	MR1
K02397	MR1
K02398	MR1
K02400	MR1
K02401	MR1
K02404	MR1
K02405	MR1
K02406	MR1
K02407	MR1
K02408	MR1
K02409	MR1
K02411	MR1
K02413	MR1
K02414	MR1
K02418	MR1
K02419	MR1
K02420	MR1
K02421	MR1
K02422	MR1
K02431	MR1
K02437	MR1
K02438	MR1
K02444	MR1
K02469	MR1
K02470	MR1
K02471	MR1
K02483	MR1
K02484	MR1
K02499	MR1
K02517	MR1
K02523	MR1
K02529	MR1
K02532	MR1
K02548	MR1
K02549	MR1
K02551	MR1
K02552	MR1
K02557	MR1
K02566	MR1
K02575	MR1
K02588	MR1
K02654	MR1
K02687	MR1
K02769	MR1
K02770	MR1
K02781	MR1
K02782	MR1
K02783	MR1
K02786	MR1
K02794	MR1
K02796	MR1
K02809	MR1
K02810	MR1
K02821	MR1
K02823	MR1
K02843	MR1
K02851	MR1
K02863	MR1
K02881	MR1
K02890	MR1
K02897	MR1
K02902	MR1
K02906	MR1
