Genus	Residual
Abiotrophia	MR1
Aggregatibacter	MR1
Anaeroglobus	MR1
Atopobium	MR1
Capnocytophaga	MR1
Cardiobacterium	MR1
Clostridium	MR1
Collinsella	MR1
Cryptobacterium	MR1
Dialister	MR1
Eikenella	MR1
Gemella	MR1
Granulicatella	MR1
Haemophilus	MR1
Johnsonella	MR1
Kingella	MR1
Lautropia	MR1
Mitsuokella	MR1
Mogibacterium	MR1
Morococcus	MR1
Neisseria	MR1
Olsenella	MR1
Ottowia	MR1
Paraprevotella	MR1
Porphyromonas	MR1
Schaalia	MR1
Shuttleworthia	MR1
Slackia	MR1
Stomatobaculum	MR1
Actinobaculum	MR2
Bilophila	MR2
Campylobacter	MR2
Centipeda	MR2
Coprococcus	MR2
Corynebacterium	MR2
Desulfobulbus	MR2
Desulfomicrobium	MR2
Desulfovibrio	MR2
Fusobacterium	MR2
Lachnoanaerobaculum	MR2
Lachnoclostridium	MR2
Leptotrichia	MR2
Methanobrevibacter	MR2
Oribacterium	MR2
Peptoniphilus	MR2
Phocaeicola	MR2
Prevotella	MR2
Pseudoramibacter	MR2
Selenomonas	MR2
Tannerella	MR2
Actinomyces	MR3
Bacteroides	MR3
Catonella	MR3
Eggerthia	MR3
Eubacterium	MR3
Filifactor	MR3
Megasphaera	MR3
Parvimonas	MR3
Peptoanaerobacter	MR3
Peptostreptococcus	MR3
Propionibacterium	MR3
Rothia	MR3
Streptococcus	MR3
Treponema	MR3
Veillonella	MR3
