Ortholog	Residual
ANAEROFRUCAT-PWY: homolactic fermentation	MR1
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	MR1
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	MR1
CALVIN-PWY: Calvin-Benson-Bassham cycle	MR1
CITRULBIO-PWY: L-citrulline biosynthesis	MR1
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	MR1
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	MR1
FASYN-ELONG-PWY: fatty acid elongation -- saturated	MR1
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	MR1
FERMENTATION-PWY: mixed acid fermentation	MR1
GALACTUROCAT-PWY: D-galacturonate degradation I	MR1
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	MR1
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	MR1
GLYOXYLATE-BYPASS: glyoxylate cycle	MR1
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	MR1
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	MR1
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	MR1
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	MR1
P122-PWY: heterolactic fermentation	MR1
P124-PWY: Bifidobacterium shunt	MR1
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	MR1
P23-PWY: reductive TCA cycle I	MR1
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	MR1
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	MR1
PWY-1042: glycolysis IV	MR1
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	MR1
PWY-4981: L-proline biosynthesis II (from arginine)	MR1
PWY-4984: urea cycle	MR1
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	MR1
PWY-5173	MR1
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	MR1
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	MR1
PWY-5667: CDP-diacylglycerol biosynthesis I	MR1
PWY-5675: nitrate reduction V (assimilatory)	MR1
PWY-5695: inosine 5'-phosphate degradation	MR1
PWY-5838: superpathway of menaquinol-8 biosynthesis I	MR1
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	MR1
PWY-5856: ubiquinol-9 biosynthesis (early decarboxylation)	MR1
PWY-5857: ubiquinol-10 biosynthesis (early decarboxylation)	MR1
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	MR1
PWY-5913: partial TCA cycle (obligate autotrophs)	MR1
PWY-5920: superpathway of heme b biosynthesis from glycine	MR1
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	MR1
PWY-5973: cis-vaccenate biosynthesis	MR1
PWY-5989: stearate biosynthesis II (bacteria and plants)	MR1
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	MR1
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	MR1
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	MR1
PWY-6313: serotonin degradation	MR1
PWY-6317: D-galactose degradation I (Leloir pathway)	MR1
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	MR1
PWY-6527: stachyose degradation	MR1
PWY-6562: norspermidine biosynthesis	MR1
PWY-6703: preQ0 biosynthesis	MR1
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	MR1
PWY-6803: phosphatidylcholine acyl editing	MR1
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	MR1
PWY-7013: (S)-propane-1,2-diol degradation	MR1
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	MR1
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	MR1
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	MR1
PWY-7242: D-fructuronate degradation	MR1
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	MR1
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	MR1
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	MR1
PWY-7391: isoprene biosynthesis II (engineered)	MR1
