Pathway	Residual
(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)	MR1
(R)-citramalate synthase (EC 2.3.1.182)	MR1
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	MR1
[NiFe] hydrogenase metallocenter assembly protein HypC	MR1
[NiFe] hydrogenase metallocenter assembly protein HypE	MR1
[NiFe] hydrogenase metallocenter assembly protein HypF	MR1
[NiFe] hydrogenase nickel incorporation protein HypA	MR1
[NiFe] hydrogenase nickel incorporation-associated protein HypB	MR1
1,3-propanediol dehydrogenase (EC 1.1.1.202)	MR1
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.2.1.10)	MR1
2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	MR1
2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	MR1
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	MR1
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	MR1
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	MR1
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	MR1
2-iminoacetate synthase (ThiH) (EC 4.1.99.19)	MR1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	MR1
2-keto-3-deoxygluconate permease (KDG permease)	MR1
2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	MR1
2-methylcitrate synthase (EC 2.3.3.5)	MR1
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	MR1
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	MR1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	MR1
2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	MR1
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore	MR1
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	MR1
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	MR1
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	MR1
3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	MR1
3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like	MR1
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	MR1
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	MR1
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	MR1
3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC	MR1
3'-to-5' oligoribonuclease B, Bacillus type	MR1
4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	MR1
4-hydroxybenzoate transporter	MR1
4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)	MR1
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	MR1
5'-methylthioadenosine phosphorylase (EC 2.4.2.28)	MR1
6-phospho-beta-glucosidase ascB (EC 3.2.1.86)	MR1
6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	MR1
ABC transport system, permease component YbhR	MR1
ABC transporter multidrug efflux pump, fused ATP-binding domains	MR1
ABC transporter, predicted N-acetylneuraminate transport system permease protein 1	MR1
ABC-type Fe3+-siderophore transport system, permease 2 component	MR1
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	MR1
ABC-type tungstate transport system, permease protein	MR1
Acetate permease ActP (cation/acetate symporter)	MR1
Acetoacetyl-CoA reductase (EC 1.1.1.36)	MR1
Acetolactate synthase, catabolic (EC 2.2.1.6)	MR1
Acetylornithine deacetylase (EC 3.5.1.16)	MR1
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	MR1
Aconitate hydratase 2 (EC 4.2.1.3)	MR1
Acriflavin resistance protein	MR1
Acyl carrier protein (ACP1)	MR1
Acyl carrier protein (ACP2)	MR1
Additional lipoprotein component of predicted cobalamin ECF transporter	MR1
Additional substrate-specific component NikN of nickel ECF transporter	MR1
Adenine deaminase (EC 3.5.4.2)	MR1
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	MR1
Adenosine deaminase (EC 3.5.4.4)	MR1
Adenosylcobinamide amidohydrolase (EC 3.5.1.90)	MR1
Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2)	MR1
Adenylylsulfate reductase beta-subunit (EC 1.8.99.2)	MR1
ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)	MR1
Alanine racemase, biosynthetic (EC 5.1.1.1)	MR1
Aldehyde dehydrogenase A (EC 1.2.1.22)	MR1
Aldehyde dehydrogenase B (EC 1.2.1.22)	MR1
Alfa-L-rhamnosidase (EC 3.2.1.40)	MR1
Alkaline phosphatase (EC 3.1.3.1)	MR1
Alkanesulfonates ABC transporter ATP-binding protein	MR1
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	MR1
Alkyl hydroperoxide reductase subunit C-like protein	MR1
Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)	MR1
Alpha-glucosidase (EC 3.2.1.20)	MR1
Alpha-glycerophosphate oxidase (EC 1.1.3.21)	MR1
Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55)	MR1
Alpha-N-acetylglucosaminidase (EC 3.2.1.50)	MR1
Alpha-N-arabinofuranosidase (EC 3.2.1.55)	MR1
Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)	MR1
Alpha-xylosidase (EC 3.2.1.-)	MR1
Alternative dihydrofolate reductase 2	MR1
Altronate oxidoreductase (EC 1.1.1.58)	MR1
Aminodeoxychorismate lyase (EC 4.1.3.38)	MR1
Anaerobic dehydrogenases, typically selenocysteine-containing	MR1
Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	MR1
Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	MR1
Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)	MR1
Anaerobic nitric oxide reductase flavorubredoxin	MR1
Aquaporin Z	MR1
archaeal ATPase, fused to C-terminal DUF234 domain	MR1
Arginine ABC transporter, ATP-binding protein ArtP	MR1
Arginine ABC transporter, periplasmic arginine-binding protein ArtI	MR1
Arginine ABC transporter, permease protein ArtM	MR1
Arginine ABC transporter, permease protein ArtQ	MR1
Arginine decarboxylase (EC 4.1.1.19)	MR1
