Species	Residual
[Eubacterium] brachy	MR1
[Eubacterium] minutum	MR1
[Eubacterium] saphenum	MR1
[Eubacterium] yurii	MR1
[Hallella] seregens	MR1
Abiotrophia defectiva	MR1
Abiotrophia sp. HMSC24B09	MR1
Actinobaculum sp. oral taxon 183	MR1
Actinomyces gerencseriae	MR1
Actinomyces radicidentis	MR1
Actinomyces sp. oral taxon 178	MR1
Actinomyces sp. oral taxon 448	MR1
Actinomyces sp. oral taxon 848	MR1
Actinomyces sp. oral taxon 877	MR1
Anaerolineaceae bacterium oral taxon 439	MR1
Atopobium sp. oral taxon 810	MR1
Bacteroides finegoldii	MR1
Bacteroides heparinolyticus	MR1
Campylobacter gracilis	MR1
Centipeda periodontii	MR1
Coprococcus comes	MR1
Corynebacterium diphtheriae	MR1
Corynebacterium matruchotii	MR1
Desulfobulbus oralis	MR1
Eikenella sp. HMSC061C02	MR1
Fusobacterium nucleatum	MR1
Granulicatella adiacens	MR1
Granulicatella sp. 572.rep1_STHE	MR1
Granulicatella sp. HMSC30F09	MR1
Granulicatella sp. HMSC31F03	MR1
Lachnoanaerobaculum saburreum	MR1
Lachnoanaerobaculum sp. OBRC5-5	MR1
Lachnoanaerobaculum umeaense	MR1
Lachnospiraceae bacterium oral taxon 082	MR1
Leptotrichia buccalis	MR1
Leptotrichia hofstadii	MR1
Leptotrichia shahii	MR1
Leptotrichia sp. oral taxon 225	MR1
Leptotrichia sp. oral taxon 498	MR1
Leptotrichia sp. oral taxon 847	MR1
Leptotrichia sp. oral taxon 879	MR1
Leptotrichia trevisanii	MR1
Leptotrichia wadei	MR1
Methanobrevibacter oralis	MR1
Neisseria elongata	MR1
Neisseria gonorrhoeae	MR1
Neisseria polysaccharea	MR1
Neisseria sp. HMSC055F11	MR1
Neisseria sp. HMSC059F02	MR1
Neisseria sp. HMSC064F04	MR1
Neisseria sp. HMSC070E12	MR1
Neisseria sp. HMSC072F04	MR1
Neisseria sp. HMSC073B07	MR1
Neisseria sp. HMSC31F04	MR1
Oribacterium sinus	MR1
Ottowia sp. oral taxon 894	MR1
Peptoniphilus sp. oral taxon 386	MR1
Peptostreptococcaceae bacterium oral taxon 113	MR1
Prevotella conceptionensis	MR1
Prevotella denticola	MR1
Prevotella disiens	MR1
Prevotella jejuni	MR1
Prevotella maculosa	MR1
Prevotella marshii	MR1
Prevotella melaninogenica	MR1
Prevotella micans	MR1
Prevotella nigrescens	MR1
Prevotella oralis	MR1
Prevotella oulorum	MR1
Prevotella pallens	MR1
Prevotella saccharolytica	MR1
Prevotella salivae	MR1
Prevotella shahii	MR1
Prevotella sp. C561	MR1
Prevotella sp. F0091	MR1
Prevotella sp. HJM029	MR1
Prevotella sp. HMSC073D09	MR1
Prevotella sp. oral taxon 317	MR1
Propionibacterium sp. oral taxon 192	MR1
Ruminococcus lactaris	MR1
Schaalia cardiffensis	MR1
Selenomonas artemidis	MR1
Selenomonas felix	MR1
Selenomonas flueggei	MR1
Selenomonas noxia	MR1
Selenomonas sp. F0473	MR1
Selenomonas sp. oral taxon 126	MR1
Selenomonas sp. oral taxon 136	MR1
Selenomonas sp. oral taxon 138	MR1
Selenomonas sp. oral taxon 149	MR1
Selenomonas sp. oral taxon 478	MR1
Selenomonas sp. oral taxon 920	MR1
Stomatobaculum longum	MR1
Streptococcus cristatus	MR1
Streptococcus intermedius	MR1
Streptococcus salivarius	MR1
Streptococcus sanguinis	MR1
Streptococcus sp. HMSC072D03	MR1
Streptococcus sp. oral taxon 064	MR1
Tannerella sp. oral taxon HOT-286	MR1
Treponema putidum	MR1
Veillonella atypica	MR1
Veillonella sp. 3_1_44	MR1
Veillonella sp. 6_1_27	MR1
Actinomyces urogenitalis	MR2
Alloprevotella rava	MR2
Atopobium parvulum	MR2
Atopobium rimae	MR2
Atopobium sp. HMSC064B08	MR2
Bacteroidetes oral taxon 274	MR2
Bifidobacterium dentium	MR2
Campylobacter showae	MR2
Capnocytophaga gingivalis	MR2
Capnocytophaga granulosa	MR2
Capnocytophaga haemolytica	MR2
Capnocytophaga leadbetteri	MR2
Capnocytophaga ochracea	MR2
Capnocytophaga sp. ChDC OS43	MR2
Capnocytophaga sp. oral taxon 323	MR2
Capnocytophaga sp. oral taxon 324	MR2
Capnocytophaga sp. oral taxon 326	MR2
Capnocytophaga sp. oral taxon 329	MR2
Capnocytophaga sp. oral taxon 332	MR2
Capnocytophaga sp. oral taxon 336	MR2
Capnocytophaga sp. oral taxon 338	MR2
Capnocytophaga sp. oral taxon 380	MR2
Capnocytophaga sp. oral taxon 863	MR2
Capnocytophaga sp. oral taxon 864	MR2
Capnocytophaga sputigena	MR2
Cardiobacterium valvarum	MR2
Eikenella corrodens	MR2
Fusobacterium hwasookii	MR2
Fusobacterium periodonticum	MR2
Fusobacterium sp. HMSC064B11	MR2
Gemella morbillorum	MR2
Johnsonella ignava	MR2
Lachnospiraceae bacterium oral taxon 500	MR2
Lactobacillus mucosae	MR2
Leptotrichia sp. oral taxon 212	MR2
Leptotrichia sp. oral taxon 215	MR2
Megasphaera micronuciformis	MR2
Mitsuokella multacida	MR2
Mitsuokella sp. oral taxon 131	MR2
Neisseria bacilliformis	MR2
Prevotella amnii	MR2
Prevotella bivia	MR2
Prevotella histicola	MR2
Prevotella loescheii	MR2
Prevotella multiformis	MR2
Prevotella multisaccharivorax	MR2
Prevotella nanceiensis	MR2
Prevotella oris	MR2
Prevotella sp. HMSC069G02	MR2
Prevotella sp. oral taxon 472	MR2
Prevotella timonensis	MR2
Prevotella veroralis	MR2
Propionibacterium australiense	MR2
Scardovia inopinata	MR2
Selenomonas bovis	MR2
Selenomonas ruminantium	MR2
Shuttleworthia satelles	MR2
Streptococcus mutans	MR2
Streptococcus sobrinus	MR2
Streptococcus sp. DD04	MR2
Streptococcus sp. HMSC056C01	MR2
Veillonella dispar	MR2
Veillonella rodentium	MR2
Veillonella sp. HPA0037	MR2
Veillonella tobetsuensis	MR2
[Clostridium] symbiosum	MR3
[Eubacterium] infirmum	MR3
[Eubacterium] sulci	MR3
Alloprevotella tannerae	MR3
Campylobacter concisus	MR3
Catonella morbi	MR3
Corynebacterium argentoratense	MR3
Cuspidothrix issatschenkoi	MR3
Dialister invisus	MR3
Dialister pneumosintes	MR3
Eggerthia catenaformis	MR3
Haemophilus haemolyticus	MR3
Haemophilus influenzae	MR3
Haemophilus sp. CCUG 60358	MR3
Haemophilus sp. HMSC061E01	MR3
Haemophilus sp. HMSC068C11	MR3
Haemophilus sp. HMSC073C03	MR3
Haemophilus sp. HMSC61B11	MR3
Haemophilus sp. HMSC71H05	MR3
Methylocaldum marinum	MR3
Mitsuokella jalaludinii	MR3
Mogibacterium diversum	MR3
Mogibacterium pumilum	MR3
Neisseria perflava	MR3
Neisseria sp. HMSC061B04	MR3
Neisseria sp. HMSC063B05	MR3
Neisseria sp. HMSC064D07	MR3
Neisseria sp. HMSC065C04	MR3
Neisseria sp. HMSC066H01	MR3
Neisseria sp. HMSC070H10	MR3
Neisseria sp. HMSC072C05	MR3
Neisseria sp. HMSC073G10	MR3
Neisseria sp. HMSC075C10	MR3
Neisseria sp. HMSC15G01	MR3
Neisseria subflava	MR3
Olsenella uli	MR3
Parabacteroides merdae	MR3
Paraprevotella clara	MR3
Parvimonas micra	MR3
Peptoanaerobacter stomatis	MR3
Peptostreptococcus anaerobius	MR3
Phocaeicola abscessus	MR3
Piscirickettsia salmonis	MR3
Porphyromonas cangingivalis	MR3
Prevotella baroniae	MR3
Prevotella buccae	MR3
Prevotella dentalis	MR3
Prevotella enoeca	MR3
Prevotella fusca	MR3
Prevotella sp. KH2C16	MR3
Selenomonas infelix	MR3
Selenomonas sp. oral taxon 892	MR3
Selenomonas sputigena	MR3
Slackia exigua	MR3
Solobacterium moorei	MR3
Streptococcus anginosus	MR3
Streptococcus infantis	MR3
Streptococcus pyogenes	MR3
Streptococcus sp. 1171_SSPC	MR3
Streptococcus sp. 400_SSPC	MR3
Streptococcus sp. A12	MR3
Streptococcus sp. HMSC034E03	MR3
Streptococcus sp. HMSC062D07	MR3
Streptococcus sp. HMSC062H02	MR3
Streptococcus sp. HMSC066F01	MR3
Streptococcus sp. HMSC072D05	MR3
Streptococcus sp. HMSC072D07	MR3
Streptococcus sp. HMSC076C08	MR3
Streptococcus sp. HMSC077F03	MR3
Streptococcus sp. HPH0090	MR3
Streptococcus sp. oral taxon 431	MR3
Tannerella forsythia	MR3
Treponema denticola	MR3
Treponema maltophilum	MR3
Treponema medium	MR3
Treponema socranskii	MR3
Treponema sp. OMZ 838	MR3
Treponema vincentii	MR3
