Ortholog	Residual
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	MR1
1.1.1.274-RXN	MR1
1.1.1.283-RXN	MR1
1.1.99.28-RXN	MR1
1.18.1.2-RXN	MR1
1.2.3.3-RXN	MR1
1.2.99.7-RXN	MR1
1.3.99.15-RXN	MR1
1.4.3.19-RXN	MR1
1.5.1.34-RXN	MR1
1.5.5.1-RXN-YEAST	MR1
1.6.4.4-RXN	MR1
1.7.2.2-RXN	MR1
1.7.2.3-RXN	MR1
1.8.1.15-RXN	MR1
1.8.1.4-RXN	MR1
1.8.4.12-RXN	MR1
1.8.4.14-RXN	MR1
1.8.98.1-RXN	MR1
1PFRUCTPHOSN-RXN	MR1
1TRANSKETO-RXN	MR1
2-DEHYDROPANTOATE-REDUCT-RXN	MR1
2-NITROPROPANE-DIOXYGENASE-RXN	MR1
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	MR1
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	MR1
2.1.1.100-RXN	MR1
2.1.1.113-RXN	MR1
2.1.1.151-RXN	MR1
2.1.1.17-RXN	MR1
2.1.1.34-RXN	MR1
2.1.1.64-RXN	MR1
2.1.1.72-RXN	MR1
2.1.1.77-RXN	MR1
2.1.1.79-RXN	MR1
2.1.3.1-RXN	MR1
2.3.1.128-RXN	MR1
2.3.1.157-RXN	MR1
2.3.1.179-RXN	MR1
2.3.1.41-RXN	MR1
2.3.2.10-RXN	MR1
2.4.1.109-RXN	MR1
2.4.1.119-RXN	MR1
2.4.1.129-RXN	MR1
2.4.1.212-RXN	MR1
2.4.1.230-RXN	MR1
2.5.1.46-RXN	MR1
2.7.1.121-RXN	MR1
2.7.1.148-RXN	MR1
2.7.1.90-RXN	MR1
2.7.10.1-RXN	MR1
2.7.13.1-RXN	MR1
2.7.7.1-RXN	MR1
2.7.7.33-RXN	MR1
2.7.7.40-RXN	MR1
2.7.7.60-RXN	MR1
2.7.8.11-RXN	MR1
2.7.8.6-RXN	MR1
2.7.9.3-RXN	MR1
2.8.1.6-RXN	MR1
2.9.1.1-RXN	MR1
24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN	MR1
2TRANSKETO-RXN	MR1
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	MR1
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	MR1
3-NUCLEOTID-RXN	MR1
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	MR1
3-OXOACYL-ACP-REDUCT-RXN	MR1
3-OXOACYL-ACP-SYNTH-BASE-RXN	MR1
3-OXOACYL-ACP-SYNTH-RXN	MR1
3.1.1.47-RXN	MR1
3.1.1.64-RXN	MR1
3.1.1.73-RXN	MR1
3.1.11.1-RXN	MR1
3.1.11.2-RXN	MR1
3.1.13.1-RXN	MR1
3.1.13.5-RXN	MR1
3.1.21.1-RXN	MR1
3.1.21.3-RXN	MR1
3.1.21.4-RXN	MR1
3.1.26.12-RXN	MR1
3.1.31.1-RXN	MR1
3.2.1.17-RXN	MR1
3.2.1.23-RXN	MR1
3.2.1.37-RXN	MR1
3.2.1.52-RXN	MR1
3.2.1.73-RXN	MR1
3.2.1.99-RXN	MR1
3.2.2.23-RXN	MR1
3.2.2.24-RXN	MR1
3.4.11.24-RXN	MR1
3.4.11.5-RXN	MR1
3.4.11.7-RXN	MR1
3.4.11.9-RXN	MR1
3.4.13.20-RXN	MR1
3.4.13.21-RXN	MR1
3.4.13.9-RXN	MR1
3.4.14.11-RXN	MR1
3.4.15.5-RXN	MR1
3.4.16.4-RXN	MR1
3.4.17.13-RXN	MR1
3.4.17.14-RXN	MR1
3.4.17.8-RXN	MR1
3.4.21.102-RXN	MR1
3.4.21.107-RXN	MR1
3.4.21.110-RXN	MR1
3.4.21.26-RXN	MR1
3.4.21.53-RXN	MR1
3.4.21.83-RXN	MR1
3.4.21.96-RXN	MR1
3.4.23.43-RXN	MR1
3.4.24.13-RXN	MR1
3.4.24.15-RXN	MR1
3.4.24.40-RXN	MR1
3.4.24.56-RXN	MR1
3.4.24.57-RXN	MR1
3.4.24.70-RXN	MR1
3.4.24.75-RXN	MR1
3.5.1.26-RXN	MR1
3.5.1.80-RXN	MR1
3.5.1.98-RXN	MR1
3.5.2.12-RXN	MR1
3.5.4.30-RXN	MR1
3.6.1.17-RXN	MR1
3.6.1.41-RXN	MR1
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	MR1
4.1.1.32-RXN	MR1
4.1.1.83-RXN	MR1
4.1.1.86-RXN	MR1
4.1.3.17-RXN	MR1
4.2.1.107-RXN	MR1
4.2.1.58-RXN	MR1
4.2.1.59-RXN	MR1
4.2.1.61-RXN	MR1
4.2.1.99-RXN	MR1
4.3.1.4-RXN	MR1
4OH2OXOGLUTARALDOL-RXN	MR1
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	MR1
5-NUCLEOTID-RXN	MR1
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	MR1
5.1.3.20-RXN	MR1
5.3.3.14-RXN	MR1
5.3.4.1-RXN	MR1
