Pathway	Residual
(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)	MR1
[NiFe] hydrogenase nickel incorporation protein HybF	MR1
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	MR1
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	MR1
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	MR1
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	MR1
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	MR1
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	MR1
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	MR1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	MR1
2-isopropylmalate synthase (EC 2.3.3.13)	MR1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	MR1
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	MR1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	MR1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	MR1
3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	MR1
3-dehydroquinate synthase (EC 4.2.3.4)	MR1
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	MR1
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	MR1
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	MR1
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	MR1
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	MR1
3'-to-5' exoribonuclease RNase R	MR1
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	MR1
4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase	MR1
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	MR1
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	MR1
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	MR1
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	MR1
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	MR1
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	MR1
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	MR1
5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	MR1
5'-nucleotidase (EC 3.1.3.5)	MR1
6-phospho-beta-glucosidase (EC 3.2.1.86)	MR1
6-phosphofructokinase (EC 2.7.1.11)	MR1
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	MR1
A/G-specific adenine glycosylase (EC 3.2.2.-)	MR1
Acetate kinase (EC 2.7.2.1)	MR1
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	MR1
Acetolactate synthase large subunit (EC 2.2.1.6)	MR1
Acetolactate synthase small subunit (EC 2.2.1.6)	MR1
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	MR1
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	MR1
Acetylglutamate kinase (EC 2.7.2.8)	MR1
Acetylornithine aminotransferase (EC 2.6.1.11)	MR1
Aconitate hydratase (EC 4.2.1.3)	MR1
Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)	MR1
Acyl carrier protein	MR1
Adenine phosphoribosyltransferase (EC 2.4.2.7)	MR1
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	MR1
Adenosylhomocysteinase (EC 3.3.1.1)	MR1
Adenylate cyclase (EC 4.6.1.1)	MR1
Adenylate kinase (EC 2.7.4.3)	MR1
Adenylosuccinate lyase (EC 4.3.2.2)	MR1
Adenylosuccinate synthetase (EC 6.3.4.4)	MR1
ADP-ribose pyrophosphatase (EC 3.6.1.13)	MR1
Alanine dehydrogenase (EC 1.4.1.1)	MR1
Alanine racemase (EC 5.1.1.1)	MR1
Alanyl-tRNA synthetase (EC 6.1.1.7)	MR1
Alcohol dehydrogenase (EC 1.1.1.1)	MR1
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	MR1
Amidophosphoribosyltransferase (EC 2.4.2.14)	MR1
Aminodeoxychorismate lyase (EC 4.1.3.38)	MR1
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	MR1
Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	MR1
Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.5.3)	MR1
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	MR1
Anthranilate synthase, aminase component (EC 4.1.3.27)	MR1
Arginine utilization regulatory protein RocR	MR1
Arginine/ornithine antiporter ArcD	MR1
Argininosuccinate lyase (EC 4.3.2.1)	MR1
Argininosuccinate synthase (EC 6.3.4.5)	MR1
Arginyl-tRNA synthetase (EC 6.1.1.19)	MR1
Arsenical resistance operon trans-acting repressor ArsD	MR1
Aspartate 1-decarboxylase (EC 4.1.1.11)	MR1
Aspartate aminotransferase (EC 2.6.1.1)	MR1
Aspartate ammonia-lyase (EC 4.3.1.1)	MR1
Aspartate carbamoyltransferase (EC 2.1.3.2)	MR1
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	MR1
Aspartokinase (EC 2.7.2.4)	MR1
Aspartyl-tRNA synthetase (EC 6.1.1.12)	MR1
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6)	MR1
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6)	MR1
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6)	MR1
ATP phosphoribosyltransferase (EC 2.4.2.17)	MR1
ATP synthase alpha chain (EC 3.6.3.14)	MR1
ATP synthase beta chain (EC 3.6.3.14)	MR1
ATP synthase delta chain (EC 3.6.3.14)	MR1
ATP synthase epsilon chain (EC 3.6.3.14)	MR1
ATP synthase F0 sector subunit a	MR1
ATP synthase F0 sector subunit c	MR1
ATP synthase gamma chain (EC 3.6.3.14)	MR1
ATP-dependent Clp protease ATP-binding subunit ClpA	MR1
ATP-dependent Clp protease ATP-binding subunit ClpX	MR1
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	MR1
ATP-dependent Clp protease, ATP-binding subunit ClpC	MR1
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	MR1
