Species	Residual
[Eubacterium] saphenum	MR1
[Eubacterium] sulci	MR1
[Eubacterium] yurii	MR1
Abiotrophia defectiva	MR1
Abiotrophia sp. HMSC24B09	MR1
Actinobaculum sp. oral taxon 183	MR1
Actinomyces radicidentis	MR1
Actinomyces sp. oral taxon 170	MR1
Actinomyces sp. oral taxon 178	MR1
Actinomyces sp. oral taxon 848	MR1
Actinomyces sp. oral taxon 877	MR1
Actinomyces urogenitalis	MR1
Aggregatibacter aphrophilus	MR1
Alloprevotella rava	MR1
Alloprevotella tannerae	MR1
Anaerolineaceae bacterium oral taxon 439	MR1
Campylobacter showae	MR1
Campylobacter sp. 10_1_50	MR1
Capnocytophaga gingivalis	MR1
Capnocytophaga leadbetteri	MR1
Capnocytophaga sp. oral taxon 326	MR1
Capnocytophaga sp. oral taxon 329	MR1
Capnocytophaga sp. oral taxon 332	MR1
Capnocytophaga sp. oral taxon 338	MR1
Capnocytophaga sp. oral taxon 863	MR1
Capnocytophaga sp. oral taxon 878	MR1
Capnocytophaga sputigena	MR1
Cardiobacterium hominis	MR1
Cardiobacterium valvarum	MR1
Cellulomonas flavigena	MR1
Centipeda periodontii	MR1
Cryptobacterium curtum	MR1
Desulfobulbus oralis	MR1
Eikenella corrodens	MR1
Eikenella sp. HMSC061C02	MR1
Haemophilus parainfluenzae	MR1
Kingella denitrificans	MR1
Lachnoanaerobaculum saburreum	MR1
Lachnoanaerobaculum sp. OBRC5-5	MR1
Lachnoanaerobaculum umeaense	MR1
Lachnospiraceae bacterium oral taxon 082	MR1
Lancefieldella parvula	MR1
Lautropia mirabilis	MR1
Leptotrichia hofstadii	MR1
Leptotrichia shahii	MR1
Leptotrichia sp. oral taxon 498	MR1
Leptotrichia sp. oral taxon 847	MR1
Leptotrichia sp. oral taxon 879	MR1
Leptotrichia trevisanii	MR1
Leptotrichia wadei	MR1
Megasphaera micronuciformis	MR1
Mitsuokella sp. oral taxon 131	MR1
Morococcus cerebrosus	MR1
Neisseria bacilliformis	MR1
Neisseria elongata	MR1
Neisseria gonorrhoeae	MR1
Neisseria meningitidis	MR1
Neisseria shayeganii	MR1
Neisseria sicca	MR1
Neisseria sp. HMSC055F11	MR1
Neisseria sp. HMSC059F02	MR1
Neisseria sp. HMSC064E01	MR1
Neisseria sp. HMSC064F04	MR1
Neisseria sp. HMSC070E12	MR1
Neisseria sp. HMSC072F04	MR1
Neisseria sp. HMSC077D05	MR1
Neisseria sp. HMSC15C08	MR1
Neisseria sp. HMSC31F04	MR1
Neisseria sp. KEM232	MR1
Neisseria sp. oral taxon 020	MR1
Oribacterium asaccharolyticum	MR1
Oribacterium sinus	MR1
Oribacterium sp. oral taxon 078	MR1
Ottowia sp. Marseille-P4747	MR1
Ottowia sp. oral taxon 894	MR1
Porphyromonas catoniae	MR1
Prevotella amnii	MR1
Prevotella bivia	MR1
Prevotella conceptionensis	MR1
Prevotella denticola	MR1
Prevotella fusca	MR1
Prevotella histicola	MR1
Prevotella jejuni	MR1
Prevotella maculosa	MR1
Prevotella marshii	MR1
Prevotella melaninogenica	MR1
Prevotella micans	MR1
Prevotella multiformis	MR1
Prevotella nigrescens	MR1
Prevotella oris	MR1
Prevotella oulorum	MR1
Prevotella pallens	MR1
Prevotella salivae	MR1
Prevotella scopos	MR1
Prevotella shahii	MR1
Prevotella sp. C561	MR1
Prevotella sp. F0091	MR1
Prevotella sp. HJM029	MR1
Prevotella sp. HMSC069G02	MR1
Prevotella sp. HMSC073D09	MR1
Prevotella sp. oral taxon 317	MR1
Prevotella veroralis	MR1
Pseudopropionibacterium propionicum	MR1
Rothia aeria	MR1
Schaalia georgiae	MR1
Selenomonas felix	MR1
Selenomonas flueggei	MR1
Selenomonas noxia	MR1
Selenomonas sp. oral taxon 136	MR1
Selenomonas sp. oral taxon 149	MR1
Selenomonas sp. oral taxon 478	MR1
