Genus	Residual
Aggregatibacter	MR1
Candidatus Kryptonium	MR1
Capnocytophaga	MR1
Cardiobacterium	MR1
Catonella	MR1
Clostridium	MR1
Cryptobacterium	MR1
Eikenella	MR1
Eubacterium	MR1
Fusobacterium	MR1
Gemella	MR1
Haemophilus	MR1
Kingella	MR1
Lautropia	MR1
Mitsuokella	MR1
Morococcus	MR1
Neisseria	MR1
Parvimonas	MR1
Peptoanaerobacter	MR1
Porphyromonas	MR1
Propionibacterium	MR1
Rothia	MR1
Shuttleworthia	MR1
Actinobaculum	MR2
Campylobacter	MR2
Candidatus Methanomethylophilus	MR2
Centipeda	MR2
Corynebacterium	MR2
Desulfobulbus	MR2
Desulfomicrobium	MR2
Eggerthia	MR2
Gordonibacter	MR2
Lachnoanaerobaculum	MR2
Leptotrichia	MR2
Megasphaera	MR2
Methanobrevibacter	MR2
Oribacterium	MR2
Ottowia	MR2
Peptoniphilus	MR2
Peptostreptococcus	MR2
Phocaeicola	MR2
Prevotella	MR2
Selenomonas	MR2
Stomatobaculum	MR2
Veillonella	MR2
Abiotrophia	MR3
Anaeroglobus	MR3
Bacteroides	MR3
Bergeyella	MR3
Candidatus Dactylopiibacterium	MR3
Dialister	MR3
Granulicatella	MR3
Mogibacterium	MR3
Olsenella	MR3
Ornithobacterium	MR3
Paraprevotella	MR3
Pseudoramibacter	MR3
Simonsiella	MR3
Slackia	MR3
Streptobacillus	MR3
Streptococcus	MR3
Tannerella	MR3
Thauera	MR3
Treponema	MR3
Weissella	MR3
