NCBItaxID	Species
940615	Granulicella tundricola
392734	Terriglobus roseus
35839	Holophaga foetida
133270	Hydrogenothermus marinus
1540872	Candidatus Gracilibacteria bacterium HOT-871
248039	Mucispirillum schaedleri
423605	Elusimicrobium minutum
1841855	Bacteroides bouchesdurhonensis
47678	Bacteroides caccae
1796613	Bacteroides caecimuris
246787	Bacteroides cellulosilyticus
626929	Bacteroides clarus
151276	Bacteroides coprosuis
28111	Bacteroides eggerthii
674529	Bacteroides faecis
338188	Bacteroides finegoldii
626930	Bacteroides fluxus
817	Bacteroides fragilis
384639	Bacteroides galacturonicus
376806	Bacteroides gallinarum
477666	Bacteroides graminisolvens
290053	Bacteroides helcogenes
28113	Bacteroides heparinolyticus
1907658	Bacteroides ilei
329854	Bacteroides intestinalis
1841856	Bacteroides mediterraneensis
1347393	Bacteroides neonati
626931	Bacteroides oleiciplenus
28116	Bacteroides ovatus
310300	Bacteroides pyogenes
291644	Bacteroides salyersiae
871324	Bacteroides stercorirosoris
46506	Bacteroides stercoris
818	Bacteroides thetaiotaomicron
1917883	Bacteroides togonis
820	Bacteroides uniformis
371601	Bacteroides xylanisolvens
28119	Bacteroides zoogleoformans
469590	Bacteroides sp. 2_2_4
469593	Bacteroides sp. 3_1_40A
457393	Bacteroides sp. 4_1_36
93975	Bacteroides sp. AR29
556259	Bacteroides sp. D2
1410607	Bacteroides sp. Ga6A1
1739298	Bacteroides sp. HMSC067B03
1078089	Bacteroides sp. HPS0048
2086579	Bacteroides sp. Marseille-P3684
1841865	Mediterranea massiliensis
511435	Candidatus Azobacteroides pseudotrichonymphae
555313	Phocaeicola abscessus
376804	Phocaeicola barnesiae
310298	Phocaeicola coprocola
387090	Phocaeicola coprophilus
357276	Phocaeicola dorei
204516	Phocaeicola massiliensis
310297	Phocaeicola plebeius
376805	Phocaeicola salanitronis
671267	Phocaeicola sartorii
821	Phocaeicola vulgatus
487174	Barnesiella intestinihominis
397865	Barnesiella viscericola
45254	Dysgonomonas capnocytophagoides
156974	Dysgonomonas gadei
1658009	Dysgonomonas sp. HGC4
1642646	Petrimonas mucosa
1642647	Proteiniphilum saccharofermentans
1796646	Muribaculum intestinale
544644	Butyricimonas synergistica
2042309	Butyricimonas vaginalis
544645	Butyricimonas virosa
28118	Odoribacter splanchnicus
1686296	Gabonia massiliensis
28123	Porphyromonas asaccharolytica
36874	Porphyromonas cangingivalis
41976	Porphyromonas catoniae
29524	Porphyromonas circumdentaria
393921	Porphyromonas crevioricanis
837	Porphyromonas gingivalis
111105	Porphyromonas gulae
28114	Porphyromonas levii
1884669	Porphyromonas loveana
28115	Porphyromonas macacae
281920	Porphyromonas uenonis
1739394	Porphyromonas sp. HMSC065F10
1739529	Porphyromonas sp. HMSC077F02
997829	Porphyromonas sp. KLE 1280
712437	Porphyromonas sp. oral taxon 278
1720317	Porphyromonadaceae bacterium FC4
