#Datasets	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped
"Bacteroides caecimuris"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides finegoldii"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4548.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2095.0	0.0	7315.0	0.0	0.0	0.0	0.0	753.0	0.0	0.0	5813.0	0.0	0.0	0.0	0.0	1177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides graminisolvens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	501.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides heparinolyticus"	0.0	1625.0	0.0	19672.0	0.0	23022.0	0.0	1321.0	0.0	0.0	0.0	0.0	0.0	11784.0	1590.0	7262.0	28749.0	0.0	12355.0	27830.0	0.0	0.0	0.0	17468.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	489.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides intestinalis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	925.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides plebeius"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1740.0	0.0	5543.0	0.0	0.0	0.0	0.0
"Bacteroides pyogenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1057.0	1306.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides thetaiotaomicron"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides vulgatus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides zoogleoformans"	0.0	0.0	0.0	1675.0	0.0	1147.0	0.0	0.0	1409.0	1320.0	244.0	0.0	0.0	1052.0	0.0	0.0	0.0	0.0	0.0	2657.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Odoribacter splanchnicus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas cangingivalis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	481.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas catoniae"	2359.0	22215.0	4977.0	6154.0	0.0	1986.0	4844.0	13663.0	492.0	221.0	1559.0	4760.0	3288.0	0.0	826.0	3740.0	5634.0	850.0	2509.0	0.0	1931.0	7173.0	0.0	7597.0	4594.0	3959.0	0.0	9069.0	0.0	688.0	11183.0	915.0	5763.0	1823.0	1871.0	30318.0	3903.0	0.0	4239.0	51440.0	0.0	2010.0	0.0
"Porphyromonas circumdentaria"	0.0	0.0	1357.0	989.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas gingivalis"	45606.0	34207.0	84511.0	130314.0	238248.0	247229.0	0.0	132818.0	53090.0	58019.0	46442.0	50560.0	22417.0	39089.0	184080.0	152258.0	162889.0	71644.0	149784.0	217774.0	203421.0	92547.0	92248.0	127115.0	0.0	1414.0	2693.0	1434.0	0.0	244.0	1545.0	490.0	1538.0	0.0	0.0	2562.0	3421.0	0.0	0.0	1688.0	0.0	0.0	0.0
"Porphyromonas gulae"	0.0	0.0	0.0	0.0	0.0	1177.0	0.0	1232.0	453.0	311.0	462.0	0.0	0.0	0.0	412.0	1349.0	0.0	514.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. KLE 1280"	74146.0	310432.0	135214.0	67752.0	146719.0	37445.0	210387.0	230578.0	3741.0	0.0	4594.0	13088.0	10240.0	1594.0	7258.0	39733.0	86389.0	3937.0	5390.0	6615.0	38195.0	194631.0	34361.0	233854.0	99396.0	103909.0	4144.0	76678.0	46602.0	7682.0	24396.0	8969.0	65781.0	20010.0	34354.0	72233.0	52868.0	18940.0	50734.0	51966.0	35141.0	34058.0	17353.0
"Porphyromonas sp. oral taxon 278"	30938.0	90849.0	40190.0	19350.0	0.0	24502.0	3811.0	43265.0	3032.0	0.0	3522.0	52141.0	7291.0	1377.0	1448.0	130253.0	23973.0	1855.0	17945.0	2357.0	93923.0	10489.0	0.0	78404.0	1801.0	4520.0	0.0	4090.0	0.0	4664.0	4100.0	771.0	4129.0	0.0	1760.0	9917.0	8572.0	0.0	0.0	23442.0	2425.0	4456.0	0.0
"Alloprevotella rava"	1155.0	7230.0	3252.0	35022.0	0.0	13020.0	71680.0	7935.0	4517.0	2010.0	1186.0	12911.0	5137.0	69319.0	7207.0	23546.0	39985.0	18722.0	25557.0	32934.0	47105.0	0.0	38801.0	84193.0	0.0	0.0	0.0	2790.0	0.0	3535.0	8434.0	38199.0	0.0	0.0	2636.0	3255.0	0.0	0.0	0.0	3417.0	0.0	0.0	0.0
