SampleID	Classified	Unclassified
CMC001.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1182110	1908032
CMC001.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1182110	1908032
CMC001.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1182110	1908032
CMC001.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1714805	2908620
CMC001.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1714805	2908620
CMC001.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1714805	2908620
CMC001.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1841087	1958148
CMC001.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1841087	1958148
CMC001.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1841087	1958148
CMC002.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1246718	1706261
CMC002.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1246718	1706261
CMC002.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1246718	1706261
CMC002.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	840830	658126
CMC002.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	840830	658126
CMC002.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	840830	658126
CMC003.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1328639	1615804
CMC003.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1328639	1615804
CMC003.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1328639	1615804
CMC003.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1617874	1563776
CMC003.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1617874	1563776
CMC003.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1617874	1563776
CMC004.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1211493	2024173
CMC004.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1211493	2024173
CMC004.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1211493	2024173
CMC004.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2409450	3246930
CMC004.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2409450	3246930
CMC004.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2409450	3246930
CMC005.A0202.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1550018	1792598
CMC005.A0202.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1550018	1792598
CMC005.A0202.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1550018	1792598
CMC005.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2625096	2133221
CMC005.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2625096	2133221
CMC005.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2625096	2133221
CMC006.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2116840	1811582
CMC006.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2116840	1811582
CMC006.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2116840	1811582
CMC006.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2538818	2544378
CMC006.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2538818	2544378
CMC006.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2538818	2544378
CMC007.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2154464	2054377
CMC007.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2154464	2054377
CMC007.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2154464	2054377
CMC008.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2419026	2343471
CMC008.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2419026	2343471
CMC008.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2419026	2343471
CMC008.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1769248	2009333
CMC008.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1769248	2009333
CMC008.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1769248	2009333
CMC009.A0202.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1565686	1278152
CMC009.A0202.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1565686	1278152
CMC009.A0202.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1565686	1278152
CMC009.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1685508	2427511
CMC009.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1685508	2427511
CMC009.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1685508	2427511
CMC010.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1498455	1962476
CMC010.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1498455	1962476
CMC010.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1498455	1962476
CMC010.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1952790	1835488
CMC010.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1952790	1835488
CMC010.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1952790	1835488
CMC011.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1510495	2365366
CMC011.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1510495	2365366
CMC011.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1510495	2365366
CMC011.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1927847	2162710
CMC011.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1927847	2162710
CMC011.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1927847	2162710
CMC012.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1633389	1817630
CMC012.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1633389	1817630
CMC012.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1633389	1817630
CMC012.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1456667	1440250
CMC012.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1456667	1440250
CMC012.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1456667	1440250
CMC013.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2059717	2186101
CMC013.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2059717	2186101
CMC013.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2059717	2186101
CMC013.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2004448	1565920
CMC013.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2004448	1565920
CMC013.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2004448	1565920
CMC014.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1630475	1416202
CMC014.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1630475	1416202
CMC014.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1630475	1416202
CMC015.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1445798	1738050
CMC015.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1445798	1738050
CMC015.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1445798	1738050
CMC015.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1935483	1954750
CMC015.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1935483	1954750
CMC015.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1935483	1954750
CMC016.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1864291	2255592
CMC016.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1864291	2255592
CMC016.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1864291	2255592
CMC016.A0102.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1786981	2194975
CMC016.A0102.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1786981	2194975
CMC016.A0102.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1786981	2194975
CMC017.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1612186	2797657
CMC017.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1612186	2797657
CMC017.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1612186	2797657
CMC017.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1556072	2093638
