SampleID	Classified	Unclassified
CMC001.A0101.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	1373098	1717044
CMC001.A0101.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	1373098	1717044
CMC001.A0101.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	1373098	1717044
CMC001.A0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	1992746	2630679
CMC001.A0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	1992746	2630679
CMC001.A0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	1992746	2630679
CMC001.B0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2018541	1780694
CMC001.B0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2018541	1780694
CMC001.B0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2018541	1780694
CMC002.A0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	1321415	1631564
CMC002.A0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	1321415	1631564
CMC002.A0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	1321415	1631564
CMC002.B0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	833429	665527
CMC002.B0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	833429	665527
CMC002.B0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	833429	665527
CMC003.A0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	1534559	1409884
CMC003.A0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	1534559	1409884
CMC003.A0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	1534559	1409884
CMC003.B0101.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	1762751	1418899
CMC003.B0101.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	1762751	1418899
CMC003.B0101.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	1762751	1418899
CMC004.A0101.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	1663944	1571722
CMC004.A0101.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	1663944	1571722
CMC004.A0101.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	1663944	1571722
CMC004.B0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2846791	2809589
CMC004.B0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2846791	2809589
CMC004.B0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2846791	2809589
CMC005.A0202.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	1772523	1570093
CMC005.A0202.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	1772523	1570093
CMC005.A0202.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	1772523	1570093
CMC005.B0101.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2754387	2003930
CMC005.B0101.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2754387	2003930
CMC005.B0101.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2754387	2003930
CMC006.A0101.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2242034	1686388
CMC006.A0101.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2242034	1686388
CMC006.A0101.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2242034	1686388
CMC006.B0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2910253	2172943
CMC006.B0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2910253	2172943
CMC006.B0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2910253	2172943
CMC007.B0101.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2314644	1894197
CMC007.B0101.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2314644	1894197
CMC007.B0101.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2314644	1894197
CMC008.A0101.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2593040	2169457
CMC008.A0101.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2593040	2169457
CMC008.A0101.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2593040	2169457
CMC008.B0201.SG1.1_S0_L001_R1_001.output.1.rspm.kraken	2067088	1711493
CMC008.B0201.SG1.1_S0_L001_R1_001.output.2.rspm.kraken	2067088	1711493
CMC008.B0201.SG1.1_S0_L001_R1_001.output.3.rspm.kraken	2067088	1711493
