Proteins	log fold change (Baka - Nzime)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Baka)	structural.zero (Nzime)	L2	L3	star
Tetracycline resistance protein TetM	-1.27056139243234	0.15293283889497	-1.8896364728055	-0.651486312059184	9.7353373602003e-17	9.41407122731369e-14	TRUE	0	0	Protein Metabolism	Translation elongation factor G family	***
D,D-heptose 7-phosphate kinase	-0.885602463181732	0.308820586904153	-2.13571415299267	0.364509226629206	0.00413477259133585	0.57118929940311	FALSE	0	0	Cell Wall and Capsule	Capsular heptose biosynthesis	""
Cadmium resistance protein	-0.700550924675973	0.220308819921984	-1.59236527524711	0.191263425895165	0.00147346865282802	0.284968837456939	FALSE	0	0	Virulence	Cadmium resistance	""
Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)	-0.680949018536072	0.242355372739287	-1.66200823996648	0.300110202894334	0.00495857102880914	0.599367273107305	FALSE	0	0	Stress Response	Choline and Betaine Uptake and Betaine Biosynthesis	""
Nitric oxide reductase activation protein NorD	-0.632348609981284	0.360699821698364	-2.09246844246445	0.827771222501884	0.0795821065337857	0.998995155490989	FALSE	0	0	Nitrogen Metabolism	Denitrification	""
Type IV secretion system protein VirD4	-0.583452822519323	0.319684210472493	-1.87754066998423	0.710635024945579	0.0679872758618763	0.998995155490989	FALSE	0	0	Membrane Transport	pVir Plasmid of Campylobacter	""
Ribosome protection-type tetracycline resistance related proteins, group 2	-0.518382707099923	0.326355709448597	-1.83947691104577	0.802711496845929	0.112196403434524	0.998995155490989	FALSE	0	0	Protein Metabolism	Translation elongation factor G family	""
D-glycero-D-manno-heptose 1-phosphate guanosyltransferase	-0.515576369334702	0.278446783336359	-1.64273431670001	0.611581578030608	0.0640810611595513	0.998995155490989	FALSE	0	0	Cell Wall and Capsule	Capsular heptose biosynthesis	""
Two-component sensor histidine kinase, malate (EC 2.7.3.-)	-0.507681784644607	0.320326875717203	-1.80437115341061	0.78900758412139	0.112992093297786	0.998995155490989	FALSE	0	0	Carbohydrates	Pyruvate metabolism I: anaplerotic reactions, PEP	""
Beta-glucanase precursor (EC 3.2.1.73)	-0.487889613624482	0.152298051574969	-1.10439506268766	0.128615835438692	0.00135759354973909	0.284968837456939	FALSE	0	0	Carbohydrates	Beta-Glucoside Metabolism	""
Beta-1,3-glucosyltransferase	-0.44517817944156	0.189215385213647	-1.21112570683575	0.320769347952635	0.0186347128247743	0.998639461525458	FALSE	0	0	Cell Wall and Capsule	LOS core oligosaccharide biosynthesis	""
Propanediol utilization polyhedral body protein PduA	-0.429608104382796	0.184104226992541	-1.17486556475545	0.315649355989858	0.0196216647042231	0.998639461525458	FALSE	0	0	Carbohydrates	Propanediol utilization	""
Predicted signal-transduction protein containing cAMP-binding and CBS domains	-0.403157001269867	0.202626107801965	-1.22339139225865	0.41707738971892	0.0466284346742608	0.998995155490989	FALSE	0	0	Regulation and Cell signaling	cAMP signaling in bacteria	""
