Proteins	log fold change (HunterGatherer - HMP)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HMP)	structural.zero (HunterGatherer)	star_up	star_down	L2	L3
Alanine racemase (EC 5.1.1.1)	0.0372512451576146	0.0534911709425377	-0.175187678975813	0.249690169291042	0.401	0.447492753623189	FALSE	0	0	""	""	Amino Acids and Derivatives	Alanine biosynthesis
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	0.0851434307257808	0.0403004737721376	-0.0749089506179986	0.24519581206956	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine biosynthesis
Cysteine desulfurase (EC 2.8.1.7)	0.07998653268913	0.0567985176047904	-0.145587440729721	0.305560506107982	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine biosynthesis
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	0.0554575105253132	0.0517979012190826	-0.15025663282691	0.261171653877536	0.022	0.0358729411764706	TRUE	0	0	*	""	Amino Acids and Derivatives	Alanine biosynthesis
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	0.172798352123261	0.0551577014501397	-0.0462591586260934	0.391855862872615	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine, serine, glycine metabolism in plants
Phosphoserine aminotransferase (EC 2.6.1.52)	0.101750621243395	0.051586721398656	-0.103124826431399	0.30662606891819	0.042	0.063	FALSE	0	0	""	""	Amino Acids and Derivatives	Alanine, serine, glycine metabolism in plants
Phosphoserine phosphatase (EC 3.1.3.3)	0.184946366047187	0.0727968563912106	-0.104164632638136	0.474057364732511	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine, serine, glycine metabolism in plants
Serine hydroxymethyltransferase (EC 2.1.2.1)	0.161214049194347	0.03844105988407	0.00854628626402892	0.313881812124666	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine, serine, glycine metabolism in plants
Arginine utilization regulatory protein RocR	0.735132337490594	0.288677383752191	-0.41134308537587	1.88160776035706	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine and Ornithine Degradation
NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	0.0687018045025702	0.0449030006233317	-0.109629403708043	0.247033012713184	0.067	0.0923081510934394	FALSE	0	0	""	""	Amino Acids and Derivatives	Arginine and Ornithine Degradation
