Proteins	log fold change (HunterGatherer - JAE)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HunterGatherer)	structural.zero (JAE)	star_up	star_down	L2	L3
Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	0.0874188050357239	0.091994015347867	-0.277933257797391	0.452770867868838	0.183	0.223666666666667	FALSE	0	0	""	""	Amino Acids and Derivatives	A Hypothetical Protein Related to Proline Metabolism
Alanine racemase (EC 5.1.1.1)	0.102257967664094	0.0873194850751648	-0.24452930841143	0.449045243739619	0.401	0.447492753623189	FALSE	0	0	""	""	Amino Acids and Derivatives	Alanine biosynthesis
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	0.154037616989713	0.0278323318910247	0.0435021671412627	0.264573066838164	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine biosynthesis
Cysteine desulfurase (EC 2.8.1.7)	0.454186597027622	0.100533135050283	0.0549216216397136	0.85345157241553	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine biosynthesis
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	0.248783457235929	0.099859292561806	-0.147805368597482	0.645372283069339	0.022	0.0358729411764706	TRUE	0	0	*	""	Amino Acids and Derivatives	Alanine biosynthesis
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	0.34821054569918	0.124103743282201	-0.144664544511944	0.841085635910304	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine, serine, glycine metabolism in plants
Phosphoserine aminotransferase (EC 2.6.1.52)	0.0528908458516906	0.0478220898553967	-0.137033456415053	0.242815148118434	0.042	0.063	FALSE	0	0	""	""	Amino Acids and Derivatives	Alanine, serine, glycine metabolism in plants
Phosphoserine phosphatase (EC 3.1.3.3)	0.435641899015604	0.0733830959721152	0.144202663657623	0.727081134373584	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Alanine, serine, glycine metabolism in plants
Diaminopimelate epimerase (EC 5.1.1.7)	0.148188001475396	0.0894960955711659	-0.207243631862839	0.503619634813631	0.001	0.00225732899022801	TRUE	0	0	**	""	Amino Acids and Derivatives	Amino acid racemase
Glutamate racemase (EC 5.1.1.3)	0.24234198021671	0.0816674708172166	-0.0819984545018519	0.566682414935272	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Amino acid racemase
Arginine utilization regulatory protein RocR	2.38591012234931	0.328562291324145	1.08103272950448	3.69078751519413	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine and Ornithine Degradation
Arginine/ornithine antiporter ArcD	0.307647018482755	0.122822575732453	-0.180139945013111	0.795433981978621	0.009	0.0165437665782493	TRUE	0	0	*	""	Amino Acids and Derivatives	Arginine and Ornithine Degradation
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	0.0193783937942769	0.0987338696375349	-0.372740841431665	0.411497629020219	0.184	0.224492957746479	FALSE	0	0	""	""	Amino Acids and Derivatives	Arginine and Ornithine Degradation
Ornithine carbamoyltransferase (EC 2.1.3.3)	0.160613780697636	0.0656376736734358	-0.100064692629951	0.421292254025223	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine and Ornithine Degradation
Acetylornithine aminotransferase (EC 2.6.1.11)	0.234279234049446	0.0598342780125725	-0.00335119024891406	0.471909658347805	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
Argininosuccinate synthase (EC 6.3.4.5)	0.0782473950822293	0.0510173681543698	-0.124366879607625	0.280861669772084	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	0.0710495494905556	0.0747883214866446	-0.225970505864657	0.368069604845768	0.105	0.138864503816794	FALSE	0	0	""	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
Aspartate aminotransferase (EC 2.6.1.1)	0.0101676412154053	0.0436259719727109	-0.163091877820244	0.183427160251054	0.01	0.018	TRUE	0	0	*	""	Amino Acids and Derivatives	Arginine deiminase and agmatine deiminase pathways in Streptococci
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	0.100927386022894	0.0389217494337618	-0.0536494241198779	0.255504196165666	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine metabolism and urea cycle in plants
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	0.170020946007721	0.0465933836170648	-0.0150235784050721	0.355065470420514	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine metabolism and urea cycle in plants
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	0.259501379337837	0.184751570996728	-0.474235128630321	0.993237887305995	0.174	0.216096774193548	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched chain amino acid degradation regulons
Electron transfer flavoprotein, alpha subunit	0.0308731892875969	0.0782028109123938	-0.279707430311953	0.341453808887147	0.151	0.192358455882353	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched chain amino acid degradation regulons
Electron transfer flavoprotein, beta subunit	0.0823463934373141	0.119698527283233	-0.393033485304211	0.557726272178839	0.236	0.282466321243523	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched chain amino acid degradation regulons
2-isopropylmalate synthase (EC 2.3.3.13)	0.139194590571371	0.0474415740637326	-0.0492185022009358	0.327607683343678	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	0.0660956926302454	0.0367534118173152	-0.0798696157959014	0.212061001056392	0.01	0.018	TRUE	0	0	*	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	0.0660008307041018	0.0423359001887923	-0.102135198660234	0.234136860068437	0.177	0.2190375	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	0.0314026754952668	0.0541429878806202	-0.183624924238606	0.24643027522914	0.055	0.078264887063655	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Acetolactate synthase large subunit (EC 2.2.1.6)	0.0567163639681532	0.0709327675974477	-0.22499145002597	0.338424177962276	0.346	0.393724137931034	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Acetolactate synthase small subunit (EC 2.2.1.6)	0.0709929211179672	0.0360168617448691	-0.0720471960625264	0.214033038298461	0.043	0.0636730769230769	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Dihydroxy-acid dehydratase (EC 4.2.1.9)	0.0181405988558634	0.0451805090306265	-0.161292727450969	0.197573925162696	0.117	0.152407894736842	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Ketol-acid reductoisomerase (EC 1.1.1.86)	0.0712847088172275	0.0407245078250833	-0.090451713769554	0.233021131404009	0.014	0.0240148514851485	TRUE	0	0	*	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Threonine dehydratase (EC 4.3.1.19)	0.257799929438939	0.113381628016755	-0.192492532811529	0.708092391689406	0.033	0.0511610738255034	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	0.435321911482521	0.308531304728075	-0.790002890405344	1.66064671337039	0.001	0.00225732899022801	TRUE	0	0	**	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
3-dehydroquinate synthase (EC 4.2.3.4)	0.146629593865853	0.0420787892642966	-0.0204853255242494	0.313744513255956	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	0.00641451113380498	0.0463514131892699	-0.177669033430406	0.190498055698016	0.028	0.0449166666666667	TRUE	0	0	*	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
Chorismate synthase (EC 4.2.3.5)	0.0049803789872005	0.0437171933064137	-0.168641423424347	0.178602181398748	0.76	0.78375	FALSE	0	0	""	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	0.16507659383857	0.0682879542883584	-0.106127406460387	0.436280594137527	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
Shikimate kinase I (EC 2.7.1.71)	0.287298249544704	0.0654692364948618	0.0272887205002541	0.547307778589154	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
Prephenate dehydratase (EC 4.2.1.51)	0.0100236202650947	0.0573251087581411	-0.21764169750283	0.237688938033019	0.156	0.196918032786885	FALSE	0	0	""	""	Amino Acids and Derivatives	Chorismate biosynthesis in Streptococci
Cysteine synthase (EC 2.5.1.47)	0.110217654841531	0.0474813105486148	-0.0783532504435418	0.298788560126603	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Cysteine Biosynthesis
