Function	PC1	PC2	PC3	Direction	Samples	Filter
PTS system, trehalose-specific IIB component (EC 2.7.1.69)	0.115225932799008	0.0114673073033795	0.102111526695636	PC1+	CMC	Carbs
Outer surface protein of unknown function, cellobiose operon	0.11431895530816	-0.00517802971604578	0.109977447572815	PC1+	CMC	Carbs
PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)	0.100213286471814	-0.0175259912827643	0.0644653998698725	PC1+	CMC	Carbs
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	0.0999105097081119	0.0262423119117783	0.021326498354144	PC1+	CMC	Carbs
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	0.0996728286045967	0.0794976920655923	0.0504661934206799	PC1+	CMC	Carbs
Trehalose operon transcriptional repressor	0.0986401661581993	0.0146639779155303	0.0659652586414894	PC1+	CMC	Carbs
Sorbitol operon transcription regulator	0.0968452798548559	-0.0693313603670346	-0.0318958037350389	PC1+	CMC	Carbs
N-acetyl glucosamine transporter, NagP	0.0966797514906571	0.0764205646840544	0.0931641079170924	PC1+	CMC	Carbs
Polygalacturonase (EC 3.2.1.15)	0.0966334653974707	0.055241265196628	0.0243432444768852	PC1+	CMC	Carbs
Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	0.090951102739229	0.0745170951581323	0.0487145184487112	PC1+	CMC	Carbs
Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF	-0.118324172277008	-0.0176231507892282	0.037397203199233	PC1-	CMC	Carbs
D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)	-0.118414760803168	0.000157207834025829	-0.0230759471206056	PC1-	CMC	Carbs
D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	-0.121556250539693	-0.0100024835982003	0.102844883324913	PC1-	CMC	Carbs
Propionyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.3)	-0.122839891906576	0.0101289264907911	-0.0805980342141339	PC1-	CMC	Carbs
Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	-0.126512668418783	-0.00161820415626881	0.00524477948120791	PC1-	CMC	Carbs
Aldehyde dehydrogenase A (EC 1.2.1.22)	-0.134550390828126	0.0031809928560206	0.0899485389497164	PC1-	CMC	Carbs
Malate synthase G (EC 2.3.3.9)	-0.136057818136835	0.00432286897771913	0.0628812876955905	PC1-	CMC	Carbs
Isocitrate lyase (EC 4.1.3.1)	-0.137035531019201	0.00683449234653878	0.0556905266428039	PC1-	CMC	Carbs
Aconitate hydratase 2 (EC 4.2.1.3)	-0.139425719825942	0.0286831713995527	0.0671212145790719	PC1-	CMC	Carbs
Acetate permease ActP (cation/acetate symporter)	-0.143509534449426	0.0043106551843643	0.0541893097500925	PC1-	CMC	Carbs
Oxaloacetate decarboxylase involved in citrate fermentation, predicted (EC 4.1.1.3)	0.0469461742088444	0.147865442081575	0.0729102007233684	PC2+	CMC	Carbs
Trehalase (EC 3.2.1.28)	-0.0121466241347368	0.130084436392158	-0.0820355141551594	PC2+	CMC	Carbs
Beta-mannosidase (EC 3.2.1.25)	-0.0039214181424172	0.124404703319035	0.0137192635089459	PC2+	CMC	Carbs
CoB--CoM heterodisulfide reductase subunit A (EC 1.8.98.1)	-0.00112022083111021	0.123801463132624	-0.0866239748546517	PC2+	CMC	Carbs
Predicted glucose transporter in maltodextrin utilization gene cluster	0.0274482823981136	0.113503944362651	0.00160393502742714	PC2+	CMC	Carbs
Probable glycerol transport protein	-0.0446421087420988	0.107301333307332	-0.124992904176265	PC2+	CMC	Carbs
Predicted L-lactate dehydrogenase, hypothetical protein subunit SO1518	-0.004889941224571	0.106737841019555	-0.02733066502744	PC2+	CMC	Carbs
Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	-0.0284167162040428	0.100553911322323	-0.0162472374519875	PC2+	CMC	Carbs
Putative glycogen debranching enzyme, archaeal type, TIGR01561	-0.0337552449724379	0.0987786890044743	0.016709488383053	PC2+	CMC	Carbs
Arabinan endo-1,5-alpha-L-arabinosidase (EC 3.2.1.99)	0.039301361652188	0.0969373570282012	0.041840937312119	PC2+	CMC	Carbs
Propanediol utilization polyhedral body protein PduA	0.0374712807268825	-0.0942297442010518	-0.0647446362772015	PC2-	CMC	Carbs
Ascorbate-specific PTS system, EIIB component (EC 2.7.1.69)	-0.0398882351917613	-0.0970225939688861	-0.0263343636042915	PC2-	CMC	Carbs
Trehalose synthase (EC 5.4.99.16)	0.0221929717285104	-0.1066638794801	-0.0242325197079194	PC2-	CMC	Carbs
Arabinose operon protein AraL	0.00208243308523894	-0.107227511022917	-0.0535750242192518	PC2-	CMC	Carbs
Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)	-0.0639048056644624	-0.116551917469418	0.0382641784475939	PC2-	CMC	Carbs
2,3-butanediol dehydrogenase, S-alcohol forming, (R)-acetoin-specific (EC 1.1.1.4)	0.0671684036077202	-0.118913887766304	-0.0121038903373695	PC2-	CMC	Carbs
Transcriptional antiterminator with PTS regulation domain, SPy0181 ortholog	-0.0297733637530865	-0.125919998998746	-0.0606618671213934	PC2-	CMC	Carbs
Acetolactate synthase, catabolic (EC 2.2.1.6)	0.0723998798986545	-0.132493434978168	-0.062353684873885	PC2-	CMC	Carbs
Transcriptional antiterminator of lichenan operon, BglG family	0.0604170724668197	-0.160608533299181	-0.0688904221043288	PC2-	CMC	Carbs
Inositol transport system sugar-binding protein	0.0230117725970743	-0.207936938420544	-0.0409564237759424	PC2-	CMC	Carbs
