Function	PC1	PC2	PC3	Direction	Samples	Filter
Major myo-inositol transporter IolT	0.147730455285511	-0.0270156541438541	-0.0540011341723453	PC1+	CMC	MR1
Cytosine/purine/uracil/thiamine/allantoin permease family protein	0.106307724002461	-0.0529732965273996	-0.0528856269054759	PC1+	CMC	MR1
Excinuclease ABC subunit A paralog of unknown function	0.0979092802709626	-0.0269334971503441	-0.0913913263402749	PC1+	CMC	MR1
Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	0.0909628793439616	0.0920467077130851	0.0331304340670867	PC1+	CMC	MR1
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	0.0894534537371332	-0.0423441065270646	0.0127306475088646	PC1+	CMC	MR1
Superoxide dismutase [Mn] (EC 1.15.1.1)	0.0819922281734484	0.0464680477339946	-0.0423777520801508	PC1+	CMC	MR1
RNA polymerase sigma-70 factor	0.0795807136621474	0.0635513242663107	0.0193087984758667	PC1+	CMC	MR1
Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	0.0764598173302698	0.0516790751029278	-0.0226965768644135	PC1+	CMC	MR1
Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	0.0705348277212036	0.0195952605778776	0.0458175384536225	PC1+	CMC	MR1
ATP-dependent Clp protease, ATP-binding subunit ClpC	0.0690359719080841	0.0330420028808339	-0.0395268957698765	PC1+	CMC	MR1
Ribonuclease HI (EC 3.1.26.4)	-0.0444246541570911	-0.0253704868412422	0.00410900657954672	PC1-	CMC	MR1
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	-0.0468259143601024	0.00565897095794356	-0.0560833087595138	PC1-	CMC	MR1
Copper chaperone	-0.0470456640140268	-0.000816044111267939	-0.0185678625040553	PC1-	CMC	MR1
Major myo-inositol transporter IolT	-0.0478688454673159	0.13496738094137	-0.000136509825228185	PC1-	CMC	MR1
Streptothricin acetyltransferase, Streptomyces lavendulae type	-0.0486007102606616	0.028119652976922	-0.00118520041414376	PC1-	CMC	MR1
Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)	-0.054826367829921	0.0489662594362342	-0.0339095488573029	PC1-	CMC	MR1
Epi-inositol hydrolase (EC 3.7.1.-)	-0.0554472878572423	-0.0060850904819249	-0.0298830838143319	PC1-	CMC	MR1
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	-0.0614925856760467	-0.00141758984675711	-0.0493140054602651	PC1-	CMC	MR1
Excinuclease ABC subunit A paralog of unknown function	-0.0750170255216846	0.0246631042497171	0.0491663874973808	PC1-	CMC	MR1
NAD-dependent malic enzyme (EC 1.1.1.38)	-0.0783514360079827	-0.0498465978062031	0.0295564075251104	PC1-	CMC	MR1
Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	0.0909628793439616	0.0920467077130851	0.0331304340670867	PC2+	CMC	MR1
RNA polymerase sigma-70 factor	0.0795807136621474	0.0635513242663107	0.0193087984758667	PC2+	CMC	MR1
Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	0.0764598173302698	0.0516790751029278	-0.0226965768644135	PC2+	CMC	MR1
Superoxide dismutase [Mn] (EC 1.15.1.1)	0.0819922281734484	0.0464680477339946	-0.0423777520801508	PC2+	CMC	MR1
ATP-dependent Clp protease, ATP-binding subunit ClpC	0.0690359719080841	0.0330420028808339	-0.0395268957698765	PC2+	CMC	MR1
Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	0.0705348277212036	0.0195952605778776	0.0458175384536225	PC2+	CMC	MR1
Excinuclease ABC subunit A paralog of unknown function	0.0979092802709626	-0.0269334971503441	-0.0913913263402749	PC2+	CMC	MR1
Major myo-inositol transporter IolT	0.147730455285511	-0.0270156541438541	-0.0540011341723453	PC2+	CMC	MR1
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	0.0894534537371332	-0.0423441065270646	0.0127306475088646	PC2+	CMC	MR1
Cytosine/purine/uracil/thiamine/allantoin permease family protein	0.106307724002461	-0.0529732965273996	-0.0528856269054759	PC2+	CMC	MR1
Major myo-inositol transporter IolT	-0.0478688454673159	0.13496738094137	-0.000136509825228185	PC2-	CMC	MR1
Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)	-0.054826367829921	0.0489662594362342	-0.0339095488573029	PC2-	CMC	MR1
Streptothricin acetyltransferase, Streptomyces lavendulae type	-0.0486007102606616	0.028119652976922	-0.00118520041414376	PC2-	CMC	MR1
Excinuclease ABC subunit A paralog of unknown function	-0.0750170255216846	0.0246631042497171	0.0491663874973808	PC2-	CMC	MR1
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	-0.0468259143601024	0.00565897095794356	-0.0560833087595138	PC2-	CMC	MR1
Copper chaperone	-0.0470456640140268	-0.000816044111267939	-0.0185678625040553	PC2-	CMC	MR1
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	-0.0614925856760467	-0.00141758984675711	-0.0493140054602651	PC2-	CMC	MR1
Epi-inositol hydrolase (EC 3.7.1.-)	-0.0554472878572423	-0.0060850904819249	-0.0298830838143319	PC2-	CMC	MR1
Ribonuclease HI (EC 3.1.26.4)	-0.0444246541570911	-0.0253704868412422	0.00410900657954672	PC2-	CMC	MR1
NAD-dependent malic enzyme (EC 1.1.1.38)	-0.0783514360079827	-0.0498465978062031	0.0295564075251104	PC2-	CMC	MR1
