Function	PC1	PC2	PC3	Direction	Samples	Filter
Type IV fimbrial biogenesis protein PilW	0.198115728111056	-0.0181766190199942	-0.243332411119007	PC1+	Industrial+CMC	MR1
Type IV secretion system protein VirD4	0.196692697896097	0.00469611397382511	-0.202783616661655	PC1+	Industrial+CMC	MR1
Type IV fimbrial biogenesis protein PilX	0.18814746401674	0.000478305140484118	-0.210593684648028	PC1+	Industrial+CMC	MR1
Type IV pilus biogenesis protein PilO	0.183645877725866	-0.0127054402917039	-0.220182419453944	PC1+	Industrial+CMC	MR1
Sialic acid biosynthesis protein NeuD, O-acetyltransferase	0.175747470227274	0.0801530218854368	0.0193872844876892	PC1+	Industrial+CMC	MR1
UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.58)	0.151194588946462	0.0843892070280212	-0.00177403583493383	PC1+	Industrial+CMC	MR1
Type IV pilus biogenesis protein PilP	0.148579329657096	0.0191331615620745	-0.0964619230515487	PC1+	Industrial+CMC	MR1
Outer membrane component of tripartite multidrug resistance system	0.142266787131283	-0.104372547019975	-0.194916722515843	PC1+	Industrial+CMC	MR1
Legionaminic acid cytidylyltransferase (EC 2.7.7.43)	0.13217449754091	0.0961418822243006	0.0349596828633959	PC1+	Industrial+CMC	MR1
putative ATP-dependent DNA helicase YjcD	0.129631351515881	0.0788988643517665	0.147812941537172	PC1+	Industrial+CMC	MR1
Ribonuclease HI (EC 3.1.26.4)	-0.0441262509056823	-0.026311928385499	0.00404670902400907	PC1-	Industrial+CMC	MR1
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	-0.0468108763789792	0.00341898310623967	-0.0556053683170336	PC1-	Industrial+CMC	MR1
Copper chaperone	-0.0471598578569302	-0.00240276507976566	-0.018400128279228	PC1-	Industrial+CMC	MR1
Streptothricin acetyltransferase, Streptomyces lavendulae type	-0.0491287931761401	0.0266840419894405	-0.00373829588348059	PC1-	Industrial+CMC	MR1
Major myo-inositol transporter IolT	-0.0508486057876483	0.13373085001359	-0.0037536910034616	PC1-	Industrial+CMC	MR1
Epi-inositol hydrolase (EC 3.7.1.-)	-0.0554700520214043	-0.0082216552447495	-0.0299745993483558	PC1-	Industrial+CMC	MR1
Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)	-0.055815189539279	0.0473459414295389	-0.0339116524996131	PC1-	Industrial+CMC	MR1
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	-0.0612954862830646	-0.00352064654800147	-0.0480317851346288	PC1-	Industrial+CMC	MR1
Excinuclease ABC subunit A paralog of unknown function	-0.0764406937275927	0.0237229464186542	0.0474682123172398	PC1-	Industrial+CMC	MR1
NAD-dependent malic enzyme (EC 1.1.1.38)	-0.077513220090135	-0.0520496098700843	0.026965434633432	PC1-	Industrial+CMC	MR1
Major myo-inositol transporter IolT	-0.0508486057876483	0.13373085001359	-0.0037536910034616	PC2+	Industrial+CMC	MR1
Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	-0.00316865949483911	0.128721379442636	-0.0531283563034566	PC2+	Industrial+CMC	MR1
Cytosine/purine/uracil/thiamine/allantoin permease family protein	-0.0208986912490319	0.120606357617107	0.0241190243481494	PC2+	Industrial+CMC	MR1
N-Acetyltransferase PseH involved in the biosynthesis of pseudaminic acid	0.129263702560785	0.109780345022076	0.0226834356328271	PC2+	Industrial+CMC	MR1
RNA polymerase sigma-70 factor	-0.00187247573378674	0.106735463047313	-0.0355558724295294	PC2+	Industrial+CMC	MR1
4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase	0.108823617713818	0.100995580440752	0.0427529677489185	PC2+	Industrial+CMC	MR1
internalin, putative (LPXTG motif)	0.115609939266455	0.0973548263453225	0.00247268235291126	PC2+	Industrial+CMC	MR1
Legionaminic acid cytidylyltransferase (EC 2.7.7.43)	0.13217449754091	0.0961418822243006	0.0349596828633959	PC2+	Industrial+CMC	MR1
Legionaminic acid biosynthesis protein PtmF	0.116879233661258	0.0959876089554922	0.0147120735446395	PC2+	Industrial+CMC	MR1
Motility integral membrane protein	0.11962034300276	0.0925139771855229	0.0366865564842379	PC2+	Industrial+CMC	MR1
Outer membrane stress sensor protease DegQ, serine protease	0.0424981239435892	-0.138470436294752	0.038306729810837	PC2-	Industrial+CMC	MR1
N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family	0.0537097366349964	-0.142856328481129	0.0646591557432478	PC2-	Industrial+CMC	MR1
[NiFe] hydrogenase nickel incorporation protein HybF	0.063407132940518	-0.144212810429951	0.0544480974773458	PC2-	Industrial+CMC	MR1
Ribosome hibernation protein YfiA	0.0483103545326061	-0.146044740973253	0.0170171832112322	PC2-	Industrial+CMC	MR1
Z-ring-associated protein ZapA	0.053446343756796	-0.147580430108008	0.0167147500508987	PC2-	Industrial+CMC	MR1
Glutaredoxin 1	0.00942457758833694	-0.165220286690644	0.0159752941801667	PC2-	Industrial+CMC	MR1
Putative thiol:disulfide oxidoreductase, nitrite reductase complex assembly	0.0647442007436301	-0.167635693510926	0.0551415195852852	PC2-	Industrial+CMC	MR1
Primosomal replication protein N	0.0399856305222568	-0.173703520255295	0.036667770866967	PC2-	Industrial+CMC	MR1
Nitrate reductase cytochrome c550-type subunit	0.0489788544831173	-0.18623994943488	0.0240154277761239	PC2-	Industrial+CMC	MR1
Universal stress protein A	0.0345019007680575	-0.200952441988827	0.0274967335272438	PC2-	Industrial+CMC	MR1
