featureid	Intercept	C(Sex, Treatment('Male'))[T.Female]	C(Sex, Treatment('Male'))[T.Unknown]
Bacteroides	1.7485729015043248	-0.03622522803990069	-0.6888803469983831
Porphyromonas	2.1485062992742527	0.45099139359744367	2.624550200715851
Alloprevotella	0.48196001412181744	-0.10277151170221988	1.2975791466387028
Paraprevotella	-2.7676820003816625	-0.735730497567336	-3.6203924643842473
Prevotella	3.0772549665143956	0.17885221687110242	2.755237199083161
Tannerella	2.5980481064489354	0.5526336148098308	1.3128250610979313
Phocaeicola	1.9417652344873417	0.20436124649794873	2.502309895768952
Capnocytophaga	4.215024784820365	-0.30048918577877703	3.7723961842211002
Riemerella	-2.163548156006052	-1.4477820679828328	4.1227408421190495
Candidatus Kryptonium	-1.865025206787302	-0.2158686504050893	2.7791884911211246
Fusobacterium	2.6608802831342686	0.11650635448249158	3.0651708614977116
Leptotrichia	2.9080298698118194	0.36034354713710126	3.4534674656542057
Lautropia	3.6294296538999546	-0.911448864667098	4.925798035875153
Ottowia	3.9546750343015655	-2.3066383883639974	-9.377190016493012
Eikenella	2.832928494231986	-1.6332764908954305	2.7577417862566227
Kingella	1.6958935155144204	0.2983850255325633	2.9629245770128483
Morococcus	1.0725664651563633	-1.2472839638873738	1.1398954165132755
Neisseria	4.446564034240531	-0.7105008647128743	2.8803709519060368
Propionivibrio	-5.151377125961496	-0.2740346774741811	-1.9423375356046453
Desulfobulbus	1.143234924094962	1.2825107291057898	-6.835682295545746
Desulfomicrobium	-0.636124058944894	2.424460978777726	-5.3317412364331975
Desulfovibrio	-1.5038840019533177	0.5713702156856852	-4.603266619428803
Campylobacter	2.233069077747153	0.1292505278900462	3.4024530422838444
Cardiobacterium	2.4967010176351536	-0.024767226009051235	4.454470731035065
Aggregatibacter	3.8781691348722447	-1.9212374970599813	-0.4662875461427456
Haemophilus	2.617937222736167	0.670510740549882	1.6700051796587223
Treponema	2.4147108948400486	0.07409918454440323	2.0734807026537174
Actinobaculum	1.1145436918905247	1.449698181422074	-6.8702777850476995
Actinomyces	4.936279133575248	0.39716959145816144	2.0325871479662174
