featureid	Intercept	C(Tooth_site, Treatment('Posterior'))[T.Anterior]	C(Tooth_site, Treatment('Posterior'))[T.HMP]
Bacteroides	1.6844170823033089	0.06503216884558949	1.5732078258348983
Porphyromonas	1.96207101487472	0.1919089700979546	2.483247489149717
Alloprevotella	0.13588781499221358	-0.6168927107053443	2.7002019588305037
Paraprevotella	-5.393658326632238	2.5376457419199303	4.0017924014879735
Prevotella	3.541801883214259	-0.858909681816642	1.5588367166398447
Tannerella	3.1113011374409436	-0.13071304597431865	0.5288352672411483
Phocaeicola	1.1966013445790056	1.3286335911554654	-3.3036537464307276
Capnocytophaga	3.917180849545741	0.07716074920719418	2.1552025977922957
Riemerella	-3.2653824553553825	0.9191304292482689	2.45277163427606
Candidatus Kryptonium	-1.2356564269129988	-0.707492605228965	-2.189302950684878
Fusobacterium	2.369659258359217	-0.062150702257697255	2.613550991232542
Leptotrichia	3.776154829495692	-0.8878287229734108	0.581412345583586
Lautropia	2.874364925854945	0.9648930277628258	1.9385739569021743
Ottowia	3.885670019620204	-0.36725892164284435	-2.349163084809634
Eikenella	2.256470633977198	0.32023774049704823	0.9760793749643843
Kingella	1.1946769788201088	0.14688911996310505	3.0188510124041117
Morococcus	-0.3949445948664909	1.257286116103585	2.427240878756193
Neisseria	3.227265430920863	1.0209020819467858	2.7643053237749613
Propionivibrio	-5.067864106661535	0.028979274998362392	-4.1221795375989405
Desulfobulbus	0.46235139512374435	2.0311836447519616	-2.4983420665906397
Desulfomicrobium	-0.41885845518753584	2.115793153266366	-8.229442625825259
Desulfovibrio	-3.3655440077845817	2.7138385023874596	-5.593320399110171
Campylobacter	2.339152587884211	-0.3254051063256904	1.9570917789293807
Cardiobacterium	2.0615912809307817	0.47715322635596547	2.492171615774778
Aggregatibacter	1.7322465091283554	2.0309336628717736	2.323094159777311
Haemophilus	1.819819970362925	-0.5395248685079261	3.9087338153673685
Treponema	2.1590587332184557	0.38578291199630055	1.630339187051205
Actinobaculum	2.1038158967430824	-1.948929623146598	2.518830508406309
Actinomyces	5.127218319409632	-0.27326990701729503	1.9264264408899825
Schaalia	2.5776645674641365	-0.15028570630127636	0.06491288584008625
Corynebacterium	4.333146406644129	-0.4896534834104225	2.4685764614893473
Mycobacterium	-1.7065803275172478	-0.28493823148781505	0.6189940277887862
Cellulomonas	-1.1870838866297966	-0.7803312096791908	-0.939034968201967
Kytococcus	-1.127683804995275	-0.3046537492471382	1.2405744199110549
Rothia	3.67609222077682	-0.6911724362569496	2.4441761080576456
Xylanimonas	-0.6404391989772078	-0.37659727074677196	-1.0828962619946916
Sanguibacter	-1.3238615260188347	0.04069973118131909	-2.1617579754041163
Acidipropionibacterium	-4.944474862581945	-0.5216610584455177	1.5925235957308095
Propionibacterium	2.597507490151668	-1.6547405276494667	-3.2302403743909327
Pseudopropionibacterium	3.9043336644108533	-0.5737629089551612	0.7554543320490401
Tessaracoccus	-2.0589703784053093	-1.070837811012809	1.8255176548315566
Atopobium	-1.4623824820582634	0.31995429060881886	2.3481305543734114
Olsenella	2.3609244956906075	0.6771897520822838	-0.7077489193128068
Collinsella	-4.415711091524816	1.1948571648401578	-4.664610415284487
Cryptobacterium	-2.752599404818273	-1.4145124707418129	-6.121232062165591
Gordonibacter	-4.622228311068273	0.5567263808054284	-4.4861250217603175
Slackia	-0.7771643862788444	0.21150797567790303	-1.7356958683179338
Gemella	0.8067947163517717	-0.3563035283284828	1.839213312084822
Abiotrophia	1.0687745943005318	1.117738529662545	1.9178199176146071
Granulicatella	0.7549745573933357	0.38353870771353993	1.7270813439442199
Streptococcus	4.124013020032191	0.23047201297705922	1.9581737820459884
Clostridium	-1.9354633555476433	-0.19607804753357616	-2.290290623490664
Mogibacterium	-1.032031701571202	0.09355000368779454	0.4632168714357894
Eubacterium	0.23218984746291582	-0.3144813034730598	1.470124349410681
Pseudoramibacter	-1.4002558455531364	2.4351352896494225	-1.0604741867230851
Catonella	0.2833504214222664	-0.7817937288480445	1.1127814058615249
Coprococcus	-3.955008195406652	-1.7933761630254432	-5.083044558350894
Johnsonella	0.1443048252995256	-0.6731813702779457	0.29337427061334065
Lachnoanaerobaculum	1.3403477206166032	-1.2905509028630897	0.8634675447298568
Lachnoclostridium	-3.7190844283168083	-2.725150898476188	-5.275821715180728
Oribacterium	0.5407729878361467	-0.9009533677297279	0.18110951822534016
Shuttleworthia	-3.943026708132482	0.03280909694259915	-5.1030402477429835
Stomatobaculum	-0.5472971663539177	-0.9495908770757362	1.0515230600191634
Filifactor	-1.568357156283117	1.2476077523035363	0.9831607047869246
Peptoanaerobacter	-0.5972401366297966	0.01812907270615849	1.635971248562483
Peptostreptococcus	-3.601335214144445	-0.13585256077820507	-0.6053226288007219
Eggerthia	-3.0810915694300895	1.4002415385050133	-0.4853785331891496
Solobacterium	-1.47888676977799	-0.8833525929647132	1.469887398595957
Centipeda	-0.03991393900559004	-0.7859326753812477	1.0396258537127059
Mitsuokella	-0.22670321322128828	-1.2960428748326942	-4.011550455872866
Selenomonas	2.5381186141903633	-0.51796914674813	1.3569153700424712
Anaeroglobus	-0.2608448729579216	-0.28787620403343883	-0.28508546907171795
Dialister	-0.12814693308517988	0.5496162023348168	1.7191368345572036
Megasphaera	-2.8633248076503044	-0.8182677779393837	2.292247862036375
Veillonella	1.7250133700008625	-0.8855157647329017	3.2636326257540262
Parvimonas	-0.7535344824855086	0.1350358199281052	2.3629579846216715
Peptoniphilus	-4.194116281038976	0.9743724908632592	-0.07094004708990642
Candidatus Methanomethylophilus	-2.5295778975550895	-2.164123371620719	-6.324643641297671
Methanobrevibacter	-1.9307727084223991	2.555349990348275	-6.880740195100161
