featureid	Intercept	C(Sex, Treatment('Male'))[T.Female]	C(Sex, Treatment('Male'))[T.Unknown]
Bacteroides heparinolyticus	2.5627950522792187	0.7059190056732163	-0.6328754130480956
Bacteroides zoogleoformans	-1.6273437645542765	0.48340743104724737	-3.4622697535632323
Porphyromonas catoniae	1.7778067681681957	0.33042938331870886	3.2864075001599122
Porphyromonas gingivalis	2.32289669846414	0.1403594992568955	1.5091753300549318
Porphyromonas sp. KLE 1280	1.2699602935206737	-0.02745171566696314	3.842606097114258
Porphyromonas sp. oral taxon 278	1.1645330283534374	0.30505622247962805	2.5759749707104493
Alloprevotella rava	-1.5217267181980754	-0.16505690594406275	-3.574233502495117
Alloprevotella tannerae	1.3342535588633861	-0.24999394198150782	1.4302661713482667
Prevotella sp. oral taxon 473	-0.67635141874434	0.3857327185085282	-4.242727727043457
Paraprevotella clara	-1.766763320218339	-0.6981351592132583	-3.363527745354004
[Hallella] seregens	-2.8805409577000285	0.5885832540204987	-2.5440424386141967
Prevotella amnii	-4.917544951688066	1.1854398034027085	7.40214922989624
Prevotella baroniae	-0.7586401608097697	0.2646837613990769	3.276749163520508
Prevotella bivia	-4.030275931607499	-0.22007580776901392	-1.7949291173098754
Prevotella buccae	-0.8740454819309855	-0.3370962359497085	-4.072580784904785
Prevotella conceptionensis	0.9659983012568798	0.36453012446670385	1.3060225542904664
Prevotella dentalis	-2.669886698972001	0.5066400996854767	-2.6963607970355223
Prevotella denticola	0.46219075654862785	-0.8362752415725723	-5.160747021782226
Prevotella enoeca	-0.6330040600407267	-0.006012342173768559	2.9159012135388185
Prevotella fusca	-1.8644982483494426	-0.4229407527038589	-3.3179850283740233
Prevotella histicola	-2.6417456772434855	-0.536155364711	-2.734474391090698
Prevotella intermedia	1.441987285364851	0.26760990242271276	2.1898007687451173
Prevotella jejuni	-1.4816313889134074	0.8316205076387391	-3.616730183708496
Prevotella loescheii	1.7009385917079296	-0.5268907763549819	3.8339124020458986
Prevotella maculosa	0.8786829802882519	-0.01739086886139063	2.1116109188916017
Prevotella marshii	-1.1348787453282023	0.18178305844573828	-3.876458615410156
Prevotella melaninogenica	0.6087299678218212	0.5541513941696152	-5.301110715019531
Prevotella micans	-0.16827594305159188	0.24865058879165503	2.734513312232666
Prevotella multiformis	-1.1009007599461222	0.22437626938133093	-3.8874225321887206
Prevotella nanceiensis	-2.042865386258378	-0.4347425915786758	-3.1779734793780516
Prevotella nigrescens	0.7027721497905102	0.7724168605616555	-5.374437779533691
Prevotella oralis	-2.1537314560520793	0.57292307237892	-3.070061415779419
Prevotella oris	-0.19644938970686532	0.8448343507459626	-4.634963006126709
Prevotella oulorum	0.8377089593303051	0.14516011695175024	-5.4959053698657225
Prevotella pallens	-1.1891211178410197	0.7821154377868629	-3.839933365928955
Prevotella saccharolytica	1.2157669160258617	-0.18385591288299707	3.866193800819092
Prevotella salivae	-1.2202891018498088	0.7930663234999642	-3.8086845580218505
Prevotella scopos	-2.3702264931309367	0.6777528885266051	-2.934526414024658
Prevotella shahii	-1.167097440015092	0.022450187008665523	-3.851760357963867
Prevotella veroralis	-0.3956340458500529	0.6397757313659653	-4.4810619059680175
Prevotella sp. C561	-1.4314633514988566	0.8076295263579354	-3.6561953726885985
Prevotella sp. F0091	-0.5932432320225383	0.5707490078618989	-4.303835839378662
Prevotella sp. HJM029	-1.6083484795200969	0.12446657637863012	-3.5117909613726805
Prevotella sp. HMSC069G02	-1.5434180405247355	-0.049466691214753666	-3.550452679741211
Prevotella sp. HMSC073D09	1.0704006049525585	0.44784728507308813	1.2961690720440675
Prevotella sp. KH2C16	-2.768721213589921	1.9749099991729722	-2.603502005684204
Prevotella sp. oral taxon 317	1.27038324808	0.12284980038909765	1.5976972874523927
Prevotella sp. oral taxon 472	1.6784738991153088	-0.5004921176025405	3.861205607307129
Tannerella forsythia	2.47292048667787	1.1754001460483536	1.403010159385376
Tannerella sp. oral taxon HOT-286	3.1190168950450268	0.057020880978392086	1.7464719113232423
Phocaeicola abscessus	2.9766093287360516	0.20362422684936377	2.759028464210205
Capnocytophaga gingivalis	3.8156554791819897	-0.45743539114685206	4.62237217987793
Capnocytophaga granulosa	2.772745961297735	0.06236622552184912	2.36100366677063
Capnocytophaga haemolytica	-0.13045870329023934	-1.1123912550994888	-4.701868027794189
Capnocytophaga leadbetteri	2.9853364918124523	-0.5593385912963882	3.6811790760876466
Capnocytophaga ochracea	0.9606766793620434	0.614886351626204	3.2302744683148195
Capnocytophaga sputigena	3.405326971758589	-0.22443612595291285	4.030777960670166
Capnocytophaga sp. ChDC OS43	1.077156791437849	0.09612069348602148	3.8630137738110353
Capnocytophaga sp. oral taxon 323	0.07542479966996574	0.02314696530608984	3.258903532874756
Capnocytophaga sp. oral taxon 324	-0.17918383146406747	0.22819269518165441	3.0664627846600343
Capnocytophaga sp. oral taxon 326	1.1738896462809887	0.18204210023193212	3.9781031903149415
Capnocytophaga sp. oral taxon 329	2.132975975025877	-0.5400291897842422	3.633986025703125
Capnocytophaga sp. oral taxon 332	1.608639785994276	-0.32242085715027	3.2574448880078126
Capnocytophaga sp. oral taxon 336	-0.15609251524092294	0.2335720739772782	3.4582310017468263
Capnocytophaga sp. oral taxon 338	0.5170070025813427	0.18909541587142797	3.589648753059082
Capnocytophaga sp. oral taxon 380	-0.08895312811018563	0.28206072072295996	3.1776457127453615
Capnocytophaga sp. oral taxon 863	2.015267977465376	-0.6592483737060562	2.7840423878552247
Capnocytophaga sp. oral taxon 864	-0.22198139692427254	0.08106712321548315	3.0724358853222657
Capnocytophaga sp. oral taxon 878	1.2173959109675732	-0.756142518717958	5.092794924628906
Bacteroidetes oral taxon 274	2.9614120516669598	0.35054341773300024	3.15525415505188
Candidatus Kryptonium thompsoni	-0.7238994743931437	-0.3492948033401504	2.915522127998047
Fusobacterium hwasookii	1.7087174746882763	-1.109019658763124	3.4903154667736818
Fusobacterium nucleatum	3.026383141030058	0.3392452679088578	3.337855130088501
Fusobacterium periodonticum	0.9218920562159862	-0.14214988728256372	2.488255053413086
Fusobacterium sp. HMSC064B11	-0.9340945389378215	0.42596656898765417	4.013075381171875
Fusobacterium sp. HMSC064B12	-1.5230275299656535	-0.03947212477417139	-3.579158753502197
Fusobacterium sp. oral taxon 203	-0.6352738049137736	-0.37121405382843164	-4.277166098701782
Fusobacterium sp. oral taxon 370	-1.9587675240147258	0.2833558700492844	-3.239657611000366
Leptotrichia buccalis	1.9761372897517528	0.46246617357044073	1.39058712090271
Leptotrichia goodfellowii	0.45602549051164054	0.016528584759520015	-5.176857442009277
