featureid	Intercept	C(Tooth_site, Treatment('Posterior'))[T.Anterior]	C(Tooth_site, Treatment('Posterior'))[T.HMP]
Bacteroides heparinolyticus	2.456906390557257	0.844406325405167	1.4625857824938846
Bacteroides zoogleoformans	-2.5511135336065616	2.034245092456864	-6.117052698646253
Porphyromonas catoniae	1.2221236947869931	0.40755929428868143	2.3966205472605777
Porphyromonas gingivalis	1.5584456447457944	1.635680932586717	-1.774772310767835
Porphyromonas sp. KLE 1280	1.1783992771005307	-0.3534647635764614	1.7134867066996646
Porphyromonas sp. oral taxon 278	2.1211775068139707	-1.5300639085120693	0.42334947534971956
Alloprevotella rava	-1.6482109304571475	0.07165874916844217	1.2032412643092227
Alloprevotella tannerae	1.0261975053643857	-0.7091020755118862	1.8941105062621189
Prevotella sp. oral taxon 473	-0.4500176187658633	0.01469768959812967	1.1088604683535648
Paraprevotella clara	-4.219146179785761	2.7513736077003945	2.977604007210071
[Hallella] seregens	-3.430823731055292	1.5490154214554295	0.8163935298579288
Prevotella amnii	-3.7820204969549502	0.9630938582473263	0.544078742946918
Prevotella baroniae	-0.22812907659057036	0.17592569071583597	-1.7912997250897345
Prevotella bivia	-3.109330582251581	-1.2193057946509853	-0.7509118562085089
Prevotella buccae	-0.7991759058142032	0.18532438952259866	-0.037933970008556805
Prevotella conceptionensis	1.777058554062811	-1.1628995351142422	0.6231043691294742
Prevotella dentalis	-3.4160804029608096	1.715815324371384	0.8910396451609683
Prevotella denticola	0.85398168600556	-1.3869254998511806	0.5042962784426761
Prevotella enoeca	-1.0869242426061954	-0.36840562146372946	2.234830653156574
Prevotella fusca	-1.3448912378454532	-0.42114512246318014	-1.0907472615582403
Prevotella histicola	-2.1232427831793155	-1.055971305782272	0.1808087582247806
Prevotella intermedia	1.8499699357843076	-0.061137121135665495	0.4796397442477298
Prevotella jejuni	0.05846746004578218	-1.114496868068649	-1.3097325806958136
Prevotella loescheii	2.131198895344702	-0.4516381434745327	0.0478063578265262
Prevotella maculosa	1.7719410184716855	-1.216776650363876	-0.1209643130642819
Prevotella marshii	-0.2742819067144717	-0.6503627709693447	-0.6709574704510626
Prevotella melaninogenica	1.7126195553636228	-1.3046641759223476	0.23067245432310823
Prevotella micans	0.5588597778176938	-0.2660485915488735	-0.7139913087231573
Prevotella multiformis	0.10685880220886812	-1.0947986058539882	-2.1017555241925177
Prevotella nanceiensis	-2.7527827497625674	-1.467607539112045	2.43231091448241
Prevotella nigrescens	0.9280805114602719	-0.8679001740760341	1.9666571373599124
Prevotella oralis	-1.4572934385443057	0.07676376778416483	-0.8315111642224249
Prevotella oris	-0.8524958368444766	-0.7701535634345547	3.1128612513201785
Prevotella oulorum	1.852530908951727	-1.4049063138312832	-0.11400857022828337
Prevotella pallens	0.23419840372559175	-1.0149530581779018	-0.932677174125379
Prevotella saccharolytica	2.035687280068365	-0.8498104028052822	-0.41144695333070036
Prevotella salivae	0.3140879396295224	-1.2758410386390224	-0.929651165519422
Prevotella scopos	-1.0743238207006778	-1.1224391869849697	-0.37603762200898405
Prevotella shahii	-0.37601559125426665	-0.9734721593207851	-0.019810700927441083
Prevotella veroralis	0.5978286985253964	-1.7094867638892666	0.7808326835291934
Prevotella sp. C561	0.11439116037842378	-1.1380554847068325	-1.4438094144207891
Prevotella sp. F0091	0.3282182935571347	-0.43673018735118063	-0.28345193914002653
Prevotella sp. HJM029	-0.6186661001348819	-1.4033279828376308	-0.06647219708985563
Prevotella sp. HMSC069G02	-2.1922835584783877	-0.9281715564078823	2.5086951012271
Prevotella sp. HMSC073D09	1.9126703266000424	-1.171530764514877	0.663150643791492
Prevotella sp. KH2C16	-2.463507580390009	1.818326015060471	0.7601841444628787
Prevotella sp. oral taxon 317	2.040592384705511	-1.2041852883643642	0.4313076491015506
Prevotella sp. oral taxon 472	2.127891850838629	-0.47288111966319235	0.05434272238188509
Tannerella forsythia	2.2549573305940305	1.7234370895081028	0.019719695534045734
Tannerella sp. oral taxon HOT-286	4.166639280686346	-1.0826446227378383	-0.9954685216290411
Phocaeicola abscessus	2.3884714964723264	1.5213709660225376	-4.194830561195081
Capnocytophaga gingivalis	3.2829985145425473	0.859497960691975	1.454259500700469
Capnocytophaga granulosa	2.92937271035668	-0.14323143284983786	1.049117987837131
Capnocytophaga haemolytica	0.8363618377542172	-2.2200484685248867	-1.4575356488568243
Capnocytophaga leadbetteri	2.5344761807417546	0.6692290343695149	1.1120726818698001
Capnocytophaga ochracea	1.0634055856561337	-0.24757460873789938	1.8654320294516635
Capnocytophaga sputigena	3.60969240702149	-0.38207916539378317	1.0416952724116397
Capnocytophaga sp. ChDC OS43	1.1502360824441586	-0.06421969454951437	1.3554032946484638
Capnocytophaga sp. oral taxon 323	0.056090426812139604	-0.4454447440452114	1.6314435506718707
