featureid	Intercept	C(Ethnic_Group, Treatment('Nzime'))[T.Baka]
Bacteroides	1.4136450247963266	-1.296258103251458
Porphyromonas	2.1673873620231943	-0.1424259060621269
Alloprevotella	0.21018540432055755	0.29526315987110063
Prevotella	3.6096196131904916	-0.036999952197075636
Tannerella	3.042435760994752	0.01387225449085161
Phocaeicola	-0.35188520381848054	0.5519019252061836
Capnocytophaga	3.415194983979066	-0.23798705279827193
Candidatus Kryptonium	-0.6774203820029898	-0.2552150601148613
Fusobacterium	2.548464890023072	-0.29885692536830977
Leptotrichia	3.956554170151551	-0.05089486777782515
Lautropia	2.9765869336326913	-0.38186044633388594
Ottowia	1.3168014394243555	0.8075894004106514
Eikenella	0.9473663525780038	0.04302834331989214
Kingella	0.7216634111603097	-0.2775153034925468
Morococcus	0.16041755249102874	-0.747769903540612
Neisseria	3.3254816489418344	-0.3277838939428337
Propionivibrio	-4.942384485701719	0.9143465644121163
Desulfobulbus	-0.6546161217490836	0.3799998646974556
Desulfomicrobium	-1.3193738503257437	-1.135931205153466
Campylobacter	2.077029164334138	-0.10157896220684126
Cardiobacterium	1.8124822335441904	-0.15929008662700728
Aggregatibacter	2.223597879906495	-0.2279826515913017
Haemophilus	1.0623405533035593	-0.7860381716489799
Treponema	1.9957252102096872	0.19808934986591265
Actinobaculum	1.914912875195344	0.12164985001087114
Actinomyces	4.807573314209779	-0.1424561852216728
Schaalia	1.5960328536232309	-0.5538125747442253
Corynebacterium	4.669780011673768	-0.2943310850858696
Mycobacterium	-1.016687159041564	-0.09472776591777876
Cellulomonas	-1.4668781800071402	-0.18414307773113325
Kytococcus	-0.9120209259788199	-0.49471832454204634
Rothia	2.21236073543628	-0.08399654567241743
Xylanimonas	-1.8700473351279907	-0.21018506228923872
Sanguibacter	-1.9028162998954468	0.053022492527960985
Propionibacterium	3.538230414887269	-1.0494582021236427
Pseudopropionibacterium	3.764090772171815	-0.11319018542766646
Tessaracoccus	-2.241249565581482	0.20638643562793657
Atopobium	-1.5526704830924665	0.5052045470476143
Olsenella	2.0605025248726205	0.2836983090639107
Collinsella	-4.919903044203917	0.8337548857927319
Cryptobacterium	-4.5835783524314575	2.391679394841194
Gordonibacter	-6.929791216353575	3.150338519215583
Slackia	-2.3288900894920044	0.09639357388019487
Gemella	0.3428994374473886	-0.2911315077543266
Abiotrophia	1.510428327520688	-0.5158295148611076
Granulicatella	0.5033344583710031	-0.7173959726095207
Streptococcus	3.7451755957802133	-0.3261978739500053
Clostridium	-1.858186249236267	0.08236419022083208
Mogibacterium	-1.3355541271964713	0.41340516865253374
Eubacterium	-0.4925044817725821	0.2917129880189888
Pseudoramibacter	-1.877238277892273	-0.9479287379980095
Catonella	-0.6470003170768424	0.2619329577684395
Coprococcus	-3.6814553780357056	-0.4188749903440483
Johnsonella	0.07039892246325774	-0.20038331687450484
Lachnoanaerobaculum	1.5780804263552026	-0.20011342704296187
Lachnoclostridium	-4.115323309401672	0.11488162338733598
Oribacterium	1.2188651817043619	-1.4554557615518577
Shuttleworthia	-3.809822802046936	0.603867161870002
Stomatobaculum	0.22600876857837005	-0.6817688459157951
Filifactor	-1.1505343956748648	0.18827496826648638
Peptoanaerobacter	-0.5993213696281119	-0.006400834918022902
Peptostreptococcus	-3.303073172072571	0.38577054798602983
Eggerthia	-2.5410544915000592	0.7451501971483223
Solobacterium	-1.3509810013572379	0.2703969365358345
Centipeda	-0.26698458621899324	0.3799425250291817
Mitsuokella	0.7610495047767953	-0.9965207988023765
Selenomonas	2.551673288842042	0.020609963536261766
Anaeroglobus	-0.5062860293189688	0.34990822136402056
Dialister	-0.5709539694587393	0.18429778873920366
Megasphaera	-2.4262318653861676	-0.36319572865963057
Veillonella	1.8142651276787118	-0.08751393496990278
Parvimonas	-0.9186661286155386	-0.04194618403911665
Peptoniphilus	-3.302223925093811	0.15573965370654985
Candidatus Methanomethylophilus	-4.03330064247052	0.5207559949159615
Methanobrevibacter	-1.4117329163352652	1.120835173726081
