featureid	Intercept	C(Env, Treatment('HunterGatherer'))[T.HMP]	C(Env, Treatment('HunterGatherer'))[T.JAE]
Bacteroides	1.4379591673046725	2.2705081586808546	1.0781506509814838
Porphyromonas	2.226650270763077	2.1539430056781157	0.4184555025134662
Alloprevotella	0.6015702813297885	2.5782105808228835	-1.5772062330212018
Paraprevotella	-4.546306160148942	3.439687717434822	2.3660196275745013
Prevotella	3.7376363008648528	1.6703895812005385	-0.8641308336223981
Tannerella	3.195661875548996	0.4518321638078078	0.3226619572673419
Phocaeicola	0.1504924028545993	-1.8435989732771532	3.1649490804706195
Capnocytophaga	3.430718037429489	2.968626547333656	1.3538916022811511
Riemerella	-5.566622760948502	5.137513983723579	4.029926440242348
Candidatus Kryptonium	-0.667876985725723	-2.3108898515730516	-2.209622958179894
Fusobacterium	2.5393906562954562	2.663185257193504	0.15590854597431214
Leptotrichia	4.072501870933213	0.4980466251344069	-1.4131966619457623
Lautropia	2.887886735740341	2.2604720990256055	1.6517757983241657
Ottowia	2.055180284324326	0.6547031288117751	2.5855484218631366
Eikenella	1.1236916511685031	2.5196217482060774	2.295727869990883
Kingella	0.7254277794987338	3.9111746435136183	1.344965627912102
Morococcus	-0.10234906977113312	2.3442243968219145	1.5602385611568073
Neisseria	3.271033379378952	2.8937598948449477	1.6228702874217609
Propionivibrio	-4.0595574647754065	-4.594707142832817	-6.45878277110714
Desulfobulbus	-0.12804475134309357	-8.124740254405083	3.3334106416736224
Desulfomicrobium	-0.9063301355212552	-7.407145154002251	3.353288313869057
Desulfovibrio	-3.5160322458117834	-5.058061730387749	3.5855046720538715
Campylobacter	2.1651282637745517	2.4157300178975447	0.6154294521842578
Cardiobacterium	1.8926501601368564	3.0718018894166335	1.3655707151923755
Aggregatibacter	2.1746389597088474	2.134903300282417	2.1963840932880023
Haemophilus	0.8349305718571323	5.189067471501289	1.4464735598598102
Treponema	2.3186349599987643	1.802518743750511	0.8228690834079364
Actinobaculum	2.2290326684147495	3.2122208957642897	-5.612805464741172
Actinomyces	4.892182084861435	2.7407440428704604	0.7137850434814075
Schaalia	1.3695165544182437	1.574344802376686	1.9726786227260211
Corynebacterium	4.7235214441448825	2.5477028374642714	-0.7409302978481671
Mycobacterium	-0.9189408094256741	0.20500718402570328	-1.8119312314953229
Cellulomonas	-1.4949395925372473	-0.9550379629164354	0.2337950677905658
Kytococcus	-1.0932736665576321	1.308527935025154	0.2451161356006244
Rothia	2.4021874993473666	4.409258950230537	1.6782579035792926
Xylanimonas	-1.921039369758927	0.10947810458844742	1.8833428831134418
Sanguibacter	-1.7734639913409582	-1.3304544801741258	1.3009687722955325
Acidipropionibacterium	-4.352673557457291	1.3320227150887831	-6.194635012623252
Propionibacterium	3.432001325431503	-3.522997509959282	-3.8838201551403433
Pseudopropionibacterium	3.881679746452011	1.1530136947602614	0.08069719982486756
Tessaracoccus	-1.8849387437671057	1.9640309696168288	-1.1585067300762555
Atopobium	-0.9582829744189603	2.203592050549446	0.229592880729256
Olsenella	2.4062325089604037	-0.2596625204115526	1.3067040504251102
Collinsella	-4.189703968223893	-4.459360253336968	1.5966177792583087
Cryptobacterium	-2.35948589151796	-6.082452427866997	-7.954081633564414
Gordonibacter	-3.9461641580432287	-4.680061470988335	0.13514085722309144
Slackia	-2.1654312879413	-0.5951870794325487	2.511149069789467
Gemella	0.3165089815289157	2.3126571660012587	0.9604058624539951
Abiotrophia	1.358692477586903	1.9095198695630415	1.4957098872695545
Granulicatella	0.22618410283628876	2.481574136492668	1.5774238915477374
Streptococcus	3.7568442552715915	2.9308479313821176	1.3800333054099658
Clostridium	-1.6559019357531897	-6.732538830760063	-0.09555850314754455
Mogibacterium	-0.8643636972277982	0.5115691308945998	0.4701004238162616
Eubacterium	-0.09073796575959747	2.0813297514886244	0.8473133654628375
Pseudoramibacter	-1.7186427385180822	-6.671648633006157	3.479313990596352
Catonella	-0.30515625780519073	2.012909937378822	0.8045786829028705
Coprococcus	-3.784510639366471	-4.8496562356978075	-6.7117057828869235
Johnsonella	0.11950239831510956	0.8653843288392409	-0.061545827862205194
Lachnoanaerobaculum	1.613566878381409	0.8349307661027296	-2.4304162054027945
Lachnoclostridium	-3.8327932626574865	-4.802893292429985	-6.666237929340783
Oribacterium	0.627600046935715	0.5193313245744093	-0.6312877922024152
Shuttleworthia	-3.1912131578296057	-0.4089552278547899	-0.8723189620937726
Stomatobaculum	-0.025371697601638488	0.12124120044416031	-4.040017703052941
Filifactor	-0.8514628679126126	-0.2024155969648973	1.0525116497014144
Peptoanaerobacter	-0.39441576307710235	1.6856706027955397	0.39250787210804017
Peptostreptococcus	-2.8561678201526037	-5.637699257853569	-1.1636777906383893
Eggerthia	-1.7855448991626135	-6.605163228037895	0.4689390273128131
Solobacterium	-1.0335238248675687	1.2602165822953566	-2.017411568638267
Centipeda	0.17222103768888886	1.0766395215958937	-0.8586705713238141
Mitsuokella	0.47548732453886444	-3.510146748545708	-3.0602656393017202
Selenomonas	2.7219514578014983	1.5134928112000807	-0.29387793826717346
