featureid	Intercept	C(Sex, Treatment('Male'))[T.Female]
Bacteroides	1.0446578584114699	-0.8269818572948378
Porphyromonas	1.9921647630135206	0.19125752163430043
Alloprevotella	0.09908184627691785	0.6461110563327872
Prevotella	3.3854354939858107	0.41537325096627065
Tannerella	2.9074997029701852	0.31735198212166615
Phocaeicola	0.2679083071152357	-0.5755374877403181
Capnocytophaga	3.2020520291725783	0.15971033287545033
Candidatus Kryptonium	-0.8499616064627977	0.028872117524345597
Fusobacterium	2.119180115262666	0.49880366039772817
Leptotrichia	3.556185158292451	0.7099198551227652
Lautropia	3.09503570417563	-1.1009300796935957
Ottowia	2.0351564011971144	-0.2077616600940626
Eikenella	1.2042347661654142	-0.5624314396331709
Kingella	0.31316164354483167	0.46924965096016713
Morococcus	0.0006987176338819623	-0.8049313294390839
Neisseria	3.237572821180024	-0.2698663620899122
Propionivibrio	-4.24714597841104	0.02967004490395375
Desulfobulbus	-0.3890244640906664	0.040038213257988176
Desulfomicrobium	-1.7780173697074266	-0.4464213399837407
Campylobacter	2.0066414795319227	0.01143698406716176
Cardiobacterium	1.7150272450844435	0.02238230419655629
Aggregatibacter	2.17795065263907	-0.19883956002692393
Haemophilus	0.8339106909433989	-0.6148841230819624
Treponema	2.0326178393761305	0.2251524181415645
Actinobaculum	0.9646261207262663	1.641168043141564
Actinomyces	4.731253775159517	-0.041252091402808944
Schaalia	1.5202887378136305	-0.7739780171463888
Corynebacterium	4.390094431440034	0.1957599372913439
Mycobacterium	-1.002414075334868	-0.1850118188808363
Cellulomonas	-1.6686662115653368	0.19289653015633412
Kytococcus	-1.1088972963889452	-0.2581531553218763
Rothia	2.2479663215080885	-0.19004143762091807
Xylanimonas	-1.70853194375833	-0.8659247680256765
Sanguibacter	-1.6883662619193407	-0.4681015162418287
Propionibacterium	2.9816241584221506	-0.10701681661109141
Pseudopropionibacterium	3.7088326535622267	-0.005671158308784285
Tessaracoccus	-2.09024318834146	0.028263971333702287
Atopobium	-1.3084963240226122	0.2963971347858507
Olsenella	2.3285807691017775	-0.18368895339469127
Collinsella	-3.9159263052543016	-1.216064706320564
Cryptobacterium	-3.162485925157866	1.101301238064965
Gordonibacter	-3.749791470964751	-1.216026350731651
Slackia	-2.3218971170981737	0.12744937849541493
Gemella	0.1602655969063429	0.015617296223839006
Abiotrophia	1.5493603668610243	-1.0667832194517057
Granulicatella	0.32683482984701673	-0.6789303718755644
Streptococcus	3.5514060578743605	-0.04026176022986583
Clostridium	-2.188815204103789	0.744906589513024
Mogibacterium	-1.4157331862052294	0.7419980020572745
Eubacterium	-0.2483436741431566	-0.04904319333533369
Pseudoramibacter	-2.0696903147300096	-1.0466089396427076
Catonella	-0.5444115080436083	0.18524841976662465
Coprococcus	-4.829247323473296	1.4510468692829215
Johnsonella	-0.10566612859567126	0.10090987396736928
Lachnoanaerobaculum	1.195905747214952	0.4994047136356432
Lachnoclostridium	-5.476091710527739	2.1283799858142936
Oribacterium	0.5958268664280562	-0.327540799851219
Shuttleworthia	-3.569109288652739	0.40453855705757924
Stomatobaculum	-0.725330916841826	0.9458446950962149
Filifactor	-1.0725766100486132	0.13320933294792958
Peptoanaerobacter	-0.46906360765298327	-0.3047027139614027
Peptostreptococcus	-3.068925706346831	0.11406444025536366
Eggerthia	-2.101469365557036	0.2659721822788317
Solobacterium	-1.3793183245261522	0.4518524856617061
Centipeda	-0.07794877668221911	0.17486266804238149
Mitsuokella	0.18437412599722425	-0.018140926832954207
Selenomonas	2.4276981673638014	0.2819425315906603
Anaeroglobus	-0.4307549872001024	0.364105746274193
Dialister	-0.5588460840781542	0.24279026699562856
Megasphaera	-2.777673331697783	0.25321571541329213
Veillonella	1.5186957440773634	0.4871495218326656
Parvimonas	-0.9594982542594286	0.046155557160576066
Peptoniphilus	-3.1483758368094774	-0.10711891936759166
Candidatus Methanomethylophilus	-3.33672699113687	-0.8895952625821035
Methanobrevibacter	-0.06632503648599108	-1.7335389404247206
