featureid	Intercept	C(Tooth_site, Treatment('Posterior'))[T.Anterior]
Bacteroides	1.2107695473233857	-0.954985120991866
Porphyromonas	1.8880435360471406	0.3498814313610392
Alloprevotella	0.46581812034050607	-0.023666837910811367
Prevotella	3.8502744568387666	-0.45687312791744894
Tannerella	3.485546244482199	-0.8690744356314344
Phocaeicola	0.15332342515389108	-0.11960426876942343
Capnocytophaga	3.027113331655661	0.4158866613109904
Candidatus Kryptonium	-0.7914858924349151	-0.03171799490849203
Fusobacterium	2.44719733128945	-0.11384520838658041
Leptotrichia	4.282071007589499	-0.6744217963020009
Lautropia	2.0190587771932282	1.0775830953319865
Ottowia	1.3103503269950547	0.9585910051067668
Eikenella	0.3597782386342683	0.9491057603557902
Kingella	0.19589449296394967	0.5688408820827799
Morococcus	-1.2495769130190215	1.3616070954998332
Neisseria	2.642512215475241	0.7573526113231974
Propionivibrio	-5.511164771219096	1.7264509408672648
Desulfobulbus	-0.7548985349138579	0.6281352250774699
Desulfomicrobium	-2.401388274331887	0.7324917524059611
Campylobacter	2.20433719287316	-0.316176334122817
Cardiobacterium	1.1029656587044396	0.927522441645463
Aggregatibacter	1.8669659627477326	0.38721694638331705
Haemophilus	0.11590541730324411	0.765373012324174
Treponema	1.9383722675840058	0.37154330899318033
Actinobaculum	2.6053722036878266	-1.3865067155162496
Actinomyces	5.023975027898947	-0.5610802264014882
Schaalia	0.9771520776549973	0.4849001376827555
Corynebacterium	4.772751225332419	-0.5277622134486837
Mycobacterium	-1.3186381923158965	0.4304548709591227
Cellulomonas	-1.255620347162088	-0.5986484081546468
Kytococcus	-0.9162748919924102	-0.5477255971233053
Rothia	1.919166816572348	0.4312398641308146
Xylanimonas	-2.0196765529116005	0.07016386677821451
Sanguibacter	-1.711367713113627	-0.24218831370274252
Propionibacterium	3.599587811330954	-1.6234286815921468
Pseudopropionibacterium	3.5820669067899384	0.2204143016537028
Tessaracoccus	-2.3436678515871376	0.44720580269892984
Atopobium	-1.0057257281740508	-0.26897493908802694
Olsenella	2.500167621473471	-0.40139315436283773
Collinsella	-3.961853610177834	-0.5917328090469045
Cryptobacterium	-2.03791247477134	-0.9829360858599347
Gordonibacter	-4.387894736429055	0.4565952031811076
Slackia	-2.041818963189921	-0.34365318129460043
Gemella	0.23107279668251657	-0.07817570279041952
Abiotrophia	0.16067732701698922	1.4491863458355265
Granulicatella	-0.4821957217653594	0.8698421924312907
Streptococcus	3.6101452244321504	-0.08105496476093954
Clostridium	-1.3967577086885772	-0.7798249662915868
Mogibacterium	-0.7371388541658721	-0.5180129797259969
Eubacterium	-0.4916338788469634	0.3846047132213908
Pseudoramibacter	-2.0298706160982443	-0.7547665477792425
Catonella	-0.538552509446939	0.18427731682856852
Coprococcus	-3.4299341308077187	-1.098486000398795
Johnsonella	0.0185836685697236	-0.10519889901081747
Lachnoanaerobaculum	1.8792744411031403	-0.8801050053040189
Lachnoclostridium	-3.309350596566996	-1.8894565493861837
Oribacterium	0.9720006121198335	-1.0913322509328527
Shuttleworthia	-3.346300231118996	0.024262151022751866
Stomatobaculum	0.025442851881186	-0.37367687533299154
Filifactor	-1.8033045398195595	1.160023948450883
Peptoanaerobacter	-0.9729610549410186	0.625262281199296
Peptostreptococcus	-3.068364726205668	0.13745667626460367
Eggerthia	-2.638939963479838	1.0033323972423869
Solobacterium	-0.8582247363527618	-0.5383091957370443
Centipeda	0.4484940303365388	-0.8830529392759008
Mitsuokella	0.7769341600934663	-1.341170767048995
Selenomonas	2.9084950817624726	-0.6455984206000966
Anaeroglobus	0.08807982335487985	-0.6332906873027486
Dialister	-0.4843152629335723	0.12398554970820719
Megasphaera	-2.371902094980082	-0.5110067219535512
Veillonella	2.0740819109479585	-0.5814013869563741
Parvimonas	-1.0616375075777373	0.24425258328517252
Peptoniphilus	-3.715792285104592	0.8236905544002848
Candidatus Methanomethylophilus	-4.039795981546242	0.6483668296535812
Methanobrevibacter	-2.2538813220461202	2.223216554423173
