featureid	Intercept	C(Env, Treatment('HunterGatherer'))[T.HMP]	C(Env, Treatment('HunterGatherer'))[T.JAE]
Bacteroides heparinolyticus	2.0915007219447395	1.5742602683347293	2.5609009044597517
Bacteroides zoogleoformans	-0.8686216249333123	-7.776223626013416	1.668153681082524
Porphyromonas catoniae	0.8012634143962165	2.844461116914136	2.259327836556233
Porphyromonas gingivalis	2.7392627225055	-2.9240841530519903	1.611147083563603
Porphyromonas sp. KLE 1280	1.1395098791255256	2.262569997434003	0.9306984918544661
Porphyromonas sp. oral taxon 278	2.0833021887375613	0.9307353235524722	-0.9152541381885637
Alloprevotella rava	-0.6894209756718377	0.018353376511914377	-7.452872060017787
Alloprevotella tannerae	1.2973805890216132	1.375782225255353	-0.596141837315761
Prevotella sp. oral taxon 473	0.3852579221858283	0.6959122158330509	-1.2835743648578752
Paraprevotella clara	-3.5255594625340203	2.203046653394086	3.4143013732860457
[Hallella] seregens	-2.18019870661361	0.10529640686927522	1.3891715782115828
Prevotella amnii	-3.1421728505955437	0.138183269624097	1.5131464975307356
Prevotella baroniae	-0.03247383974654472	-1.2914731167513311	1.156305171770848
Prevotella bivia	-3.0543713941441277	-0.7892381809908331	-5.342752717213832
Prevotella buccae	0.11259611703293526	-0.8672036789614141	-1.0452757103016008
Prevotella conceptionensis	1.972503304554393	0.2095277644437381	-1.4259841663410295
Prevotella dentalis	-1.8637886419163445	-0.20445319640220916	1.1327690856883894
Prevotella denticola	0.979529462827613	-0.038543906088488455	-8.979703686909877
Prevotella enoeca	-1.325842179285119	2.376813206796033	1.188642122072972
Prevotella fusca	-0.7450828924046258	-1.3587796353060186	-7.409808896260463
Prevotella histicola	-1.9770203008518914	-0.0448904894548825	-6.308249257283412
Prevotella intermedia	2.5019306466712257	-0.2996555231768063	-0.6726241333057512
Prevotella jejuni	0.3132958040370246	-1.4149224423128546	-8.393108151631557
Prevotella loescheii	1.5846802220477363	0.6072006560605594	1.5410021322200667
Prevotella maculosa	1.8781962767972251	-0.24903568255485808	-1.1487035972644914
Prevotella marshii	0.0074956045283576245	-1.0587649010378302	-0.5454306823780168
Prevotella melaninogenica	1.8968314156665107	0.3066605664533206	-3.8473918659259905
Prevotella micans	0.9631042108668586	-0.9635274075228155	-0.06268694229622973
Prevotella multiformis	0.3819422350062629	-0.7800159119326056	-8.447615407185756
Prevotella nanceiensis	-2.6193943395481805	2.5425880290311405	-5.72033002205392
Prevotella nigrescens	1.3061104641093513	1.3829425759357044	-2.824192307667934
Prevotella oralis	-1.0738971605168084	-0.1665662192064694	0.6656557100246321
Prevotella oris	-0.42980460070235527	2.481645021561963	-7.6922757846881975
Prevotella oulorum	1.9354539737834235	-0.1959902905184201	-9.876523755269252
Prevotella pallens	0.5681659803523322	-0.5594608448702276	-8.630251668172084
Prevotella saccharolytica	1.842953376544883	-0.11914249884666717	0.5174238460491072
Prevotella salivae	0.46215101338761055	-0.6308648251253546	-8.517612240987026
Prevotella scopos	-0.7883391752110223	-0.30326136576713836	-7.373973630147182
Prevotella shahii	-0.19614151857955253	-0.3168190382677487	-0.804196618275844
Prevotella veroralis	0.641502700818946	0.5937124825757572	-8.69649197884103
Prevotella sp. C561	0.36186011887924874	-1.295691218252796	-8.438711903767787
Prevotella sp. F0091	0.9558717832698127	-0.8569850586611212	-8.959445737080776
Prevotella sp. HJM029	-0.5151858701573113	-0.21518084036888396	-7.613477490620815
Prevotella sp. HMSC069G02	-1.8098333253727654	1.8343037999909946	-6.427007458882533
Prevotella sp. HMSC073D09	2.103962267821898	0.250701580170972	-1.4723222477008928
Prevotella sp. KH2C16	-1.6358464135990838	0.5088800526898929	2.308747627062596
Prevotella sp. oral taxon 317	2.1902254150046607	0.05682149899421418	-1.222928307728969
Prevotella sp. oral taxon 472	1.5922990963591834	0.5997175313275882	1.505601145548619
Tannerella forsythia	1.3177654967440864	1.1438861228269168	4.16614196471671
Tannerella sp. oral taxon HOT-286	4.22002192593949	-0.8766138218599737	-0.5431001407672991
Phocaeicola abscessus	1.2939612493647834	-3.3456854485231817	4.105299212260045
Capnocytophaga gingivalis	2.4120664224757453	2.000077310923917	3.323265768809117
Capnocytophaga granulosa	2.703597508443763	1.2719054855149814	1.4332484977672468
Capnocytophaga haemolytica	-0.7131781949864129	-0.7336997650820196	2.2579685824344526
Capnocytophaga leadbetteri	2.1343694814278384	1.4238745756190845	2.5008051658401858
Capnocytophaga ochracea	1.2050733194484016	1.556695470560772	0.6480463521907698
Capnocytophaga sputigena	2.360941760314872	2.1867321468633243	2.6169739218781363
Capnocytophaga sp. ChDC OS43	0.9332261905802985	1.4397537000220844	1.5468466060588728
Capnocytophaga sp. oral taxon 323	0.17558594800369942	1.346440289143903	0.335451819224156
Capnocytophaga sp. oral taxon 324	0.09124418355362618	1.1568516231816837	0.5752938764522444
Capnocytophaga sp. oral taxon 326	0.9878167734278938	1.5528232101094552	1.6442700403163801
Capnocytophaga sp. oral taxon 329	1.1321804747714301	1.602177632946951	2.669948078913487
Capnocytophaga sp. oral taxon 332	1.8480516449345847	0.8086030222219058	1.191149570269383
Capnocytophaga sp. oral taxon 336	0.13096948720352852	1.1411549485963413	0.6490540283153425
Capnocytophaga sp. oral taxon 338	-0.02455786608321464	2.003380838755948	1.934562064928807
Capnocytophaga sp. oral taxon 380	0.08169909573929512	1.298108670834882	0.7517499702403914
Capnocytophaga sp. oral taxon 863	1.3773581609858772	0.9826408959668704	2.2010964231918226
Capnocytophaga sp. oral taxon 864	0.012964211477210164	1.170406226043088	0.13358709983328687
Capnocytophaga sp. oral taxon 878	-0.04876307390792167	1.5784229971211978	3.284642495436467
Bacteroidetes oral taxon 274	2.724045835508277	0.9590934850019046	2.2757487969825636
Candidatus Kryptonium thompsoni	0.4103431329859992	-3.758182968969959	-1.27391626663705
Fusobacterium hwasookii	1.1030233726634284	0.9362887479108402	2.2308619695136915
Fusobacterium nucleatum	3.162777148260047	1.539343386862857	0.9643993156383406
Fusobacterium periodonticum	1.538165412916114	0.7371033765119144	-0.219285033421718
Fusobacterium sp. HMSC064B11	-0.13473895929915702	0.8058340288442203	0.29435250930289136
Fusobacterium sp. HMSC064B12	-2.660288847909997	2.868801984910352	1.2168494241664778
Fusobacterium sp. oral taxon 203	-0.98895172022445	1.5502475257706472	0.9574514406154524
