featureid	Intercept	C(Market_economy, Treatment('Farming'))[T.Forrest camp]	C(Market_economy, Treatment('Farming'))[T.Industrial]	C(Market_economy, Treatment('Farming'))[T.Logging road]
Bacteroides heparinolyticus	2.6132936603862094	0.36227514933528226	0.9114856339905879	-0.042735591633042525
Bacteroides zoogleoformans	-2.04986427952468	1.0563735623258523	1.0421864010308415	0.48496352125910835
Porphyromonas catoniae	1.186647904618387	-0.6440276842218466	1.2787204898808628	-0.4458776564428417
Porphyromonas gingivalis	2.5808308735030936	1.134325649251359	-0.014352002003369613	-0.8741217405626385
Porphyromonas sp. KLE 1280	1.423819912179117	-1.1859538297754355	0.2326405264351985	-0.1411345155069439
Porphyromonas sp. oral taxon 278	2.0617634780246066	0.5134881098169259	-0.8571979187514165	-0.1347931102940647
Alloprevotella rava	-1.2048237197560034	0.10497673939647001	-0.7448226593520024	1.042185410754958
Alloprevotella tannerae	0.8447065479594515	0.31271827187122625	0.6334772922013432	0.8996747582128437
Prevotella sp. oral taxon 473	0.4754560119944857	-0.6386110525232382	-1.154371061184582	0.06286158402470665
Paraprevotella clara	-2.9835662715595923	-1.3177764158350058	1.4609374619935185	-0.5424649865457623
[Hallella] seregens	-2.369513975874778	-1.6827866773706504	-0.031039812424358715	0.620244070785323
Prevotella amnii	-3.0753345363301	-0.6721201877695151	-0.1381197355772823	0.21369306732920723
Prevotella baroniae	-0.34157298733412755	0.6929695565599374	-0.22713629231708943	0.46607045819071846
Prevotella bivia	-2.579172598616477	-0.2188263874155112	-2.7834642313505986	-0.46635346124859733
Prevotella buccae	-0.39369414974867833	-0.04701441932736117	-1.3806524656798222	1.0374770014455708
Prevotella conceptionensis	1.84417755673707	0.5656177360910348	-0.8592682264830449	0.0861594526937397
Prevotella dentalis	-2.1752896182697974	-0.436768386850936	-0.15898314938801317	0.7167945950200956
Prevotella denticola	1.0895528919535922	0.12565686892451566	-1.2494855307127803	-0.03370270795168473
Prevotella enoeca	-1.6908326022785864	-0.5040629844766684	1.5164070345376164	0.9797781555822285
Prevotella fusca	-1.044459568755025	0.8958091397184305	-2.889401235439954	0.4186726956537168
Prevotella histicola	-1.5580501430195532	-0.5950048904520102	-1.8869429014708379	-0.20292520533295555
Prevotella intermedia	2.336522263987665	0.5695150751966409	-1.1272545240904668	0.3120767026117237
Prevotella jejuni	0.2766637928324984	-0.07084119726238924	-3.0437879942442754	0.3203068523576649
Prevotella loescheii	1.8233784563380526	0.08149367164553922	0.0120570279572636	-0.32745049904080314
Prevotella maculosa	1.8802088625270175	0.2885501716631822	-1.4824135683562139	0.0632693468501957
Prevotella marshii	-0.26759527851759923	0.13798084448756498	-1.421320237972913	0.7137688844373615
Prevotella melaninogenica	1.854981315835123	0.24846938591183942	-1.4044123075987676	0.14618447412756996
Prevotella micans	0.9907931215602206	0.08308857273043913	-1.4838793657805303	0.1338138281276624
Prevotella multiformis	0.2910204059916781	0.2996660653847627	-3.785878219464002	0.2777860908677967
Prevotella nanceiensis	-1.9752850406330786	-1.4850650768381186	0.13002707733851881	-1.025166109306534
Prevotella nigrescens	1.2469929582911776	-0.1898584108453818	0.12964745535594524	0.32640652348307686
Prevotella oralis	-1.302485930220481	0.3906468466270141	-0.7286372564818242	0.5146236865690144
Prevotella oris	-0.5195705764454566	0.19253979216994566	1.2446462429974696	0.394765987890044
Prevotella oulorum	2.0790723092395114	-0.16086170483647066	-1.8495602987791875	0.08662368346957372
Prevotella pallens	0.41748858760178553	0.2668158445853166	-2.630308666088758	0.361690476434509
Prevotella saccharolytica	1.7700212128001498	0.4921263713735513	-0.6585010670210698	0.2746051995923917
Prevotella salivae	0.4952538139659213	-0.18273285437641817	-2.6215329550291875	0.2944162933996113
Prevotella scopos	-0.9710326068562232	0.28179933469476026	-1.9824324034239629	0.4202692656686704
Prevotella shahii	-0.3163263671559049	0.47302688251914304	-1.2141135118986943	0.14472985257414983
Prevotella veroralis	0.7044292814570712	0.05607059191645902	-0.8415612362410405	0.04083530594615059
Prevotella sp. C561	0.32187844584763514	-0.03680855442105013	-3.1643324278380254	0.3103471248319538
Prevotella sp. F0091	0.44170953105271327	0.2295063991445474	-1.89227894768971	1.0398230402639301
Prevotella sp. HJM029	-0.44972203900038643	-0.0468322079282828	-1.7475192926909306	0.16876877834109383
Prevotella sp. HMSC069G02	-2.040278422133321	0.3988736454743318	0.8207682959650189	0.4680661409070881
Prevotella sp. HMSC073D09	1.9837637669879244	0.5606532801288537	-0.8287529133345455	0.07767013450173454
Prevotella sp. KH2C16	-2.1305961482685767	0.0010423619646005022	1.1224462307904384	0.9256940334012906
Prevotella sp. oral taxon 317	2.0544396169024752	0.5794134546417169	-0.945976056912122	0.09742631007937508
Prevotella sp. oral taxon 472	1.8438012130099581	0.03527861427249235	-0.026483096935925765	-0.33439345668049736
Tannerella forsythia	1.0789386160212802	1.4754262227910928	2.6383586741898686	0.058384083109180196
Tannerella sp. oral taxon HOT-286	4.165051949723368	0.4658147205013208	-1.6888428114439824	0.13203322877196477
Phocaeicola abscessus	1.6117192632991122	0.3883405175405912	2.0053140737031123	-0.12294174741002006
Capnocytophaga gingivalis	2.74350537131608	-0.577445123682601	1.5495724297974727	-0.3573113531896679
Capnocytophaga granulosa	2.2892943746882723	1.031319763173478	0.833418137571635	0.5051942913701932
Capnocytophaga haemolytica	-1.461851107375022	1.86034383963527	1.2257366396401554	0.6389008014371784
Capnocytophaga leadbetteri	2.202340019448404	0.10146307538928312	1.0668758369897038	0.06769417216090368
Capnocytophaga ochracea	1.4979993231135653	-0.16175982762394625	0.1421117998574406	-0.431199029190263
Capnocytophaga sputigena	2.4962203554350184	0.03246914934100431	1.3608440972779414	-0.1671161056587307
Capnocytophaga sp. ChDC OS43	0.7917027599650668	0.3007065687674455	0.7489098079417378	0.3133165388276975
Capnocytophaga sp. oral taxon 323	0.4519724972087191	-0.09788945723591524	-0.06795135960835008	-0.32279102514477653
Capnocytophaga sp. oral taxon 324	0.35910869906723963	-0.1579208116632529	-0.16450015530842244	-0.31124885390492274
Capnocytophaga sp. oral taxon 326	0.8226670152980136	0.31896560605348867	0.8830959230576179	0.3535997717550199
Capnocytophaga sp. oral taxon 329	1.2094621784526156	0.08045717667521757	1.2311721362088344	0.05291835953501778
Capnocytophaga sp. oral taxon 332	1.6090325243312167	0.87111123990001	0.09222628845912428	0.1144313066175382
