featureid	Intercept	C(Sex, Treatment('Male'))[T.Female]
Bacteroides heparinolyticus	1.898678961198347	-0.047673732177587524
Bacteroides zoogleoformans	-1.883761701185687	0.14135190831008337
Porphyromonas catoniae	0.7663845447707347	-0.1364302934568844
Porphyromonas gingivalis	2.5493395952391795	-0.07404955490049936
Porphyromonas sp. KLE 1280	0.9150550989318065	0.025109261139062866
Porphyromonas sp. oral taxon 278	1.652277800242918	0.6085530816155948
Alloprevotella rava	-0.8108304115128355	-0.07061807265994169
Alloprevotella tannerae	0.7077636150527171	0.7606211005288639
Prevotella sp. oral taxon 473	-0.007221159536821453	0.3874616323548832
[Hallella] seregens	-2.18279343565224	-0.6669078172605953
Prevotella baroniae	-0.2749372096848317	0.07905490682902716
Prevotella bivia	-3.699240502912982	0.8816281257707157
Prevotella buccae	-0.008964118559343426	-0.1544209049504719
Prevotella conceptionensis	1.6426122216391734	0.340481459959177
Prevotella dentalis	-1.9018252464127379	-0.5061241687696896
Prevotella denticola	0.9371203807997874	-0.30608606352028467
Prevotella enoeca	-1.1834540935349303	-0.7548672856253109
Prevotella fusca	-0.6724873157334166	-0.4510864318769894
Prevotella histicola	-2.1174171539139586	0.20252767191710852
Prevotella intermedia	2.3746800450492076	0.027471981807378754
Prevotella jejuni	-0.33855920751808366	0.9989187418061771
Prevotella loescheii	1.3979336647200755	0.13224589811149023
Prevotella maculosa	1.5206953612971477	0.4338262675839939
Prevotella marshii	-0.3211246105027028	0.38971543298545264
Prevotella melaninogenica	1.5549091724562816	0.4281953273850956
Prevotella micans	0.4809729484725169	0.621976524456171
Prevotella multiformis	-0.018305477697832195	0.43738681064429663
Prevotella nanceiensis	-3.063247022230609	0.6022432147103824
Prevotella nigrescens	0.5237144855666331	1.0248404441911259
Prevotella oralis	-1.1618574233841734	-0.2134641410273037
Prevotella oris	-0.7661047550034361	0.4817486105996647
Prevotella oulorum	1.5469978777575664	0.5583784876901188
Prevotella pallens	-0.14381056745765886	1.037226289375452
Prevotella saccharolytica	1.5959148136782817	0.3768867848950901
Prevotella salivae	-0.07497149427650651	0.8434990941125431
Prevotella scopos	-1.2142301173996763	0.5493988691407719
