featureid	Intercept	C(Tooth_site, Treatment('Posterior'))[T.Anterior]
Bacteroides heparinolyticus	2.1096855690151566	-0.3977940424451152
Bacteroides zoogleoformans	-2.000162453445781	0.34290411629588213
Porphyromonas catoniae	0.4029358913570755	0.47792067685038564
Porphyromonas gingivalis	1.4663707306057328	1.4480570212832173
Porphyromonas sp. KLE 1280	0.8091477443844193	0.20419254460246172
Porphyromonas sp. oral taxon 278	2.5956552614837998	-1.34594604811757
Alloprevotella rava	-1.1117986152499801	0.4494316236010274
Alloprevotella tannerae	1.354861049857747	-0.3544762178429881
Prevotella sp. oral taxon 473	0.07582393189967807	0.20976849951655474
[Hallella] seregens	-2.9582847068637497	0.8217205659380635
Prevotella baroniae	-0.4290047595828659	0.3573109165659627
Prevotella bivia	-2.9616459319919235	-0.3830712993735004
Prevotella buccae	-0.28297290304600065	0.3440273062220296
Prevotella conceptionensis	2.3254291703373307	-0.9993092163571644
Prevotella dentalis	-2.9617613265842087	1.2381872788897237
Prevotella denticola	1.3309760381847733	-0.983642671919756
Prevotella enoeca	-2.2165168235629684	1.1057200089922619
Prevotella fusca	-0.790542216095317	-0.04571667752354536
Prevotella histicola	-1.6895888755649215	-0.5656872286567012
Prevotella intermedia	2.293325333800923	0.2000138417711934
Prevotella jejuni	0.620914607253682	-0.6891413076886455
Prevotella loescheii	1.3205517818600052	0.2590569511881551
Prevotella maculosa	2.2824285765558594	-1.0704167827138225
Prevotella marshii	0.2660764743954056	-0.673895095206194
Prevotella melaninogenica	2.2537851919800156	-0.9357873543271342
Prevotella micans	1.0597633411556595	-0.3846121911996523
Prevotella multiformis	0.5997101356655472	-0.688508932209901
Prevotella nanceiensis	-2.1893275688022262	-1.0880429490575123
Prevotella nigrescens	1.4033403684765213	-0.4689333184727946
Prevotella oralis	-0.9257274577945358	-0.5183537348279277
Prevotella oris	-0.24412021139561002	-0.43808529964774046
Prevotella oulorum	2.3681497862011307	-1.0296214564809132
Prevotella pallens	0.8059702207714432	-0.609488163805894
Prevotella saccharolytica	2.247034012284886	-0.8774607523450175
Prevotella salivae	0.8616998483806961	-0.8695581599244395
Prevotella scopos	-0.5208900878757126	-0.7333689673909465
Prevotella shahii	0.015931277480732753	-0.6454624279507923
Prevotella veroralis	1.1616540243297928	-1.3437037809857646
Prevotella sp. C561	0.6760158826977127	-0.7087864323624888
Prevotella sp. F0091	0.873398213592183	-0.07301733336537275
Prevotella sp. HJM029	-0.09454330900608365	-1.0232514484891215
Prevotella sp. HMSC069G02	-1.6230300376742965	-0.5412041588792125
Prevotella sp. HMSC073D09	2.449195890632283	-0.9964557035931865
Prevotella sp. KH2C16	-2.090658516678203	0.1343090192309102
Prevotella sp. oral taxon 317	2.538156627622258	-0.9852608188161174
Prevotella sp. oral taxon 472	1.3414938738018387	0.24099990286738482
Tannerella forsythia	0.9134719659954422	0.774171675824233
Tannerella sp. oral taxon HOT-286	4.678701071944843	-1.1131270869740764
Phocaeicola abscessus	1.372961669173848	-0.24300075016110334
Capnocytophaga gingivalis	1.5271774818569535	1.0877332345476827
Capnocytophaga granulosa	2.629058568683278	-0.049482141352585884
Capnocytophaga haemolytica	-2.000129551681865	1.5421521321764668
Capnocytophaga leadbetteri	1.8804290433794373	0.2397974387636861
Capnocytophaga ochracea	1.1840605427891129	-0.20073573730080607
Capnocytophaga sputigena	1.3147509982258194	1.2268069640627584
Capnocytophaga sp. ChDC OS43	0.42619529267848666	0.5407858149042806
Capnocytophaga sp. oral taxon 323	0.21145930787624057	-0.2846190228232661
Capnocytophaga sp. oral taxon 324	0.14136949082912142	-0.2751763134369183
Capnocytophaga sp. oral taxon 326	0.5230222036510819	0.48796507277400103
Capnocytophaga sp. oral taxon 329	0.8674097349315995	0.2513044730654439
Capnocytophaga sp. oral taxon 332	1.4960224320560807	0.2901613966456136
Capnocytophaga sp. oral taxon 336	0.047706513610493495	-0.17024271628945264
Capnocytophaga sp. oral taxon 338	-0.6323612640231735	0.5769147531023702
Capnocytophaga sp. oral taxon 380	0.16685667535365756	-0.31322698733895216
Capnocytophaga sp. oral taxon 863	1.2090570022732132	0.05019950427920428
Capnocytophaga sp. oral taxon 864	0.03420200845302279	-0.2626321657666484
Capnocytophaga sp. oral taxon 878	-0.8178800056308395	0.9496328488817891
Bacteroidetes oral taxon 274	2.677102236953389	-0.09037927231877241
Candidatus Kryptonium thompsoni	0.42544737359584506	-0.15281402013390455
Fusobacterium hwasookii	0.8426243354946488	0.15938201107890215
Fusobacterium nucleatum	3.0663822581440323	-0.152920444227151
Fusobacterium periodonticum	1.815353481975209	-0.834910754776887
Fusobacterium sp. HMSC064B11	-0.12525829771457975	-0.31170763514130506
Fusobacterium sp. HMSC064B12	-6.257068009170879	3.6024977818957047
Fusobacterium sp. oral taxon 203	-1.3693703124850876	0.24375035920054522
Fusobacterium sp. oral taxon 370	-0.3850782821506149	-0.33145709029524717
Leptotrichia buccalis	3.8265521814495433	-0.7319257005223561
Leptotrichia goodfellowii	-1.9393962333530075	2.18077250876338
Leptotrichia hofstadii	3.0457730581432694	-0.8520870550641337
Leptotrichia shahii	2.5896150459915512	-0.7482343359956065
Leptotrichia trevisanii	2.032205737140786	-0.5828652425774852
Leptotrichia wadei	3.9021638919979442	-1.1291809423932353
Leptotrichia sp. oral taxon 212	2.180309056249272	0.21895518460185137
Leptotrichia sp. oral taxon 215	1.7398638119369858	-0.6639304204949656
Leptotrichia sp. oral taxon 225	2.185263371971261	-0.40551348283081445
Leptotrichia sp. oral taxon 498	3.357987909522664	-1.2092712267407695
Leptotrichia sp. oral taxon 847	1.737956820932042	-1.1739657863148967
Leptotrichia sp. oral taxon 879	2.184563576188695	-0.790020172215395
Lautropia mirabilis	3.243839411941182	0.9491554156771382
