Species	CMC	JAE	HMP	Total
Actinobaculum sp. oral taxon 183	1	0	1	2
Actinomyces dentalis	1	1	1	3
Actinomyces gerencseriae	1	1	1	3
Actinomyces israelii	1	1	0	2
Actinomyces massiliensis	1	1	1	3
Actinomyces naeslundii	1	1	1	3
Actinomyces oris	1	1	1	3
Actinomyces sp. oral taxon 170	1	0	1	2
Actinomyces sp. oral taxon 414	1	1	0	2
Actinomyces sp. oral taxon 448	1	0	1	2
Actinomyces sp. oral taxon 848	1	0	0	1
Actinomyces sp. oral taxon 897	1	1	1	3
Aggregatibacter segnis	1	0	0	1
Anaerolineaceae bacterium oral taxon 439	1	1	0	2
Bacteroidetes oral taxon 274	1	1	1	3
Campylobacter gracilis	1	0	1	2
Campylobacter showae	1	1	1	3
Capnocytophaga gingivalis	1	1	1	3
Capnocytophaga granulosa	1	1	1	3
Capnocytophaga sputigena	1	1	1	3
Cardiobacterium hominis	1	1	1	3
Corynebacterium durum	1	1	1	3
Corynebacterium matruchotii	1	1	1	3
Fusobacterium nucleatum	1	1	1	3
Lachnoanaerobaculum saburreum	1	0	0	1
Lautropia mirabilis	1	1	1	3
Leptotrichia buccalis	1	0	0	1
Leptotrichia hofstadii	1	0	0	1
Leptotrichia shahii	1	0	0	1
Leptotrichia sp. oral taxon 212	1	1	1	3
Leptotrichia sp. oral taxon 498	1	0	0	1
Leptotrichia wadei	1	0	0	1
Neisseria elongata	1	1	1	3
Olsenella sp. oral taxon 807	1	1	0	2
Ottowia sp. Marseille-P4747	1	1	0	2
Ottowia sp. oral taxon 894	1	1	0	2
Porphyromonas gingivalis	1	1	0	2
Porphyromonas sp. oral taxon 278	1	0	1	2
Prevotella intermedia	1	0	0	1
Propionibacterium sp. oral taxon 192	1	0	0	1
Pseudopropionibacterium propionicum	1	1	1	3
Rothia aeria	1	1	1	3
Selenomonas noxia	1	0	1	2
Selenomonas sputigena	1	0	0	1
Streptococcus cristatus	1	0	1	2
Streptococcus mutans	1	0	1	2
Streptococcus oralis	1	1	1	3
Streptococcus sanguinis	1	1	1	3
Streptococcus sp. DD04	1	0	0	1
Tannerella sp. oral taxon HOT-286	1	0	1	2
[Eubacterium] minutum	0	1	0	1
Abiotrophia defectiva	0	1	0	1
Abiotrophia sp. HMSC24B09	0	1	0	1
Aggregatibacter aphrophilus	0	1	1	2
Capnocytophaga leadbetteri	0	1	1	2
Capnocytophaga sp. oral taxon 329	0	1	0	1
Cardiobacterium valvarum	0	1	0	1
Desulfobulbus oralis	0	1	0	1
Desulfomicrobium orale	0	1	0	1
Eikenella corrodens	0	1	0	1
Kingella denitrificans	0	1	0	1
Neisseria bacilliformis	0	1	0	1
Olsenella uli	0	1	0	1
Phocaeicola abscessus	0	1	0	1
Pseudoramibacter alactolyticus	0	1	0	1
Schaalia odontolytica	0	1	0	1
Streptococcus gordonii	0	1	1	2
Tannerella forsythia	0	1	0	1
Treponema denticola	0	1	0	1
Treponema maltophilum	0	1	0	1
Treponema socranskii	0	1	0	1
Actinomyces johnsonii	0	0	1	1
Actinomyces sp. HMSC08A09	0	0	1	1
Actinomyces sp. oral taxon 171	0	0	1	1
Actinomyces viscosus	0	0	1	1
Alloprevotella tannerae	0	0	1	1
Campylobacter concisus	0	0	1	1
Capnocytophaga ochracea	0	0	1	1
Haemophilus parainfluenzae	0	0	1	1
Kingella oralis	0	0	1	1
Porphyromonas catoniae	0	0	1	1
Porphyromonas sp. KLE 1280	0	0	1	1
Prevotella nigrescens	0	0	1	1
Rothia dentocariosa	0	0	1	1
Rothia sp. HMSC036D11	0	0	1	1
Rothia sp. HMSC064D08	0	0	1	1
Veillonella parvula	0	0	1	1
