SGBid	genomename	uSGB	estTaxLevel	estTaxonomy	closestTaxLevel	closestTaxID	krakenDBtaxid	avgDist	medianAb	noSamples
121	LeChatelierE_2013__MH0143__bin.50	Yes	Other	-	k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_sp_YO3AOP1	436114.0	200783.0	0.3629315	0.0647715937	2
124	BackhedF_2015__SID622_M__bin.21	Yes	Other	-	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus_CAG_160	626929.0	976.0	0.306973	0.18162188850000002	2
125	LeChatelierE_2013__MH0422__bin.67	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium|s__Eubacterium_siraeum	39492.0	1239.0	0.295981	0.2136173177	1
362	CosteaPI_2017__mickey1-11-0-0__bin.19	Yes	Family	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	1406512.0	1577788.0	0.21331599999999998	0.3247490823	3
363	HMP_2012__SRS048870__bin.16	No	Species	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	1406512.0	1406512.0	0.0160234527273	0.1675790388	11
364	ZeeviD_2015__PNP_Main_133_megahit__bin.32	Yes	Genus	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	1406512.0	1080709.0	0.142728	0.4652603408	1
372	CosteaPI_2017__mickey2-11-30-0__bin.66	Yes	Other	-	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus	1291540.0	28890.0	0.292535857143	0.1408250945	7
376	BritoIL_2016__W3.22.ST__bin.129	Yes	Family	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_BRNA1	1054217.0	2301.0	0.23329126086999996	0.22650672800000002	23
378	ZeeviD_2015__PNP_Main_320_megahit__bin.59	Yes	Family	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_BRNA1	1054217.0	2301.0	0.23254299999999997	0.2123500023	1
380	XieH_2016__YSZC12003_35561__bin.51	Yes	Family	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_BRNA1	1054217.0	2301.0	0.23046133333299998	0.28692443559999997	9
